# Stacked over transitions
#['P21', 'P22', 'P23', 'P25', 'P26', 'P27', 'P28', 'P29', 'P30', 'P31', 'P32', 'P34', 'P35', 'P36', 'P37', 'P38', 'P39', 'P40', 'P41', 'P42']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9921,    0.0011,      -3.993,    0.905
-149.00,    0.9953,    0.0011,      -4.094,    0.909
-148.00,    0.9999,    0.0011,      -1.120,    0.911
-147.00,    1.0024,    0.0012,      -0.067,    0.910
-146.00,    1.0014,    0.0012,       1.724,    0.905
-145.00,    1.0016,    0.0012,       1.525,    0.904
-144.00,    1.0013,    0.0012,       0.907,    0.915
-143.00,    1.0006,    0.0011,       0.585,    0.903
-142.00,    0.9990,    0.0011,      -0.540,    0.886
-141.00,    0.9988,    0.0011,      -0.984,    0.885
-140.00,    0.9973,    0.0011,      -0.328,    0.881
-139.00,    0.9969,    0.0011,      -0.439,    0.876
-138.00,    0.9974,    0.0011,      -1.539,    0.871
-137.00,    0.9981,    0.0011,      -0.917,    0.866
-136.00,    0.9979,    0.0011,      -1.479,    0.867
-135.00,    0.9967,    0.0011,      -0.474,    0.866
-134.00,    0.9972,    0.0011,       0.196,    0.867
-133.00,    0.9988,    0.0011,       1.535,    0.870
-132.00,    0.9986,    0.0011,       2.866,    0.868
-131.00,    1.0001,    0.0011,       0.894,    0.864
-130.00,    1.0008,    0.0011,      -0.479,    0.866
-129.00,    1.0008,    0.0011,      -0.375,    0.865
-128.00,    1.0007,    0.0011,      -0.280,    0.864
-127.00,    1.0004,    0.0011,       0.397,    0.865
-126.00,    0.9992,    0.0011,      -0.018,    0.866
-125.00,    0.9986,    0.0011,      -0.502,    0.868
-124.00,    0.9989,    0.0011,      -0.506,    0.866
-123.00,    1.0002,    0.0011,       0.536,    0.867
-122.00,    1.0008,    0.0011,       0.981,    0.869
-121.00,    1.0000,    0.0011,       1.180,    0.870
-120.00,    0.9992,    0.0011,       1.056,    0.858
-119.00,    0.9998,    0.0011,       1.660,    0.864
-118.00,    1.0004,    0.0011,       0.899,    0.862
-117.00,    1.0010,    0.0011,       0.186,    0.854
-116.00,    0.9999,    0.0011,      -0.129,    0.855
-115.00,    0.9988,    0.0011,      -1.000,    0.855
-114.00,    0.9974,    0.0011,      -0.190,    0.855
-113.00,    0.9988,    0.0011,       1.391,    0.849
-112.00,    1.0018,    0.0011,       2.234,    0.845
-111.00,    1.0058,    0.0011,       1.042,    0.844
-110.00,    1.0079,    0.0011,       0.473,    0.848
