# Stacked over transitions
#['P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10', 'P11', 'P12', 'P13', 'P14', 'R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R10', 'R11']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    1.0016,    0.0008,       1.007,    0.645
-149.00,    1.0008,    0.0008,      -3.715,    0.654
-148.00,    1.0007,    0.0009,      -5.805,    0.661
-147.00,    1.0026,    0.0009,      -6.430,    0.667
-146.00,    1.0040,    0.0009,      -3.114,    0.667
-145.00,    1.0043,    0.0009,       1.232,    0.666
-144.00,    1.0046,    0.0009,      -0.703,    0.666
-143.00,    1.0064,    0.0009,      -0.906,    0.662
-142.00,    1.0064,    0.0009,       0.603,    0.659
-141.00,    1.0041,    0.0009,       1.042,    0.660
-140.00,    0.9997,    0.0009,      -1.940,    0.660
-139.00,    0.9972,    0.0009,      -0.832,    0.670
-138.00,    0.9973,    0.0009,       0.633,    0.675
-137.00,    0.9992,    0.0009,       0.625,    0.680
-136.00,    1.0009,    0.0009,      -1.048,    0.686
-135.00,    1.0021,    0.0009,      -0.591,    0.689
-134.00,    1.0039,    0.0009,       0.425,    0.684
-133.00,    1.0060,    0.0009,       1.131,    0.685
-132.00,    1.0069,    0.0009,       1.051,    0.689
-131.00,    1.0061,    0.0009,       1.292,    0.692
-130.00,    1.0050,    0.0009,       0.814,    0.690
-129.00,    1.0050,    0.0009,       0.421,    0.696
-128.00,    1.0051,    0.0009,       1.546,    0.700
-127.00,    1.0057,    0.0009,       1.614,    0.707
-126.00,    1.0075,    0.0009,       0.464,    0.716
-125.00,    1.0113,    0.0009,      -0.142,    0.726
-124.00,    1.0145,    0.0009,      -0.308,    0.726
-123.00,    1.0164,    0.0009,      -0.108,    0.719
-122.00,    1.0144,    0.0009,      -1.133,    0.715
-121.00,    1.0088,    0.0009,      -1.128,    0.720
-120.00,    1.0045,    0.0010,       0.867,    0.730
-119.00,    1.0037,    0.0010,       1.145,    0.747
-118.00,    1.0039,    0.0010,       0.363,    0.755
-117.00,    1.0055,    0.0010,      -0.438,    0.755
-116.00,    1.0057,    0.0010,       1.277,    0.748
-115.00,    1.0048,    0.0010,       2.538,    0.742
-114.00,    1.0041,    0.0010,       0.763,    0.740
-113.00,    1.0019,    0.0010,      -1.721,    0.735
-112.00,    1.0005,    0.0009,       0.460,    0.727
-111.00,    1.0003,    0.0009,       0.832,    0.735
-110.00,    1.0015,    0.0009,      -0.734,    0.733
-109.00,    1.0029,    0.0009,      -2.397,    0.736
-108.00,    1.0033,    0.0009,      -2.599,    0.742
-107.00,    1.0027,    0.0009,      -1.685,    0.741
-106.00,    1.0026,    0.0009,      -0.759,    0.741
-105.00,    1.0007,    0.0010,      -0.415,    0.748
-104.00,    1.0024,    0.0010,       0.637,    0.753
-103.00,    1.0031,    0.0010,       0.401,    0.761
-102.00,    1.0051,    0.0010,       1.678,    0.763
-101.00,    1.0075,    0.0010,       1.381,    0.754
-100.00,    1.0093,    0.0010,       0.598,    0.742
 -99.00,    1.0087,    0.0009,       1.802,    0.727
 -98.00,    1.0055,    0.0009,       1.422,    0.718
 -97.00,    1.0039,    0.0009,       1.426,    0.712
 -96.00,    1.0050,    0.0009,       1.217,    0.706
 -95.00,    1.0079,    0.0009,       2.660,    0.705
 -94.00,    1.0112,    0.0009,       2.876,    0.704
 -93.00,    1.0144,    0.0009,       1.508,    0.712
 -92.00,    1.0148,    0.0009,       1.313,    0.712
 -91.00,    1.0136,    0.0009,       2.137,    0.702
 -90.00,    1.0131,    0.0009,       1.935,    0.700
 -89.00,    1.0146,    0.0009,       1.668,    0.705
 -88.00,    1.0169,    0.0009,       0.613,    0.695
 -87.00,    1.0177,    0.0009,       0.628,    0.688
 -86.00,    1.0158,    0.0009,      -0.841,    0.685
 -85.00,    1.0103,    0.0009,      -2.487,    0.677
 -84.00,    1.0047,    0.0009,      -3.152,    0.684
 -83.00,    1.0040,    0.0009,       0.535,    0.683
 -82.00,    1.0081,    0.0009,       2.653,    0.683
 -81.00,    1.0133,    0.0009,       3.330,    0.691
 -80.00,    1.0169,    0.0009,       1.988,    0.693
 -79.00,    1.0179,    0.0009,      -0.202,    0.694
 -78.00,    1.0181,    0.0009,      -0.498,    0.689
 -77.00,    1.0159,    0.0009,      -0.491,    0.686
 -76.00,    1.0162,    0.0009,       3.317,    0.680
 -75.00,    1.0172,    0.0009,       2.943,    0.674
 -74.00,    1.0167,    0.0009,       1.400,    0.673
 -73.00,    1.0155,    0.0009,       0.651,    0.672
 -72.00,    1.0153,    0.0009,      -0.988,    0.670
 -71.00,    1.0158,    0.0009,      -0.583,    0.666
 -70.00,    1.0166,    0.0009,      -0.111,    0.665
 -69.00,    1.0173,    0.0009,      -2.064,    0.667
 -68.00,    1.0164,    0.0009,      -0.510,    0.677
 -67.00,    1.0161,    0.0009,      -0.058,    0.682
 -66.00,    1.0162,    0.0009,       0.110,    0.683
 -65.00,    1.0157,    0.0009,      -1.579,    0.683
 -64.00,    1.0148,    0.0009,       0.215,    0.685
 -63.00,    1.0130,    0.0009,       4.278,    0.689
 -62.00,    1.0122,    0.0009,       5.318,    0.695
 -61.00,    1.0126,    0.0009,       3.536,    0.697
 -60.00,    1.0157,    0.0009,       2.416,    0.697
 -59.00,    1.0186,    0.0009,       2.325,    0.690
 -58.00,    1.0203,    0.0009,       3.652,    0.685
 -57.00,    1.0199,    0.0009,       1.956,    0.684
 -56.00,    1.0205,    0.0009,       0.313,    0.688
 -55.00,    1.0211,    0.0009,       0.751,    0.692
 -54.00,    1.0222,    0.0009,      -0.854,    0.699
 -53.00,    1.0241,    0.0009,       0.145,    0.706
 -52.00,    1.0264,    0.0009,       2.056,    0.711
 -51.00,    1.0283,    0.0009,       2.156,    0.716
 -50.00,    1.0293,    0.0010,       2.632,    0.729
