# Stacked over transitions
#['P36', 'P37', 'P38', 'P39', 'P40', 'P41', 'P42']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9871,    0.0115,       0.830,   11.175
-149.00,    0.9997,    0.0115,       0.355,   11.180
-148.00,    1.0012,    0.0115,       1.682,   11.199
-147.00,    0.9964,    0.0114,       1.681,   10.971
-146.00,    0.9915,    0.0113,       1.897,   10.894
-145.00,    0.9844,    0.0112,      -8.971,   10.857
-144.00,    0.9835,    0.0112,      -2.547,   10.892
-143.00,    0.9875,    0.0112,       6.276,   10.987
-142.00,    0.9903,    0.0113,       2.432,   11.038
-141.00,    0.9880,    0.0113,      -4.998,   11.035
-140.00,    0.9843,    0.0112,       9.849,   11.282
-139.00,    0.9804,    0.0111,       6.074,   11.188
-138.00,    0.9897,    0.0111,      -1.130,   10.757
-137.00,    1.0006,    0.0112,      -3.413,   10.851
-136.00,    0.9925,    0.0112,      -8.636,   10.977
-135.00,    0.9814,    0.0112,     -14.559,   11.192
-134.00,    0.9740,    0.0112,     -15.191,   11.457
-133.00,    0.9649,    0.0112,     -15.588,   11.481
-132.00,    0.9733,    0.0113,      -7.078,   11.285
-131.00,    0.9881,    0.0113,      -7.040,   11.068
-130.00,    1.0044,    0.0115,     -10.486,   11.147
-129.00,    1.0103,    0.0117,      -7.755,   11.474
-128.00,    1.0010,    0.0119,      -7.438,   11.694
-127.00,    0.9863,    0.0118,      -9.655,   11.686
-126.00,    0.9850,    0.0118,      -5.150,   11.322
-125.00,    0.9920,    0.0117,       6.670,   11.278
-124.00,    0.9979,    0.0116,       9.084,   11.389
-123.00,    0.9904,    0.0113,      -5.211,   11.133
-122.00,    0.9858,    0.0112,      -9.028,   11.055
-121.00,    0.9850,    0.0111,       3.547,   10.918
-120.00,    0.9842,    0.0111,      12.994,   10.720
-119.00,    0.9894,    0.0112,      11.638,   10.979
-118.00,    0.9889,    0.0112,      11.956,   11.163
-117.00,    0.9901,    0.0113,       5.818,   11.087
-116.00,    0.9937,    0.0113,      -3.088,   11.138
-115.00,    0.9932,    0.0112,      -7.405,   11.305
-114.00,    0.9869,    0.0112,      -7.304,   11.172
-113.00,    0.9819,    0.0112,       2.388,   11.137
-112.00,    0.9817,    0.0111,      11.155,   11.269
-111.00,    0.9906,    0.0112,       9.428,   11.367
-110.00,    0.9972,    0.0114,      -1.507,   11.306
-109.00,    0.9958,    0.0116,       3.972,   11.390
-108.00,    0.9985,    0.0117,       5.690,   11.527
-107.00,    0.9969,    0.0117,      -2.260,   11.255
-106.00,    0.9973,    0.0117,     -10.394,   11.573
-105.00,    0.9919,    0.0117,     -15.119,   11.587
-104.00,    0.9873,    0.0115,     -15.123,   11.490
-103.00,    0.9873,    0.0114,       1.777,   11.177
-102.00,    0.9810,    0.0112,      -2.028,   11.214
-101.00,    0.9785,    0.0111,      -2.905,   11.236
-100.00,    0.9829,    0.0112,       1.731,   11.224
 -99.00,    0.9941,    0.0114,       5.012,   11.152
 -98.00,    0.9960,    0.0114,       8.206,   11.251
 -97.00,    0.9954,    0.0114,       4.162,   11.303
 -96.00,    0.9913,    0.0114,      -3.080,   11.441
 -95.00,    0.9852,    0.0113,      -2.232,   11.509
 -94.00,    0.9809,    0.0113,      -1.505,   11.287
 -93.00,    0.9758,    0.0113,       1.708,   11.206
 -92.00,    0.9819,    0.0113,       2.923,   11.269
 -91.00,    0.9829,    0.0113,       1.878,   11.325
 -90.00,    0.9819,    0.0113,      -1.472,   11.318
 -89.00,    0.9794,    0.0113,      -1.854,   11.266
 -88.00,    0.9814,    0.0113,      -5.020,   11.078
 -87.00,    0.9868,    0.0114,      -8.314,   10.977
 -86.00,    0.9864,    0.0113,      -1.309,   10.928
 -85.00,    0.9884,    0.0112,       4.226,   10.778
 -84.00,    0.9882,    0.0110,      -5.640,   10.874
 -83.00,    0.9904,    0.0110,       0.952,   10.909
 -82.00,    0.9874,    0.0110,      -0.404,   11.111
 -81.00,    0.9812,    0.0110,      -4.209,   11.122
 -80.00,    0.9808,    0.0110,       4.766,   11.133
 -79.00,    0.9840,    0.0111,       9.085,   11.180
 -78.00,    0.9813,    0.0111,       5.801,   11.220
 -77.00,    0.9814,    0.0110,      18.212,   10.936
 -76.00,    0.9836,    0.0109,      17.885,   10.910
 -75.00,    0.9824,    0.0108,      16.228,   11.009
 -74.00,    0.9806,    0.0108,       7.026,   10.977
 -73.00,    0.9813,    0.0109,       2.219,   10.882
 -72.00,    0.9926,    0.0109,      -6.343,   10.630
 -71.00,    1.0013,    0.0109,      -7.267,   10.613
 -70.00,    1.0066,    0.0109,      -6.413,   10.618
 -69.00,    0.9998,    0.0109,      -3.146,   10.611
 -68.00,    0.9948,    0.0109,      -3.217,   10.549
 -67.00,    0.9931,    0.0108,      -2.740,   10.619
 -66.00,    1.0042,    0.0109,      -1.792,   10.601
 -65.00,    1.0159,    0.0111,       9.204,   10.689
 -64.00,    1.0199,    0.0111,      -3.967,   10.469
 -63.00,    1.0103,    0.0111,      -0.011,   10.569
 -62.00,    1.0024,    0.0111,       1.441,   10.710
 -61.00,    1.0026,    0.0111,      -7.321,   10.642
 -60.00,    1.0050,    0.0111,     -11.875,   10.633
 -59.00,    1.0102,    0.0112,      -8.245,   10.759
 -58.00,    1.0137,    0.0111,      -4.201,   10.573
 -57.00,    1.0193,    0.0111,      -2.911,   10.632
 -56.00,    1.0257,    0.0112,      -4.965,   10.534
 -55.00,    1.0300,    0.0112,     -13.237,   10.216
 -54.00,    1.0289,    0.0112,      -6.825,   10.147
 -53.00,    1.0297,    0.0111,       0.826,   10.400
 -52.00,    1.0293,    0.0111,       1.862,   10.508
