# Stacked over transitions
#['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    1.0047,    0.0051,      -0.131,    5.819
-149.00,    0.9997,    0.0051,       4.550,    5.847
-148.00,    0.9956,    0.0051,       7.824,    5.850
-147.00,    0.9966,    0.0051,       3.698,    5.876
-146.00,    0.9981,    0.0051,       7.458,    5.932
-145.00,    0.9999,    0.0051,       8.806,    5.954
-144.00,    1.0006,    0.0051,       6.520,    5.984
-143.00,    1.0028,    0.0052,       8.116,    5.983
-142.00,    1.0113,    0.0052,      -1.906,    5.987
-141.00,    1.0120,    0.0052,      -8.831,    6.025
-140.00,    1.0056,    0.0053,      -3.231,    6.155
-139.00,    0.9947,    0.0053,       3.832,    6.131
-138.00,    0.9927,    0.0052,      -0.590,    6.082
-137.00,    0.9991,    0.0051,      -9.631,    5.881
-136.00,    1.0068,    0.0051,     -10.287,    5.842
-135.00,    1.0091,    0.0051,      -4.893,    5.884
-134.00,    1.0086,    0.0052,      -2.922,    5.912
-133.00,    1.0080,    0.0052,      -0.928,    6.034
-132.00,    1.0098,    0.0053,      -3.522,    6.059
-131.00,    1.0071,    0.0053,      -3.766,    6.088
-130.00,    1.0013,    0.0053,      -4.318,    6.263
-129.00,    0.9978,    0.0054,       0.341,    6.362
-128.00,    1.0015,    0.0054,       4.381,    6.295
-127.00,    1.0122,    0.0054,       4.887,    6.219
-126.00,    1.0168,    0.0054,      -2.376,    6.260
-125.00,    1.0168,    0.0055,      -8.324,    6.372
-124.00,    1.0139,    0.0056,     -17.136,    6.425
-123.00,    1.0115,    0.0056,     -11.580,    6.510
-122.00,    1.0041,    0.0056,      -2.607,    6.546
-121.00,    0.9983,    0.0056,      -2.303,    6.579
-120.00,    1.0004,    0.0056,      -0.907,    6.549
-119.00,    1.0061,    0.0056,       1.218,    6.438
-118.00,    1.0078,    0.0055,       5.022,    6.391
-117.00,    1.0047,    0.0055,       5.112,    6.365
-116.00,    1.0003,    0.0055,       3.826,    6.315
