# Combination of highJ over dates ['191008', '200221']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9986,    0.0044,      -2.538,    3.386
-149.00,    0.9978,    0.0044,      -2.320,    3.396
-148.00,    0.9945,    0.0044,      -1.683,    3.412
-147.00,    0.9938,    0.0044,       1.784,    3.386
-146.00,    0.9940,    0.0044,       4.032,    3.386
-145.00,    0.9964,    0.0044,       4.862,    3.419
-144.00,    0.9994,    0.0044,       2.334,    3.417
-143.00,    0.9981,    0.0044,       2.714,    3.421
-142.00,    0.9969,    0.0044,      -0.936,    3.425
-141.00,    0.9965,    0.0044,      -3.380,    3.402
-140.00,    0.9968,    0.0044,      -4.190,    3.371
-139.00,    0.9980,    0.0044,      -1.753,    3.371
-138.00,    1.0011,    0.0044,       0.082,    3.367
-137.00,    1.0015,    0.0044,       1.635,    3.336
-136.00,    1.0038,    0.0044,       0.454,    3.321
-135.00,    1.0036,    0.0044,      -0.128,    3.305
-134.00,    1.0026,    0.0044,       0.873,    3.259
-133.00,    1.0013,    0.0043,       1.998,    3.185
-132.00,    1.0011,    0.0042,       0.686,    3.175
-131.00,    1.0033,    0.0042,      -1.339,    3.231
-130.00,    1.0041,    0.0042,      -0.786,    3.249
-129.00,    1.0048,    0.0042,      -2.827,    3.201
-128.00,    1.0061,    0.0042,      -0.001,    3.180
-127.00,    1.0084,    0.0042,       3.391,    3.187
-126.00,    1.0119,    0.0042,       3.971,    3.169
-125.00,    1.0134,    0.0042,      -0.173,    3.156
-124.00,    1.0137,    0.0042,      -1.535,    3.167
-123.00,    1.0109,    0.0042,      -3.073,    3.144
-122.00,    1.0116,    0.0042,      -0.232,    3.116
-121.00,    1.0140,    0.0042,       1.823,    3.109
-120.00,    1.0161,    0.0041,       1.693,    3.104
-119.00,    1.0151,    0.0041,       2.342,    3.095
-118.00,    1.0120,    0.0041,       1.328,    3.092
-117.00,    1.0082,    0.0041,       2.108,    3.124
-116.00,    1.0092,    0.0042,       2.153,    3.193
-115.00,    1.0116,    0.0042,       1.166,    3.210
