# Combination of lowJ over dates ['191008', '200221']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9981,    0.0029,      -0.738,    2.187
-149.00,    0.9981,    0.0029,      -0.802,    2.179
-148.00,    0.9988,    0.0029,      -0.888,    2.167
-147.00,    0.9996,    0.0029,       0.325,    2.158
-146.00,    1.0008,    0.0029,       1.552,    2.166
-145.00,    1.0027,    0.0029,       0.710,    2.163
-144.00,    1.0058,    0.0029,       1.127,    2.170
-143.00,    1.0071,    0.0030,       2.585,    2.179
-142.00,    1.0060,    0.0030,       3.169,    2.204
-141.00,    1.0032,    0.0030,       1.839,    2.204
-140.00,    1.0016,    0.0030,       0.385,    2.235
-139.00,    1.0023,    0.0030,      -1.504,    2.239
-138.00,    1.0038,    0.0030,      -2.206,    2.218
-137.00,    1.0065,    0.0030,      -1.275,    2.239
-136.00,    1.0063,    0.0030,       0.653,    2.244
-135.00,    1.0075,    0.0030,       2.336,    2.227
-134.00,    1.0091,    0.0030,       2.817,    2.215
-133.00,    1.0106,    0.0030,       3.194,    2.203
-132.00,    1.0101,    0.0030,       2.415,    2.184
-131.00,    1.0088,    0.0030,       2.717,    2.165
-130.00,    1.0066,    0.0030,       3.879,    2.170
-129.00,    1.0035,    0.0029,       1.613,    2.185
-128.00,    1.0024,    0.0029,      -0.437,    2.156
-127.00,    1.0027,    0.0029,      -1.574,    2.135
-126.00,    1.0040,    0.0029,      -0.090,    2.102
-125.00,    1.0045,    0.0029,       1.706,    2.091
-124.00,    1.0053,    0.0028,       1.750,    2.095
-123.00,    1.0052,    0.0028,      -0.109,    2.087
-122.00,    1.0072,    0.0028,       0.540,    2.044
-121.00,    1.0110,    0.0028,      -0.096,    2.055
-120.00,    1.0122,    0.0029,      -0.640,    2.087
-119.00,    1.0105,    0.0029,       0.407,    2.100
-118.00,    1.0078,    0.0029,       1.648,    2.101
-117.00,    1.0068,    0.0029,       1.916,    2.078
-116.00,    1.0079,    0.0029,       1.136,    2.089
-115.00,    1.0083,    0.0028,      -1.181,    2.087
-114.00,    1.0080,    0.0029,      -1.895,    2.080
-113.00,    1.0076,    0.0028,      -3.081,    2.072
-112.00,    1.0073,    0.0028,      -1.744,    2.073
-111.00,    1.0063,    0.0028,      -0.217,    2.057
-110.00,    1.0054,    0.0028,       1.347,    2.077
-109.00,    1.0021,    0.0028,       0.961,    2.118
-108.00,    0.9973,    0.0029,      -0.181,    2.137
-107.00,    0.9965,    0.0029,      -0.342,    2.130
