# Stacked over transitions
#['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10', 'P11', 'P12', 'P13', 'P14', 'R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R10', 'R11', 'R12', 'R13']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9986,    0.0032,      -1.926,    2.086
-149.00,    0.9995,    0.0032,      -1.595,    2.078
-148.00,    1.0006,    0.0032,      -2.395,    2.066
-147.00,    1.0010,    0.0031,      -0.619,    2.066
-146.00,    1.0016,    0.0031,       1.716,    2.084
-145.00,    1.0030,    0.0031,       0.390,    2.078
-144.00,    1.0076,    0.0031,      -0.875,    2.077
-143.00,    1.0095,    0.0032,       2.352,    2.070
-142.00,    1.0074,    0.0032,       3.957,    2.091
-141.00,    1.0031,    0.0032,       2.268,    2.090
-140.00,    1.0001,    0.0032,       0.842,    2.136
-139.00,    1.0023,    0.0032,      -2.120,    2.146
-138.00,    1.0052,    0.0032,      -3.040,    2.119
-137.00,    1.0092,    0.0032,      -1.466,    2.149
-136.00,    1.0079,    0.0032,       0.924,    2.136
-135.00,    1.0110,    0.0032,       2.530,    2.086
-134.00,    1.0156,    0.0032,       2.612,    2.062
-133.00,    1.0188,    0.0031,       2.339,    2.036
-132.00,    1.0192,    0.0031,       0.690,    2.004
-131.00,    1.0156,    0.0031,       0.641,    1.977
-130.00,    1.0108,    0.0031,       1.884,    1.968
-129.00,    1.0062,    0.0030,       0.676,    2.001
-128.00,    1.0061,    0.0030,      -0.743,    1.976
-127.00,    1.0066,    0.0030,      -1.450,    1.945
-126.00,    1.0067,    0.0029,       0.152,    1.903
-125.00,    1.0065,    0.0029,       0.968,    1.882
-124.00,    1.0082,    0.0029,       0.751,    1.891
-123.00,    1.0091,    0.0029,      -1.710,    1.880
-122.00,    1.0118,    0.0029,      -0.922,    1.828
-121.00,    1.0153,    0.0029,      -2.542,    1.841
-120.00,    1.0150,    0.0029,      -3.842,    1.874
-119.00,    1.0120,    0.0029,      -1.557,    1.889
-118.00,    1.0075,    0.0029,       2.662,    1.888
-117.00,    1.0066,    0.0029,       3.028,    1.859
-116.00,    1.0088,    0.0029,       1.126,    1.860
-115.00,    1.0104,    0.0028,      -2.703,    1.869
-114.00,    1.0095,    0.0029,      -3.099,    1.881
-113.00,    1.0087,    0.0029,      -4.173,    1.883
-112.00,    1.0097,    0.0029,      -1.986,    1.908
-111.00,    1.0100,    0.0029,      -0.846,    1.897
-110.00,    1.0095,    0.0029,       1.490,    1.914
-109.00,    1.0060,    0.0029,       1.578,    1.965
-108.00,    1.0000,    0.0030,      -0.169,    1.977
-107.00,    0.9993,    0.0030,      -0.248,    1.965
-106.00,    0.9994,    0.0029,      -0.823,    1.955
-105.00,    0.9993,    0.0029,      -0.474,    1.940
-104.00,    0.9990,    0.0029,      -0.490,    1.951
-103.00,    0.9971,    0.0029,      -1.194,    1.940
-102.00,    0.9949,    0.0030,      -0.865,    1.907
-101.00,    0.9940,    0.0030,      -0.961,    1.948
-100.00,    0.9961,    0.0030,      -1.991,    1.958
 -99.00,    1.0030,    0.0030,      -2.300,    1.953
 -98.00,    1.0031,    0.0030,      -2.142,    1.968
 -97.00,    1.0039,    0.0030,      -0.748,    1.989
 -96.00,    1.0059,    0.0030,      -1.309,    1.992
 -95.00,    1.0112,    0.0030,      -0.451,    1.966
 -94.00,    1.0143,    0.0030,      -0.225,    1.959
 -93.00,    1.0137,    0.0031,      -1.522,    1.980
 -92.00,    1.0099,    0.0031,      -2.486,    2.021
 -91.00,    1.0088,    0.0031,      -0.145,    2.034
 -90.00,    1.0075,    0.0031,       0.201,    1.983
 -89.00,    1.0058,    0.0030,      -0.262,    1.973
 -88.00,    1.0044,    0.0031,      -1.953,    2.004
 -87.00,    1.0050,    0.0031,      -1.408,    2.043
 -86.00,    1.0070,    0.0031,       1.780,    2.052
 -85.00,    1.0096,    0.0031,       0.955,    2.023
 -84.00,    1.0098,    0.0031,       1.552,    2.015
 -83.00,    1.0080,    0.0031,       1.409,    2.042
 -82.00,    1.0018,    0.0031,       0.491,    2.104
 -81.00,    0.9986,    0.0032,       0.026,    2.139
 -80.00,    0.9976,    0.0032,      -0.692,    2.145
 -79.00,    0.9972,    0.0032,      -1.185,    2.151
 -78.00,    0.9953,    0.0032,      -2.206,    2.141
 -77.00,    0.9945,    0.0032,      -1.985,    2.123
 -76.00,    0.9945,    0.0032,      -4.182,    2.071
 -75.00,    0.9975,    0.0032,      -3.116,    2.054
 -74.00,    1.0051,    0.0032,      -3.091,    2.063
 -73.00,    1.0102,    0.0032,      -3.024,    2.068
 -72.00,    1.0125,    0.0032,      -1.454,    2.050
 -71.00,    1.0132,    0.0032,       0.042,    2.065
 -70.00,    1.0142,    0.0032,      -0.125,    2.075
 -69.00,    1.0170,    0.0032,      -0.408,    2.061
 -68.00,    1.0174,    0.0031,      -1.234,    2.037
 -67.00,    1.0159,    0.0032,      -1.003,    2.039
 -66.00,    1.0134,    0.0032,      -1.005,    2.090
 -65.00,    1.0103,    0.0032,      -1.571,    2.140
 -64.00,    1.0086,    0.0032,      -2.455,    2.112
 -63.00,    1.0096,    0.0032,      -1.464,    2.056
 -62.00,    1.0107,    0.0032,      -2.536,    2.054
 -61.00,    1.0116,    0.0031,      -0.168,    2.015
 -60.00,    1.0138,    0.0031,       1.481,    1.958
 -59.00,    1.0172,    0.0031,       1.204,    1.929
 -58.00,    1.0187,    0.0031,      -0.291,    1.939
 -57.00,    1.0215,    0.0031,      -1.264,    1.927
 -56.00,    1.0253,    0.0031,      -0.485,    1.936
 -55.00,    1.0278,    0.0031,       0.989,    1.972
 -54.00,    1.0282,    0.0031,       1.971,    1.966
 -53.00,    1.0330,    0.0031,      -1.468,    1.954
 -52.00,    1.0387,    0.0031,      -2.073,    1.962
 -51.00,    1.0401,    0.0031,      -0.305,    1.955
 -50.00,    1.0397,    0.0031,       0.078,    1.930
 -49.00,    1.0422,    0.0031,       2.296,    1.907
 -48.00,    1.0439,    0.0031,      -0.118,    1.915
 -47.00,    1.0477,    0.0030,       0.497,    1.832
 -46.00,    1.0505,    0.0031,       1.534,    1.793
 -45.00,    1.0532,    0.0031,       0.989,    1.814
 -44.00,    1.0543,    0.0031,      -0.370,    1.893
 -43.00,    1.0579,    0.0031,       1.054,    1.857
 -42.00,    1.0639,    0.0031,       0.434,    1.865
 -41.00,    1.0727,    0.0032,      -0.352,    1.859
 -40.00,    1.0806,    0.0032,      -1.489,    1.831
 -39.00,    1.0881,    0.0031,       0.747,    1.827
 -38.00,    1.0955,    0.0031,       1.078,    1.825
 -37.00,    1.1023,    0.0031,       0.777,    1.806
 -36.00,    1.1116,    0.0031,       1.325,    1.798
 -35.00,    1.1190,    0.0031,       1.200,    1.786
 -34.00,    1.1268,    0.0031,       1.007,    1.770
 -33.00,    1.1338,    0.0031,      -0.604,    1.770
 -32.00,    1.1425,    0.0032,      -2.055,    1.771
 -31.00,    1.1531,    0.0032,       0.004,    1.760
 -30.00,    1.1606,    0.0032,       0.578,    1.750
 -29.00,    1.1655,    0.0032,      -1.090,    1.765
 -28.00,    1.1740,    0.0033,       0.300,    1.753
 -27.00,    1.1867,    0.0033,       0.332,    1.751
 -26.00,    1.2016,    0.0033,      -0.794,    1.743
 -25.00,    1.2129,    0.0033,      -3.185,    1.758
 -24.00,    1.2220,    0.0034,      -1.095,    1.762
 -23.00,    1.2285,    0.0034,      -1.027,    1.735
 -22.00,    1.2346,    0.0034,      -0.499,    1.700
 -21.00,    1.2417,    0.0033,       1.195,    1.666
 -20.00,    1.2482,    0.0033,       2.231,    1.621
 -19.00,    1.2566,    0.0033,       1.924,    1.626
 -18.00,    1.2648,    0.0033,       1.451,    1.620
 -17.00,    1.2759,    0.0033,       0.344,    1.598
 -16.00,    1.2849,    0.0034,       0.294,    1.591
 -15.00,    1.2894,    0.0034,      -0.006,    1.607
 -14.00,    1.2899,    0.0034,       0.646,    1.628
 -13.00,    1.2939,    0.0035,       1.824,    1.643
 -12.00,    1.3008,    0.0035,       1.813,    1.631
 -11.00,    1.3098,    0.0035,       0.936,    1.635
 -10.00,    1.3163,    0.0035,      -1.393,    1.651
  -9.00,    1.3195,    0.0036,      -1.820,    1.672
  -8.00,    1.3190,    0.0036,       0.457,    1.647
  -7.00,    1.3187,    0.0036,       3.296,    1.623
  -6.00,    1.3240,    0.0037,       3.177,    1.630
  -5.00,    1.3322,    0.0037,       0.900,    1.674
  -4.00,    1.3336,    0.0037,       3.439,    1.688
  -3.00,    1.3313,    0.0038,       2.732,    1.737
  -2.00,    1.3285,    0.0038,       1.116,    1.778
  -1.00,    1.3232,    0.0039,       2.055,    1.819
   0.00,    1.3182,    0.0040,       0.562,    1.842
   1.00,    1.3153,    0.0040,      -0.690,    1.869
