# Stacked over transitions
#['P21', 'P22', 'P23', 'P25', 'P26', 'P27', 'P28', 'P29', 'P30', 'P31', 'P32', 'P34', 'P35', 'P36', 'P37', 'P38', 'P39', 'P40', 'P41', 'P42']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    1.0046,    0.0037,      -0.270,    3.032
-149.00,    1.0033,    0.0037,      -1.617,    3.037
-148.00,    1.0000,    0.0037,      -2.747,    3.052
-147.00,    0.9988,    0.0037,       1.558,    3.033
-146.00,    0.9996,    0.0037,       4.073,    3.031
-145.00,    1.0026,    0.0037,       4.599,    3.076
-144.00,    1.0057,    0.0037,       4.324,    3.084
-143.00,    1.0026,    0.0037,       3.402,    3.110
-142.00,    0.9989,    0.0037,      -0.937,    3.101
-141.00,    0.9970,    0.0037,      -4.480,    3.083
-140.00,    0.9962,    0.0037,      -5.641,    3.069
-139.00,    0.9963,    0.0037,      -2.212,    3.072
-138.00,    0.9989,    0.0037,      -0.177,    3.087
-137.00,    0.9977,    0.0037,       0.123,    3.081
-136.00,    0.9983,    0.0037,       0.401,    3.090
-135.00,    0.9983,    0.0037,       0.494,    3.077
-134.00,    0.9997,    0.0037,       0.567,    3.020
-133.00,    1.0019,    0.0037,       0.459,    2.978
-132.00,    0.9999,    0.0036,      -1.401,    2.968
-131.00,    0.9996,    0.0036,       1.052,    3.013
-130.00,    0.9986,    0.0036,       5.340,    3.031
-129.00,    0.9992,    0.0036,       3.466,    3.025
-128.00,    1.0011,    0.0036,       4.138,    3.000
-127.00,    1.0032,    0.0036,       5.707,    3.009
-126.00,    1.0065,    0.0036,       6.585,    2.978
-125.00,    1.0082,    0.0036,       0.202,    2.983
-124.00,    1.0097,    0.0036,      -0.607,    3.001
-123.00,    1.0065,    0.0036,      -3.407,    3.000
-122.00,    1.0096,    0.0036,      -0.805,    2.967
-121.00,    1.0140,    0.0036,       2.014,    2.941
-120.00,    1.0170,    0.0036,       2.975,    2.934
-119.00,    1.0145,    0.0036,       1.940,    2.947
-118.00,    1.0101,    0.0036,       1.358,    2.953
-117.00,    1.0061,    0.0036,       2.595,    2.990
-116.00,    1.0081,    0.0037,       4.191,    3.066
-115.00,    1.0119,    0.0037,       4.635,    3.094
-114.00,    1.0143,    0.0037,       6.979,    3.056
-113.00,    1.0127,    0.0037,       3.691,    3.007
-112.00,    1.0119,    0.0037,      -0.106,    2.963
-111.00,    1.0098,    0.0036,      -2.485,    2.992
-110.00,    1.0062,    0.0036,      -1.679,    3.025
-109.00,    1.0042,    0.0036,       0.394,    3.028
-108.00,    1.0042,    0.0036,       1.897,    2.976
-107.00,    1.0060,    0.0036,       2.405,    2.918
-106.00,    1.0066,    0.0036,       0.552,    2.963
-105.00,    1.0045,    0.0036,       2.933,    3.008
-104.00,    1.0006,    0.0036,       2.296,    3.043
-103.00,    1.0000,    0.0036,      -1.357,    3.019
-102.00,    1.0027,    0.0036,       0.451,    3.033
-101.00,    1.0059,    0.0037,       1.147,    3.030
-100.00,    1.0071,    0.0037,      -0.089,    3.020
 -99.00,    1.0079,    0.0037,      -1.798,    3.046
 -98.00,    1.0027,    0.0037,       0.928,    3.082
 -97.00,    0.9964,    0.0037,       6.562,    3.154
 -96.00,    0.9954,    0.0037,       8.518,    3.138
 -95.00,    0.9971,    0.0037,       1.833,    3.123
 -94.00,    0.9971,    0.0037,      -1.056,    3.146
 -93.00,    0.9931,    0.0037,       1.930,    3.098
 -92.00,    0.9940,    0.0036,       0.564,    3.055
 -91.00,    0.9975,    0.0036,       1.239,    3.044
 -90.00,    0.9994,    0.0036,       0.191,    3.066
 -89.00,    0.9973,    0.0036,       0.500,    3.018
 -88.00,    0.9973,    0.0036,       3.465,    3.016
 -87.00,    0.9945,    0.0036,       3.406,    3.022
 -86.00,    0.9895,    0.0036,       1.629,    2.983
