# Combination of highJ over dates ['191008', '200220']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9979,    0.0040,      -0.584,    2.866
-149.00,    0.9968,    0.0040,      -1.708,    2.882
-148.00,    0.9990,    0.0040,       0.022,    2.867
-147.00,    1.0029,    0.0040,      -0.324,    2.851
-146.00,    1.0024,    0.0040,      -1.942,    2.836
-145.00,    1.0002,    0.0040,      -2.143,    2.850
-144.00,    0.9999,    0.0040,      -1.078,    2.890
-143.00,    1.0006,    0.0040,      -0.524,    2.890
-142.00,    1.0032,    0.0040,       0.501,    2.847
-141.00,    1.0039,    0.0040,       1.891,    2.844
-140.00,    1.0031,    0.0040,       0.441,    2.863
-139.00,    1.0037,    0.0041,       0.634,    2.893
-138.00,    1.0073,    0.0041,      -0.786,    2.924
-137.00,    1.0118,    0.0041,       0.246,    2.909
-136.00,    1.0155,    0.0041,      -0.346,    2.861
-135.00,    1.0202,    0.0041,      -2.597,    2.820
-134.00,    1.0231,    0.0041,      -6.047,    2.777
-133.00,    1.0240,    0.0041,      -4.258,    2.750
-132.00,    1.0187,    0.0041,      -1.927,    2.800
-131.00,    1.0150,    0.0041,      -1.699,    2.820
-130.00,    1.0129,    0.0040,      -2.533,    2.822
-129.00,    1.0096,    0.0040,      -1.534,    2.841
-128.00,    1.0058,    0.0040,      -1.944,    2.829
-127.00,    1.0020,    0.0040,      -2.124,    2.813
-126.00,    1.0001,    0.0040,      -1.874,    2.798
-125.00,    0.9977,    0.0039,      -0.672,    2.828
-124.00,    0.9984,    0.0039,       1.118,    2.824
-123.00,    1.0005,    0.0039,      -0.612,    2.815
-122.00,    1.0025,    0.0039,      -2.716,    2.816
-121.00,    1.0012,    0.0039,      -2.873,    2.782
-120.00,    1.0011,    0.0039,      -1.482,    2.761
-119.00,    1.0012,    0.0039,      -0.956,    2.780
-118.00,    1.0025,    0.0039,       0.689,    2.787
-117.00,    1.0031,    0.0039,       0.160,    2.763
-116.00,    1.0014,    0.0039,      -2.089,    2.773
-115.00,    1.0004,    0.0038,      -2.707,    2.769
-114.00,    1.0025,    0.0038,      -1.534,    2.761
-113.00,    1.0054,    0.0038,      -2.795,    2.751
-112.00,    1.0059,    0.0038,      -3.580,    2.756
-111.00,    1.0044,    0.0038,      -3.523,    2.754
-110.00,    1.0007,    0.0039,       0.860,    2.808
-109.00,    0.9974,    0.0039,       3.142,    2.810
-108.00,    0.9982,    0.0039,       2.475,    2.814
-107.00,    1.0000,    0.0039,      -1.253,    2.808
-106.00,    1.0003,    0.0039,      -1.717,    2.790
-105.00,    1.0000,    0.0039,      -0.789,    2.745
-104.00,    1.0000,    0.0039,       1.959,    2.726
-103.00,    1.0030,    0.0039,       1.901,    2.750
-102.00,    1.0023,    0.0039,       0.057,    2.752
-101.00,    1.0019,    0.0038,      -0.799,    2.743
-100.00,    1.0022,    0.0038,       0.485,    2.739
 -99.00,    1.0022,    0.0038,       0.002,    2.738
 -98.00,    1.0035,    0.0038,      -0.708,    2.717
 -97.00,    1.0057,    0.0038,      -1.675,    2.688
 -96.00,    1.0060,    0.0038,      -1.391,    2.680
 -95.00,    1.0029,    0.0038,      -0.554,    2.658
 -94.00,    1.0029,    0.0038,      -0.826,    2.655
 -93.00,    1.0053,    0.0038,       0.029,    2.667
 -92.00,    1.0070,    0.0038,       3.453,    2.690
 -91.00,    1.0097,    0.0038,       2.569,    2.679
 -90.00,    1.0108,    0.0038,       2.823,    2.687
 -89.00,    1.0108,    0.0038,       1.743,    2.686
 -88.00,    1.0105,    0.0038,       0.826,    2.673
 -87.00,    1.0124,    0.0038,       1.007,    2.680
 -86.00,    1.0148,    0.0038,      -0.370,    2.689
 -85.00,    1.0158,    0.0038,      -2.048,    2.660
 -84.00,    1.0151,    0.0038,      -2.749,    2.650
 -83.00,    1.0132,    0.0038,      -0.746,    2.664
 -82.00,    1.0121,    0.0038,       0.003,    2.643
 -81.00,    1.0145,    0.0038,       0.795,    2.637
 -80.00,    1.0201,    0.0038,       1.931,    2.590
 -79.00,    1.0255,    0.0038,      -0.077,    2.559
 -78.00,    1.0292,    0.0038,      -0.499,    2.561
 -77.00,    1.0313,    0.0038,      -1.364,    2.582
 -76.00,    1.0320,    0.0038,      -1.376,    2.622
 -75.00,    1.0307,    0.0038,      -0.250,    2.618
 -74.00,    1.0316,    0.0039,      -0.112,    2.606
 -73.00,    1.0325,    0.0039,       0.204,    2.585
 -72.00,    1.0334,    0.0039,       1.493,    2.586
 -71.00,    1.0332,    0.0039,      -0.886,    2.598
 -70.00,    1.0328,    0.0039,       0.163,    2.565
 -69.00,    1.0346,    0.0039,       2.435,    2.554
 -68.00,    1.0364,    0.0039,       2.507,    2.593
 -67.00,    1.0348,    0.0039,       0.451,    2.620
 -66.00,    1.0328,    0.0039,      -1.236,    2.592
 -65.00,    1.0334,    0.0039,      -0.963,    2.586
 -64.00,    1.0322,    0.0039,       0.857,    2.617
 -63.00,    1.0294,    0.0039,       4.758,    2.708
 -62.00,    1.0278,    0.0040,       3.267,    2.723
 -61.00,    1.0307,    0.0040,       1.086,    2.715
 -60.00,    1.0308,    0.0040,      -1.933,    2.685
 -59.00,    1.0285,    0.0040,      -2.551,    2.665
 -58.00,    1.0272,    0.0040,      -2.112,    2.641
 -57.00,    1.0246,    0.0040,      -1.351,    2.657
 -56.00,    1.0212,    0.0040,      -2.728,    2.693
 -55.00,    1.0196,    0.0039,      -0.031,    2.700
 -54.00,    1.0166,    0.0039,       0.544,    2.701
 -53.00,    1.0136,    0.0039,       0.049,    2.711
 -52.00,    1.0134,    0.0039,      -0.041,    2.712
 -51.00,    1.0159,    0.0039,      -1.228,    2.710
 -50.00,    1.0159,    0.0039,      -1.761,    2.719
 -49.00,    1.0129,    0.0039,      -1.848,    2.725
 -48.00,    1.0102,    0.0039,       0.148,    2.715
 -47.00,    1.0102,    0.0040,       3.093,    2.722
 -46.00,    1.0104,    0.0040,       2.439,    2.751
 -45.00,    1.0085,    0.0040,       0.774,    2.776
 -44.00,    1.0068,    0.0040,      -1.788,    2.836
 -43.00,    1.0060,    0.0040,      -2.306,    2.832
 -42.00,    1.0048,    0.0041,      -1.138,    2.853
 -41.00,    1.0052,    0.0041,       0.160,    2.846
 -40.00,    1.0071,    0.0040,       2.654,    2.799
 -39.00,    1.0093,    0.0040,       1.583,    2.806
 -38.00,    1.0073,    0.0040,      -1.508,    2.813
 -37.00,    1.0022,    0.0040,      -0.979,    2.781
 -36.00,    1.0008,    0.0040,       1.732,    2.759
 -35.00,    1.0039,    0.0040,       1.225,    2.757
 -34.00,    1.0074,    0.0040,      -1.553,    2.757
 -33.00,    1.0100,    0.0040,      -2.774,    2.765
 -32.00,    1.0098,    0.0039,      -2.463,    2.749
 -31.00,    1.0077,    0.0039,      -1.253,    2.725
 -30.00,    1.0064,    0.0039,      -0.652,    2.721
 -29.00,    1.0082,    0.0039,       0.990,    2.729
 -28.00,    1.0122,    0.0039,      -1.668,    2.702
 -27.00,    1.0147,    0.0039,      -1.819,    2.710
 -26.00,    1.0176,    0.0039,      -0.957,    2.708
 -25.00,    1.0208,    0.0039,       0.962,    2.703
 -24.00,    1.0243,    0.0039,      -0.573,    2.663
 -23.00,    1.0257,    0.0039,      -3.147,    2.654
 -22.00,    1.0254,    0.0039,      -3.359,    2.681
 -21.00,    1.0258,    0.0039,      -2.406,    2.706
 -20.00,    1.0275,    0.0039,       0.804,    2.723
 -19.00,    1.0303,    0.0039,      -0.221,    2.718
 -18.00,    1.0332,    0.0040,      -0.947,    2.699
 -17.00,    1.0362,    0.0040,      -2.142,    2.708
 -16.00,    1.0378,    0.0040,      -1.129,    2.698
 -15.00,    1.0401,    0.0040,       0.028,    2.686
 -14.00,    1.0422,    0.0040,       0.956,    2.684
 -13.00,    1.0464,    0.0040,       2.498,    2.676
 -12.00,    1.0544,    0.0040,       2.305,    2.643
 -11.00,    1.0654,    0.0041,       1.480,    2.624
 -10.00,    1.0746,    0.0041,       0.526,    2.598
  -9.00,    1.0813,    0.0040,       0.642,    2.580
  -8.00,    1.0870,    0.0040,       0.717,    2.543
  -7.00,    1.0935,    0.0040,       0.406,    2.522
  -6.00,    1.1023,    0.0040,       0.015,    2.513
  -5.00,    1.1111,    0.0040,       0.622,    2.516
  -4.00,    1.1221,    0.0041,       1.999,    2.518
  -3.00,    1.1364,    0.0041,       1.928,    2.475
  -2.00,    1.1521,    0.0041,       0.312,    2.441
  -1.00,    1.1665,    0.0041,      -1.540,    2.393
  -0.00,    1.1812,    0.0042,       1.440,    2.355
   1.00,    1.1979,    0.0042,       1.818,    2.326
   2.00,    1.2153,    0.0042,       0.208,    2.273
   3.00,    1.2347,    0.0042,      -0.127,    2.204
   4.00,    1.2578,    0.0042,      -0.026,    2.150
   5.00,    1.2805,    0.0043,       1.432,    2.152
   6.00,    1.3055,    0.0043,       0.237,    2.114
   7.00,    1.3346,    0.0044,       1.124,    2.064
   8.00,    1.3650,    0.0044,       1.482,    2.030
   9.00,    1.3942,    0.0045,       1.828,    1.984
  10.00,    1.4284,    0.0045,       0.239,    1.932
  11.00,    1.4633,    0.0045,      -1.323,    1.873
  12.00,    1.5010,    0.0046,      -2.300,    1.815
  13.00,    1.5436,    0.0047,      -0.373,    1.765
  14.00,    1.5940,    0.0048,       1.400,    1.719
  15.00,    1.6500,    0.0049,       1.817,    1.668
  16.00,    1.7130,    0.0050,      -0.014,    1.593
  17.00,    1.7836,    0.0052,       0.031,    1.545
  18.00,    1.8631,    0.0053,       0.835,    1.483
  19.00,    1.9444,    0.0055,       0.834,    1.415
  20.00,    2.0342,    0.0057,       1.493,    1.335
  21.00,    2.1239,    0.0058,       1.463,    1.284
  22.00,    2.2070,    0.0060,       1.269,    1.236
  23.00,    2.2673,    0.0061,       0.987,    1.201
  24.00,    2.2968,    0.0062,       0.433,    1.190
  25.00,    2.3010,    0.0063,      -0.263,    1.195
  26.00,    2.2737,    0.0063,       1.423,    1.219
  27.00,    2.2199,    0.0062,       1.733,    1.246
  28.00,    2.1510,    0.0060,       1.509,    1.280
  29.00,    2.0731,    0.0059,       0.869,    1.335
  30.00,    1.9959,    0.0057,      -0.131,    1.389
  31.00,    1.9285,    0.0056,       0.213,    1.446
  32.00,    1.8635,    0.0055,       0.120,    1.497
  33.00,    1.7979,    0.0053,       0.203,    1.561
  34.00,    1.7335,    0.0052,      -1.006,    1.606
  35.00,    1.6747,    0.0051,      -2.059,    1.641
  36.00,    1.6236,    0.0051,      -0.452,    1.715
  37.00,    1.5783,    0.0050,       1.389,    1.780
  38.00,    1.5378,    0.0049,       1.276,    1.820
  39.00,    1.5006,    0.0048,       1.039,    1.884
  40.00,    1.4635,    0.0048,       1.209,    1.937
  41.00,    1.4338,    0.0047,       0.088,    1.987
  42.00,    1.4059,    0.0047,       0.355,    2.025
  43.00,    1.3806,    0.0046,       0.197,    2.064
  44.00,    1.3568,    0.0046,       0.368,    2.111
  45.00,    1.3326,    0.0045,       1.783,    2.124
  46.00,    1.3060,    0.0045,       1.317,    2.175
  47.00,    1.2818,    0.0044,      -0.609,    2.205
  48.00,    1.2617,    0.0044,      -1.305,    2.224
  49.00,    1.2454,    0.0044,       1.261,    2.269
  50.00,    1.2256,    0.0044,       1.218,    2.299
  51.00,    1.2046,    0.0043,       1.439,    2.354
  52.00,    1.1842,    0.0043,       0.841,    2.403
  53.00,    1.1690,    0.0043,       2.154,    2.433
  54.00,    1.1577,    0.0043,       2.342,    2.413
  55.00,    1.1467,    0.0043,       2.667,    2.450
  56.00,    1.1318,    0.0042,       2.109,    2.507
  57.00,    1.1191,    0.0042,      -0.433,    2.515
  58.00,    1.1089,    0.0042,      -0.066,    2.511
  59.00,    1.0992,    0.0041,       0.624,    2.514
  60.00,    1.0911,    0.0041,      -2.439,    2.546
  61.00,    1.0830,    0.0041,      -1.016,    2.588
  62.00,    1.0737,    0.0041,       0.630,    2.615
  63.00,    1.0638,    0.0041,      -0.408,    2.604
  64.00,    1.0562,    0.0041,      -0.598,    2.594
  65.00,    1.0527,    0.0041,      -2.597,    2.636
  66.00,    1.0477,    0.0041,      -1.284,    2.674
  67.00,    1.0445,    0.0041,      -1.420,    2.672
  68.00,    1.0433,    0.0041,      -1.951,    2.699
  69.00,    1.0434,    0.0041,      -2.275,    2.707
  70.00,    1.0433,    0.0041,      -2.430,    2.696
  71.00,    1.0396,    0.0040,      -1.204,    2.727
  72.00,    1.0362,    0.0040,       1.905,    2.719
  73.00,    1.0366,    0.0040,       0.151,    2.703
  74.00,    1.0355,    0.0040,       0.162,    2.700
  75.00,    1.0313,    0.0040,       2.073,    2.691
  76.00,    1.0308,    0.0040,       3.082,    2.714
  77.00,    1.0340,    0.0041,       0.911,    2.777
  78.00,    1.0334,    0.0041,       0.836,    2.823
  79.00,    1.0287,    0.0041,       2.680,    2.783
  80.00,    1.0267,    0.0040,       1.593,    2.689
  81.00,    1.0262,    0.0040,      -0.869,    2.667
  82.00,    1.0277,    0.0040,      -1.442,    2.738
  83.00,    1.0299,    0.0040,      -0.695,    2.759
  84.00,    1.0343,    0.0040,       0.553,    2.739
  85.00,    1.0379,    0.0040,      -0.130,    2.708
  86.00,    1.0389,    0.0040,      -1.719,    2.698
  87.00,    1.0377,    0.0040,      -1.395,    2.709
  88.00,    1.0368,    0.0041,      -1.276,    2.710
  89.00,    1.0383,    0.0041,      -4.044,    2.704
  90.00,    1.0413,    0.0041,      -1.758,    2.664
  91.00,    1.0454,    0.0041,      -0.296,    2.664
  92.00,    1.0448,    0.0041,      -2.051,    2.687
  93.00,    1.0451,    0.0041,      -1.671,    2.686
  94.00,    1.0436,    0.0041,       0.588,    2.678
  95.00,    1.0413,    0.0041,       1.460,    2.679
  96.00,    1.0395,    0.0041,       0.750,    2.700
  97.00,    1.0384,    0.0041,       2.655,    2.689
  98.00,    1.0407,    0.0041,       0.702,    2.672
  99.00,    1.0423,    0.0041,      -1.794,    2.689
 100.00,    1.0416,    0.0041,      -2.090,    2.674
