# Combination of lowJ over dates ['191008', '200220']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    1.0253,    0.0026,       1.822,    1.797
-149.00,    1.0252,    0.0026,       1.428,    1.805
-148.00,    1.0262,    0.0026,       1.791,    1.800
-147.00,    1.0255,    0.0026,       3.634,    1.791
-146.00,    1.0249,    0.0026,       2.573,    1.770
-145.00,    1.0273,    0.0025,       1.017,    1.765
-144.00,    1.0289,    0.0025,       0.557,    1.768
-143.00,    1.0281,    0.0026,       0.494,    1.764
-142.00,    1.0291,    0.0026,      -0.558,    1.767
-141.00,    1.0267,    0.0026,      -1.006,    1.784
-140.00,    1.0246,    0.0026,      -0.294,    1.801
-139.00,    1.0265,    0.0026,      -0.677,    1.795
-138.00,    1.0278,    0.0026,      -1.738,    1.791
-137.00,    1.0272,    0.0026,      -1.316,    1.784
-136.00,    1.0248,    0.0026,       0.880,    1.802
-135.00,    1.0251,    0.0026,       3.796,    1.806
-134.00,    1.0265,    0.0026,       3.573,    1.792
-133.00,    1.0272,    0.0026,       1.073,    1.790
-132.00,    1.0272,    0.0026,      -0.868,    1.760
-131.00,    1.0289,    0.0026,      -0.801,    1.722
-130.00,    1.0288,    0.0025,      -1.643,    1.715
-129.00,    1.0252,    0.0025,      -1.693,    1.721
-128.00,    1.0226,    0.0025,      -1.901,    1.726
-127.00,    1.0203,    0.0025,      -2.706,    1.721
-126.00,    1.0202,    0.0025,      -2.348,    1.705
-125.00,    1.0210,    0.0025,      -0.122,    1.700
-124.00,    1.0203,    0.0025,       0.366,    1.685
-123.00,    1.0192,    0.0025,      -1.063,    1.672
-122.00,    1.0192,    0.0024,       0.338,    1.671
-121.00,    1.0203,    0.0024,       0.336,    1.672
-120.00,    1.0192,    0.0024,      -0.060,    1.680
-119.00,    1.0167,    0.0024,      -0.962,    1.696
-118.00,    1.0144,    0.0024,      -0.925,    1.712
-117.00,    1.0158,    0.0025,      -0.378,    1.726
-116.00,    1.0167,    0.0024,      -0.127,    1.702
-115.00,    1.0164,    0.0024,      -0.405,    1.675
-114.00,    1.0145,    0.0024,      -1.305,    1.657
-113.00,    1.0110,    0.0024,      -1.257,    1.667
-112.00,    1.0096,    0.0024,      -0.681,    1.671
-111.00,    1.0094,    0.0024,      -1.083,    1.683
-110.00,    1.0089,    0.0024,      -0.929,    1.691
-109.00,    1.0087,    0.0024,       1.624,    1.716
-108.00,    1.0087,    0.0024,       2.259,    1.734
-107.00,    1.0093,    0.0024,       0.824,    1.748
-106.00,    1.0109,    0.0024,       1.029,    1.735
-105.00,    1.0129,    0.0024,       1.608,    1.726
-104.00,    1.0135,    0.0024,       0.895,    1.726
-103.00,    1.0110,    0.0024,       0.319,    1.719
-102.00,    1.0099,    0.0024,      -0.384,    1.707
-101.00,    1.0104,    0.0024,      -1.282,    1.695
-100.00,    1.0115,    0.0024,      -1.180,    1.697
 -99.00,    1.0122,    0.0024,      -0.382,    1.713
 -98.00,    1.0137,    0.0024,       0.743,    1.707
 -97.00,    1.0158,    0.0024,       0.144,    1.716
 -96.00,    1.0182,    0.0025,      -1.070,    1.720
 -95.00,    1.0206,    0.0025,      -1.670,    1.718
 -94.00,    1.0233,    0.0025,      -1.518,    1.702
 -93.00,    1.0273,    0.0025,      -0.911,    1.688
 -92.00,    1.0304,    0.0025,      -0.114,    1.694
 -91.00,    1.0325,    0.0025,       1.035,    1.720
 -90.00,    1.0340,    0.0025,       1.670,    1.719
 -89.00,    1.0355,    0.0025,       0.417,    1.693
 -88.00,    1.0359,    0.0025,      -1.232,    1.669
 -87.00,    1.0357,    0.0025,      -1.317,    1.697
 -86.00,    1.0352,    0.0025,      -1.228,    1.712
 -85.00,    1.0358,    0.0025,      -0.595,    1.725
 -84.00,    1.0362,    0.0025,       0.789,    1.738
 -83.00,    1.0360,    0.0025,       0.512,    1.737
 -82.00,    1.0343,    0.0025,       0.369,    1.740
 -81.00,    1.0322,    0.0025,       0.732,    1.747
 -80.00,    1.0301,    0.0026,      -0.227,    1.783
 -79.00,    1.0287,    0.0026,      -0.309,    1.804
 -78.00,    1.0279,    0.0026,       0.327,    1.826
 -77.00,    1.0255,    0.0026,      -0.139,    1.857
 -76.00,    1.0222,    0.0026,      -0.530,    1.845
 -75.00,    1.0222,    0.0026,      -1.386,    1.794
 -74.00,    1.0240,    0.0026,      -1.974,    1.779
 -73.00,    1.0231,    0.0025,      -1.328,    1.787
 -72.00,    1.0230,    0.0025,      -1.663,    1.798
 -71.00,    1.0238,    0.0025,      -1.483,    1.793
 -70.00,    1.0245,    0.0026,      -0.587,    1.804
 -69.00,    1.0264,    0.0026,       0.732,    1.826
 -68.00,    1.0260,    0.0026,       0.478,    1.832
 -67.00,    1.0248,    0.0026,       0.158,    1.849
 -66.00,    1.0240,    0.0026,      -0.254,    1.844
 -65.00,    1.0233,    0.0027,      -0.888,    1.858
 -64.00,    1.0225,    0.0027,      -1.349,    1.904
 -63.00,    1.0230,    0.0027,       0.924,    1.931
 -62.00,    1.0258,    0.0028,       1.884,    1.928
 -61.00,    1.0273,    0.0027,       0.896,    1.901
 -60.00,    1.0279,    0.0027,      -2.136,    1.856
 -59.00,    1.0290,    0.0027,      -3.120,    1.807
 -58.00,    1.0297,    0.0027,      -3.002,    1.800
 -57.00,    1.0295,    0.0027,      -0.992,    1.811
 -56.00,    1.0286,    0.0027,       0.456,    1.832
 -55.00,    1.0276,    0.0027,       2.588,    1.861
 -54.00,    1.0261,    0.0027,       2.828,    1.880
 -53.00,    1.0265,    0.0027,       1.211,    1.881
 -52.00,    1.0270,    0.0027,       0.372,    1.882
 -51.00,    1.0265,    0.0028,      -1.594,    1.885
 -50.00,    1.0276,    0.0028,      -3.090,    1.892
 -49.00,    1.0295,    0.0028,      -2.812,    1.896
 -48.00,    1.0298,    0.0028,      -2.160,    1.888
 -47.00,    1.0270,    0.0028,       1.672,    1.921
 -46.00,    1.0266,    0.0028,       1.767,    1.927
 -45.00,    1.0261,    0.0029,      -1.795,    1.902
 -44.00,    1.0264,    0.0029,      -1.317,    1.930
 -43.00,    1.0251,    0.0029,      -1.142,    1.989
 -42.00,    1.0269,    0.0029,       0.380,    2.010
 -41.00,    1.0293,    0.0030,       0.540,    2.029
 -40.00,    1.0308,    0.0031,      -0.081,    2.029
 -39.00,    1.0327,    0.0031,       0.353,    2.046
 -38.00,    1.0323,    0.0032,      -0.643,    2.036
 -37.00,    1.0319,    0.0031,      -0.059,    2.025
 -36.00,    1.0319,    0.0031,      -0.111,    2.046
 -35.00,    1.0337,    0.0031,       0.117,    2.048
 -34.00,    1.0335,    0.0031,       1.681,    2.056
 -33.00,    1.0327,    0.0031,       0.638,    2.072
 -32.00,    1.0316,    0.0031,       1.885,    2.070
 -31.00,    1.0331,    0.0031,       1.240,    2.063
 -30.00,    1.0352,    0.0031,       0.874,    2.051
 -29.00,    1.0363,    0.0031,      -0.331,    2.048
 -28.00,    1.0388,    0.0031,       0.782,    2.070
 -27.00,    1.0421,    0.0031,       0.728,    2.066
 -26.00,    1.0442,    0.0031,       0.305,    2.079
 -25.00,    1.0433,    0.0032,      -0.838,    2.108
 -24.00,    1.0396,    0.0032,      -1.298,    2.138
 -23.00,    1.0367,    0.0032,       0.117,    2.140
 -22.00,    1.0389,    0.0032,       0.201,    2.152
 -21.00,    1.0405,    0.0032,       0.834,    2.140
 -20.00,    1.0431,    0.0032,      -1.636,    2.069
 -19.00,    1.0498,    0.0032,      -1.148,    2.019
 -18.00,    1.0566,    0.0031,      -0.359,    2.013
 -17.00,    1.0616,    0.0031,       0.635,    2.001
 -16.00,    1.0634,    0.0031,       1.608,    1.975
 -15.00,    1.0653,    0.0030,       0.320,    1.956
 -14.00,    1.0680,    0.0030,      -1.257,    1.958
 -13.00,    1.0720,    0.0031,      -1.855,    1.952
 -12.00,    1.0765,    0.0031,      -2.279,    1.951
 -11.00,    1.0797,    0.0030,      -2.462,    1.957
 -10.00,    1.0835,    0.0030,      -0.282,    1.949
  -9.00,    1.0890,    0.0030,       0.626,    1.933
  -8.00,    1.0944,    0.0031,       0.753,    1.925
  -7.00,    1.1011,    0.0030,      -0.315,    1.899
  -6.00,    1.1083,    0.0030,       0.591,    1.874
  -5.00,    1.1159,    0.0030,      -0.337,    1.858
  -4.00,    1.1258,    0.0031,      -0.033,    1.855
  -3.00,    1.1363,    0.0031,      -0.441,    1.861
  -2.00,    1.1468,    0.0031,       0.309,    1.858
  -1.00,    1.1604,    0.0031,       1.514,    1.836
  -0.00,    1.1776,    0.0031,       0.724,    1.825
   1.00,    1.1944,    0.0032,       0.400,    1.832
   2.00,    1.2097,    0.0032,       1.339,    1.849
   3.00,    1.2294,    0.0033,       0.583,    1.825
   4.00,    1.2510,    0.0033,      -1.020,    1.771
   5.00,    1.2772,    0.0034,      -2.453,    1.736
   6.00,    1.3029,    0.0034,      -2.336,    1.740
   7.00,    1.3304,    0.0035,      -0.712,    1.743
   8.00,    1.3582,    0.0036,      -0.523,    1.723
   9.00,    1.3891,    0.0037,      -2.126,    1.719
  10.00,    1.4249,    0.0038,      -2.045,    1.715
  11.00,    1.4670,    0.0039,       0.778,    1.714
  12.00,    1.5124,    0.0040,       0.844,    1.714
  13.00,    1.5613,    0.0041,       1.196,    1.686
  14.00,    1.6167,    0.0043,       1.391,    1.681
  15.00,    1.6796,    0.0045,       0.304,    1.673
  16.00,    1.7521,    0.0048,      -0.484,    1.676
  17.00,    1.8404,    0.0051,      -0.985,    1.673
  18.00,    1.9479,    0.0054,       1.405,    1.622
  19.00,    2.0674,    0.0057,       1.484,    1.580
  20.00,    2.1882,    0.0061,       1.279,    1.518
  21.00,    2.2979,    0.0063,       0.836,    1.426
  22.00,    2.3914,    0.0067,      -0.391,    1.353
  23.00,    2.4716,    0.0069,       0.099,    1.342
  24.00,    2.4977,    0.0071,       0.609,    1.351
  25.00,    2.4694,    0.0071,      -0.395,    1.382
  26.00,    2.3921,    0.0069,      -0.551,    1.421
  27.00,    2.2902,    0.0068,      -0.628,    1.495
  28.00,    2.1849,    0.0065,       0.945,    1.581
  29.00,    2.0841,    0.0063,       1.527,    1.655
  30.00,    1.9906,    0.0061,       0.358,    1.718
  31.00,    1.9040,    0.0058,      -0.817,    1.766
  32.00,    1.8232,    0.0055,      -0.219,    1.774
  33.00,    1.7540,    0.0052,       0.626,    1.788
  34.00,    1.6925,    0.0050,       1.353,    1.737
  35.00,    1.6372,    0.0048,      -0.239,    1.705
  36.00,    1.5915,    0.0045,      -0.975,    1.690
  37.00,    1.5542,    0.0044,       0.764,    1.702
  38.00,    1.5203,    0.0042,      -1.074,    1.673
  39.00,    1.4856,    0.0041,      -1.768,    1.653
  40.00,    1.4515,    0.0039,      -0.848,    1.654
  41.00,    1.4195,    0.0037,       0.311,    1.650
  42.00,    1.3919,    0.0036,       0.836,    1.645
  43.00,    1.3645,    0.0035,      -0.268,    1.634
  44.00,    1.3385,    0.0034,      -1.288,    1.630
  45.00,    1.3144,    0.0033,      -0.436,    1.640
  46.00,    1.2921,    0.0032,       0.310,    1.639
  47.00,    1.2731,    0.0032,       1.345,    1.624
  48.00,    1.2539,    0.0031,       1.019,    1.629
  49.00,    1.2322,    0.0030,      -1.704,    1.646
  50.00,    1.2105,    0.0030,      -0.943,    1.661
  51.00,    1.1923,    0.0030,       0.599,    1.674
  52.00,    1.1762,    0.0030,       2.021,    1.701
  53.00,    1.1631,    0.0030,       0.411,    1.700
  54.00,    1.1491,    0.0029,      -0.996,    1.719
  55.00,    1.1335,    0.0029,      -0.672,    1.735
  56.00,    1.1200,    0.0029,      -0.228,    1.749
  57.00,    1.1082,    0.0028,      -0.621,    1.754
  58.00,    1.0992,    0.0028,      -1.089,    1.758
  59.00,    1.0906,    0.0028,      -1.506,    1.744
  60.00,    1.0800,    0.0028,      -1.585,    1.735
  61.00,    1.0708,    0.0028,      -2.102,    1.756
  62.00,    1.0628,    0.0028,       0.868,    1.809
  63.00,    1.0558,    0.0027,       2.268,    1.845
  64.00,    1.0489,    0.0027,       1.775,    1.837
  65.00,    1.0441,    0.0026,       0.474,    1.810
  66.00,    1.0391,    0.0026,      -0.833,    1.811
  67.00,    1.0330,    0.0026,      -0.815,    1.825
  68.00,    1.0293,    0.0026,       1.267,    1.831
  69.00,    1.0279,    0.0026,       1.531,    1.836
  70.00,    1.0256,    0.0026,       0.320,    1.828
  71.00,    1.0227,    0.0026,       0.601,    1.825
  72.00,    1.0194,    0.0026,       1.485,    1.807
  73.00,    1.0178,    0.0026,       1.633,    1.766
  74.00,    1.0159,    0.0026,       1.340,    1.767
  75.00,    1.0123,    0.0025,       0.833,    1.779
  76.00,    1.0094,    0.0025,      -0.453,    1.790
  77.00,    1.0089,    0.0025,      -0.558,    1.815
  78.00,    1.0070,    0.0025,       1.344,    1.854
  79.00,    1.0040,    0.0026,       0.355,    1.850
  80.00,    1.0007,    0.0026,      -1.541,    1.864
  81.00,    0.9994,    0.0026,      -1.259,    1.867
  82.00,    1.0012,    0.0025,      -0.789,    1.859
  83.00,    1.0045,    0.0026,       0.089,    1.855
  84.00,    1.0057,    0.0026,       1.703,    1.855
  85.00,    1.0061,    0.0026,       1.183,    1.847
  86.00,    1.0037,    0.0026,      -1.304,    1.829
  87.00,    1.0010,    0.0026,       0.456,    1.820
  88.00,    1.0007,    0.0026,       1.089,    1.811
  89.00,    1.0017,    0.0026,       2.042,    1.835
  90.00,    1.0032,    0.0026,       2.323,    1.858
  91.00,    1.0038,    0.0026,      -0.539,    1.846
  92.00,    1.0059,    0.0027,      -2.471,    1.839
  93.00,    1.0093,    0.0026,      -1.733,    1.848
  94.00,    1.0125,    0.0026,       0.495,    1.846
  95.00,    1.0145,    0.0025,       0.991,    1.817
  96.00,    1.0143,    0.0025,      -0.122,    1.786
  97.00,    1.0144,    0.0025,      -1.039,    1.785
  98.00,    1.0129,    0.0026,      -0.020,    1.806
  99.00,    1.0114,    0.0026,       1.727,    1.824
 100.00,    1.0120,    0.0025,      -0.236,    1.814
 101.00,    1.0141,    0.0025,      -1.064,    1.814
 102.00,    1.0133,    0.0025,       0.163,    1.810
 103.00,    1.0111,    0.0025,      -1.935,    1.784
 104.00,    1.0099,    0.0026,      -0.143,    1.795
 105.00,    1.0126,    0.0026,       0.862,    1.793
 106.00,    1.0152,    0.0025,       0.569,    1.776
 107.00,    1.0166,    0.0025,       2.532,    1.760
 108.00,    1.0160,    0.0025,       2.801,    1.758
 109.00,    1.0167,    0.0025,       1.647,    1.748
 110.00,    1.0172,    0.0025,      -1.385,    1.723
 111.00,    1.0176,    0.0025,      -0.997,    1.722
 112.00,    1.0173,    0.0025,       0.338,    1.735
 113.00,    1.0168,    0.0025,       0.001,    1.741
 114.00,    1.0162,    0.0025,      -0.365,    1.740
 115.00,    1.0156,    0.0025,       0.142,    1.733
 116.00,    1.0149,    0.0025,       0.662,    1.751
 117.00,    1.0133,    0.0025,       2.244,    1.792
 118.00,    1.0107,    0.0025,       2.841,    1.809
 119.00,    1.0096,    0.0025,      -0.070,    1.790
 120.00,    1.0103,    0.0025,      -1.159,    1.777
 121.00,    1.0102,    0.0025,      -0.758,    1.766
 122.00,    1.0102,    0.0025,       1.475,    1.777
 123.00,    1.0106,    0.0025,       2.490,    1.785
 124.00,    1.0103,    0.0025,       1.579,    1.788
 125.00,    1.0116,    0.0025,       0.897,    1.805
 126.00,    1.0113,    0.0026,       1.940,    1.804
 127.00,    1.0103,    0.0025,       1.275,    1.793
 128.00,    1.0107,    0.0025,       1.482,    1.765
 129.00,    1.0106,    0.0025,       0.550,    1.739
 130.00,    1.0102,    0.0025,      -0.019,    1.723
 131.00,    1.0098,    0.0025,      -0.753,    1.716
 132.00,    1.0088,    0.0025,      -1.493,    1.728
 133.00,    1.0087,    0.0025,      -1.320,    1.746
 134.00,    1.0082,    0.0025,      -0.275,    1.781
 135.00,    1.0079,    0.0025,       1.429,    1.812
 136.00,    1.0081,    0.0025,       1.242,    1.809
 137.00,    1.0097,    0.0025,       1.300,    1.797
 138.00,    1.0089,    0.0025,       1.075,    1.777
 139.00,    1.0076,    0.0025,       1.181,    1.750
 140.00,    1.0069,    0.0025,      -1.327,    1.732
 141.00,    1.0073,    0.0025,      -2.689,    1.723
 142.00,    1.0112,    0.0025,      -2.587,    1.720
 143.00,    1.0151,    0.0025,      -1.122,    1.717
 144.00,    1.0159,    0.0024,       0.179,    1.716
 145.00,    1.0144,    0.0024,       0.928,    1.717
 146.00,    1.0127,    0.0024,      -0.110,    1.700
 147.00,    1.0099,    0.0024,      -0.495,    1.702
 148.00,    1.0082,    0.0024,      -0.323,    1.723
 149.00,    1.0084,    0.0024,      -0.326,    1.717
 150.00,    1.0101,    0.0024,      -0.011,    1.695
