# Stacked over transitions
#['P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10', 'P11', 'P12', 'P13', 'P14', 'R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R10', 'R11', 'R12', 'R13']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    1.0275,    0.0023,       2.620,    1.556
-149.00,    1.0253,    0.0023,       3.453,    1.566
-148.00,    1.0265,    0.0023,       3.914,    1.556
-147.00,    1.0266,    0.0023,       4.829,    1.538
-146.00,    1.0268,    0.0023,       2.587,    1.519
-145.00,    1.0280,    0.0022,       0.881,    1.516
-144.00,    1.0294,    0.0022,       0.260,    1.520
-143.00,    1.0285,    0.0023,       0.016,    1.514
-142.00,    1.0312,    0.0023,      -0.400,    1.516
-141.00,    1.0294,    0.0023,       0.568,    1.527
-140.00,    1.0274,    0.0023,       1.327,    1.536
-139.00,    1.0299,    0.0023,      -0.639,    1.523
-138.00,    1.0312,    0.0023,      -1.626,    1.522
-137.00,    1.0302,    0.0023,      -0.258,    1.517
-136.00,    1.0276,    0.0023,       1.522,    1.529
-135.00,    1.0284,    0.0023,       4.019,    1.522
-134.00,    1.0289,    0.0023,       3.461,    1.504
-133.00,    1.0281,    0.0023,       0.624,    1.502
-132.00,    1.0279,    0.0022,      -1.051,    1.470
-131.00,    1.0302,    0.0022,      -0.236,    1.441
-130.00,    1.0308,    0.0022,      -0.219,    1.438
-129.00,    1.0260,    0.0022,      -0.686,    1.439
-128.00,    1.0222,    0.0021,      -0.159,    1.447
-127.00,    1.0198,    0.0021,      -1.899,    1.436
-126.00,    1.0205,    0.0021,      -2.278,    1.422
-125.00,    1.0223,    0.0021,      -0.334,    1.414
-124.00,    1.0218,    0.0021,       0.495,    1.402
-123.00,    1.0207,    0.0021,       0.072,    1.386
-122.00,    1.0204,    0.0020,       1.387,    1.380
-121.00,    1.0208,    0.0020,       0.547,    1.382
