# Stacked over transitions
#['P21', 'P22P23', 'P25', 'P26', 'P27', 'P28', 'P29', 'P30', 'P31', 'P32', 'P34', 'P35', 'P36', 'P37', 'P38', 'P39', 'P40', 'P41', 'P42']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9997,    0.0040,      -0.253,    2.954
-149.00,    0.9963,    0.0040,      -1.345,    2.958
-148.00,    0.9961,    0.0040,      -0.632,    2.950
-147.00,    0.9976,    0.0040,      -1.368,    2.962
-146.00,    0.9975,    0.0040,      -1.377,    2.952
-145.00,    0.9969,    0.0040,      -2.653,    2.939
-144.00,    0.9980,    0.0040,      -1.217,    2.945
-143.00,    0.9985,    0.0040,       0.963,    2.945
-142.00,    1.0003,    0.0040,       2.712,    2.912
-141.00,    1.0019,    0.0040,       3.968,    2.894
-140.00,    1.0015,    0.0040,       1.312,    2.916
-139.00,    1.0050,    0.0040,      -0.951,    2.926
-138.00,    1.0104,    0.0040,      -2.484,    2.934
-137.00,    1.0130,    0.0040,      -0.268,    2.943
-136.00,    1.0115,    0.0040,      -1.345,    2.937
-135.00,    1.0126,    0.0040,      -3.757,    2.931
-134.00,    1.0147,    0.0040,      -5.135,    2.942
-133.00,    1.0160,    0.0041,      -4.584,    2.978
-132.00,    1.0138,    0.0041,      -2.438,    2.952
-131.00,    1.0120,    0.0041,      -2.465,    2.914
-130.00,    1.0123,    0.0040,      -0.638,    2.906
-129.00,    1.0103,    0.0040,      -0.750,    2.934
-128.00,    1.0091,    0.0040,      -2.755,    2.925
-127.00,    1.0049,    0.0040,      -3.666,    2.926
-126.00,    1.0024,    0.0040,      -2.782,    2.907
-125.00,    0.9991,    0.0039,      -0.212,    2.918
-124.00,    1.0003,    0.0039,      -0.387,    2.890
-123.00,    1.0002,    0.0039,      -2.981,    2.892
-122.00,    0.9975,    0.0039,      -6.035,    2.909
-121.00,    0.9961,    0.0039,      -5.419,    2.886
-120.00,    0.9983,    0.0039,      -4.181,    2.861
-119.00,    0.9989,    0.0039,      -1.281,    2.870
-118.00,    1.0022,    0.0039,       2.711,    2.880
-117.00,    1.0050,    0.0040,       3.423,    2.876
-116.00,    1.0041,    0.0040,      -3.344,    2.872
-115.00,    1.0032,    0.0039,      -5.794,    2.855
-114.00,    1.0046,    0.0039,      -4.597,    2.876
-113.00,    1.0063,    0.0039,      -3.620,    2.886
-112.00,    1.0065,    0.0039,      -5.213,    2.907
-111.00,    1.0030,    0.0039,      -5.012,    2.917
-110.00,    0.9976,    0.0039,      -1.347,    2.947
-109.00,    0.9961,    0.0039,       2.064,    2.939
-108.00,    0.9994,    0.0040,       0.722,    2.956
-107.00,    1.0027,    0.0040,      -0.888,    2.986
-106.00,    1.0056,    0.0040,       1.347,    2.991
-105.00,    1.0059,    0.0040,       3.478,    2.938
-104.00,    1.0058,    0.0040,       2.935,    2.894
-103.00,    1.0067,    0.0040,       3.057,    2.926
-102.00,    1.0030,    0.0040,       0.084,    2.985
-101.00,    1.0019,    0.0040,      -2.546,    2.967
-100.00,    1.0045,    0.0040,       1.878,    2.953
 -99.00,    1.0049,    0.0040,       0.685,    2.939
 -98.00,    1.0041,    0.0040,      -2.046,    2.928
 -97.00,    1.0028,    0.0040,      -3.351,    2.884
 -96.00,    1.0024,    0.0040,      -3.476,    2.870
 -95.00,    0.9995,    0.0040,      -3.108,    2.837
 -94.00,    1.0008,    0.0039,      -4.101,    2.831
 -93.00,    1.0049,    0.0039,      -2.714,    2.866
 -92.00,    1.0046,    0.0039,       2.146,    2.886
 -91.00,    1.0057,    0.0040,       1.614,    2.868
