# Stacked over transitions
#['P36', 'P37', 'P38', 'P39', 'P40', 'P41', 'P42']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9805,    0.0057,       8.305,    6.196
-149.00,    0.9852,    0.0057,       5.576,    6.259
-148.00,    0.9870,    0.0058,       2.970,    6.350
-147.00,    0.9821,    0.0058,       5.546,    6.219
-146.00,    0.9826,    0.0057,       5.720,    6.204
-145.00,    0.9858,    0.0057,      -4.092,    6.237
-144.00,    0.9912,    0.0056,      -4.181,    6.041
-143.00,    0.9934,    0.0056,      -6.519,    5.949
-142.00,    0.9903,    0.0056,       0.596,    5.904
-141.00,    0.9846,    0.0056,       3.787,    5.968
-140.00,    0.9852,    0.0056,       4.112,    5.874
-139.00,    0.9913,    0.0056,      -0.854,    5.702
-138.00,    0.9925,    0.0056,      11.904,    5.634
-137.00,    0.9919,    0.0056,      11.557,    5.782
-136.00,    0.9839,    0.0056,      -0.029,    5.881
-135.00,    0.9800,    0.0056,      -2.282,    5.886
-134.00,    0.9862,    0.0056,       3.339,    5.855
-133.00,    0.9941,    0.0056,       2.973,    5.903
-132.00,    0.9916,    0.0056,       2.060,    6.040
-131.00,    0.9874,    0.0056,       1.401,    6.010
-130.00,    0.9868,    0.0056,       0.482,    5.988
-129.00,    0.9871,    0.0056,       3.984,    6.074
-128.00,    0.9851,    0.0057,       3.690,    6.127
-127.00,    0.9836,    0.0057,       6.745,    6.075
-126.00,    0.9802,    0.0057,       0.297,    6.109
-125.00,    0.9770,    0.0057,      -4.359,    6.128
-124.00,    0.9768,    0.0056,      -1.964,    6.058
-123.00,    0.9871,    0.0056,       4.106,    6.049
-122.00,    0.9924,    0.0056,       4.232,    6.018
-121.00,    0.9938,    0.0056,       4.700,    6.041
-120.00,    0.9897,    0.0056,       3.436,    6.060
-119.00,    0.9871,    0.0056,      -0.819,    6.065
-118.00,    0.9862,    0.0056,       0.755,    6.018
-117.00,    0.9863,    0.0056,      -1.661,    5.973
-116.00,    0.9908,    0.0056,      -5.489,    5.986
-115.00,    0.9924,    0.0056,       0.302,    5.970
-114.00,    0.9919,    0.0056,       5.656,    5.881
-113.00,    0.9884,    0.0056,       3.596,    5.785
-112.00,    0.9854,    0.0056,      -0.359,    5.787
-111.00,    0.9883,    0.0056,       0.475,    5.829
-110.00,    0.9913,    0.0056,       1.593,    5.886
-109.00,    0.9967,    0.0056,       3.911,    5.869
-108.00,    0.9982,    0.0056,       2.175,    5.893
-107.00,    0.9972,    0.0056,       4.985,    5.976
-106.00,    0.9916,    0.0056,      -0.632,    6.056
-105.00,    0.9874,    0.0056,      -1.524,    6.094
-104.00,    0.9845,    0.0057,       0.590,    6.157
-103.00,    0.9819,    0.0057,       2.219,    6.161
-102.00,    0.9828,    0.0057,       3.818,    6.045
-101.00,    0.9871,    0.0057,       3.721,    6.081
-100.00,    0.9875,    0.0058,       2.205,    6.159
 -99.00,    0.9834,    0.0058,      -3.000,    6.204
 -98.00,    0.9794,    0.0057,      -8.332,    6.108
 -97.00,    0.9762,    0.0057,      -3.839,    6.050
 -96.00,    0.9804,    0.0057,       0.637,    6.210
 -95.00,    0.9867,    0.0058,       0.921,    6.242
 -94.00,    0.9949,    0.0058,      -1.475,    6.085
 -93.00,    0.9986,    0.0057,      -3.866,    5.959
 -92.00,    0.9935,    0.0057,      -3.395,    5.993
 -91.00,    0.9930,    0.0057,      -1.787,    6.034
 -90.00,    0.9966,    0.0057,       2.562,    5.970
 -89.00,    1.0015,    0.0057,       6.081,    5.954
 -88.00,    1.0018,    0.0057,       2.452,    6.091
 -87.00,    1.0001,    0.0057,       3.270,    6.120
 -86.00,    1.0021,    0.0057,       3.421,    6.088
 -85.00,    1.0016,    0.0057,       2.171,    6.062
 -84.00,    0.9985,    0.0057,       2.405,    6.073
 -83.00,    0.9951,    0.0057,       0.633,    6.059
 -82.00,    0.9934,    0.0057,       1.599,    5.949
 -81.00,    0.9972,    0.0056,       2.149,    5.790
 -80.00,    1.0035,    0.0056,       1.106,    5.770
 -79.00,    1.0113,    0.0056,      -0.621,    5.881
 -78.00,    1.0167,    0.0055,       1.096,    5.766
 -77.00,    1.0202,    0.0055,      -3.156,    5.697
 -76.00,    1.0204,    0.0055,      -5.239,    5.715
