# Stacked over transitions
#['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    1.0033,    0.0028,       4.652,    3.063
-149.00,    1.0051,    0.0028,       6.552,    3.074
-148.00,    1.0052,    0.0028,       7.915,    3.075
-147.00,    1.0025,    0.0028,       5.026,    3.099
-146.00,    0.9986,    0.0028,       3.427,    3.108
-145.00,    1.0000,    0.0028,      -0.960,    3.083
-144.00,    1.0028,    0.0028,      -1.992,    3.068
-143.00,    1.0032,    0.0028,      -5.172,    3.088
-142.00,    1.0047,    0.0029,      -2.860,    3.104
-141.00,    1.0058,    0.0029,      -1.140,    3.123
-140.00,    1.0049,    0.0029,       1.458,    3.166
-139.00,    1.0009,    0.0029,       2.726,    3.185
-138.00,    1.0012,    0.0029,      -1.468,    3.148
-137.00,    1.0058,    0.0029,      -1.503,    3.124
-136.00,    1.0083,    0.0029,      -2.365,    3.184
-135.00,    1.0080,    0.0030,      -4.871,    3.249
-134.00,    1.0062,    0.0030,      -4.177,    3.271
-133.00,    1.0032,    0.0030,      -3.409,    3.270
-132.00,    1.0029,    0.0030,       0.278,    3.230
-131.00,    1.0058,    0.0030,       3.675,    3.231
-130.00,    1.0097,    0.0030,       2.825,    3.214
-129.00,    1.0092,    0.0030,       1.880,    3.269
-128.00,    1.0077,    0.0030,       3.872,    3.303
-127.00,    1.0062,    0.0031,       4.304,    3.303
-126.00,    1.0071,    0.0031,       0.917,    3.337
-125.00,    1.0042,    0.0031,       3.392,    3.413
-124.00,    1.0012,    0.0031,       3.882,    3.450
-123.00,    1.0008,    0.0031,      -3.761,    3.414
-122.00,    1.0031,    0.0031,      -3.301,    3.412
-121.00,    1.0061,    0.0031,       0.005,    3.413
-120.00,    1.0092,    0.0032,       1.553,    3.410
-119.00,    1.0090,    0.0032,      -1.158,    3.473
-118.00,    1.0035,    0.0033,      -5.013,    3.607
-117.00,    0.9969,    0.0033,      -3.049,    3.682
-116.00,    0.9942,    0.0033,      -0.364,    3.655
-115.00,    0.9945,    0.0033,       0.688,    3.617
-114.00,    0.9962,    0.0033,      -0.454,    3.590
-113.00,    0.9969,    0.0032,       0.107,    3.473
-112.00,    0.9998,    0.0032,      -0.243,    3.448
-111.00,    0.9987,    0.0031,      -1.524,    3.490
-110.00,    0.9975,    0.0031,       0.220,    3.515
-109.00,    0.9965,    0.0031,       2.126,    3.506
-108.00,    0.9966,    0.0031,       1.846,    3.494
-107.00,    0.9994,    0.0032,      -0.033,    3.475
-106.00,    0.9999,    0.0032,       1.947,    3.489
-105.00,    1.0026,    0.0032,       2.085,    3.484
-104.00,    1.0062,    0.0032,       0.393,    3.463
