# Combination of highJ over dates ['191008', '200220']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    1.0083,    0.0036,      -0.713,    2.547
-149.00,    1.0093,    0.0036,      -0.942,    2.555
-148.00,    1.0105,    0.0036,      -1.195,    2.575
-147.00,    1.0131,    0.0036,      -0.098,    2.558
-146.00,    1.0139,    0.0036,      -0.252,    2.552
-145.00,    1.0149,    0.0036,      -0.623,    2.548
-144.00,    1.0159,    0.0036,       0.245,    2.547
-143.00,    1.0159,    0.0036,      -0.097,    2.516
-142.00,    1.0150,    0.0036,       0.357,    2.519
-141.00,    1.0141,    0.0036,       1.964,    2.530
-140.00,    1.0155,    0.0036,       1.837,    2.496
-139.00,    1.0172,    0.0036,       3.255,    2.519
-138.00,    1.0175,    0.0036,       1.886,    2.523
-137.00,    1.0182,    0.0036,       2.959,    2.495
-136.00,    1.0197,    0.0036,       4.186,    2.445
-135.00,    1.0211,    0.0036,       6.299,    2.445
-134.00,    1.0207,    0.0036,       6.344,    2.438
-133.00,    1.0179,    0.0035,       2.967,    2.420
-132.00,    1.0154,    0.0035,       0.612,    2.423
-131.00,    1.0137,    0.0034,       2.937,    2.429
-130.00,    1.0137,    0.0034,       3.167,    2.431
-129.00,    1.0152,    0.0034,       1.118,    2.418
-128.00,    1.0169,    0.0034,       0.280,    2.392
-127.00,    1.0177,    0.0034,       2.438,    2.378
-126.00,    1.0190,    0.0034,       1.341,    2.372
-125.00,    1.0178,    0.0034,      -0.679,    2.374
-124.00,    1.0166,    0.0034,      -0.383,    2.364
-123.00,    1.0186,    0.0034,       1.410,    2.349
-122.00,    1.0215,    0.0034,       0.415,    2.326
-121.00,    1.0217,    0.0034,       1.698,    2.310
-120.00,    1.0197,    0.0034,       1.960,    2.332
-119.00,    1.0176,    0.0033,       1.817,    2.343
-118.00,    1.0157,    0.0033,       0.567,    2.331
-117.00,    1.0154,    0.0033,       0.354,    2.327
-116.00,    1.0178,    0.0033,       1.002,    2.312
-115.00,    1.0196,    0.0033,      -1.032,    2.312
-114.00,    1.0207,    0.0033,      -0.264,    2.323
-113.00,    1.0209,    0.0033,      -0.563,    2.315
-112.00,    1.0202,    0.0033,      -2.109,    2.314
-111.00,    1.0183,    0.0033,      -2.259,    2.343
-110.00,    1.0195,    0.0033,      -1.995,    2.322
-109.00,    1.0219,    0.0034,      -2.020,    2.319
-108.00,    1.0225,    0.0034,      -1.646,    2.348
-107.00,    1.0202,    0.0034,      -0.382,    2.340
-106.00,    1.0210,    0.0034,       1.383,    2.294
-105.00,    1.0234,    0.0034,       0.694,    2.303
-104.00,    1.0224,    0.0033,      -0.290,    2.329
-103.00,    1.0210,    0.0033,       1.210,    2.317
-102.00,    1.0227,    0.0033,       2.876,    2.302
-101.00,    1.0255,    0.0033,       2.132,    2.301
-100.00,    1.0266,    0.0033,       1.188,    2.291
 -99.00,    1.0281,    0.0033,       0.405,    2.277
 -98.00,    1.0295,    0.0033,      -0.977,    2.262
 -97.00,    1.0304,    0.0033,      -1.389,    2.241
 -96.00,    1.0304,    0.0033,      -3.127,    2.219
 -95.00,    1.0313,    0.0033,      -1.618,    2.225
 -94.00,    1.0322,    0.0033,      -0.550,    2.237
 -93.00,    1.0308,    0.0033,       0.611,    2.257
 -92.00,    1.0289,    0.0033,      -0.426,    2.252
 -91.00,    1.0299,    0.0033,      -0.575,    2.241
 -90.00,    1.0323,    0.0033,      -1.397,    2.253
 -89.00,    1.0345,    0.0033,      -1.440,    2.251
 -88.00,    1.0355,    0.0033,      -0.901,    2.252
 -87.00,    1.0373,    0.0033,      -1.104,    2.252
 -86.00,    1.0385,    0.0033,       0.825,    2.262
 -85.00,    1.0379,    0.0033,       0.702,    2.261
 -84.00,    1.0359,    0.0033,      -0.009,    2.260
 -83.00,    1.0332,    0.0033,       0.982,    2.260
 -82.00,    1.0316,    0.0033,       0.641,    2.267
 -81.00,    1.0303,    0.0033,       0.906,    2.263
