# Combination of lowJ over dates ['191008', '200220']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    1.0121,    0.0023,      -0.659,    1.647
-149.00,    1.0107,    0.0024,      -2.028,    1.643
-148.00,    1.0107,    0.0024,      -1.418,    1.641
-147.00,    1.0112,    0.0023,      -0.765,    1.639
-146.00,    1.0133,    0.0023,       3.060,    1.634
-145.00,    1.0136,    0.0023,       2.101,    1.645
-144.00,    1.0150,    0.0023,      -0.294,    1.643
-143.00,    1.0146,    0.0023,      -0.243,    1.650
-142.00,    1.0149,    0.0024,      -0.568,    1.652
-141.00,    1.0136,    0.0024,       0.229,    1.667
-140.00,    1.0120,    0.0024,       0.296,    1.685
-139.00,    1.0118,    0.0024,      -0.012,    1.691
-138.00,    1.0125,    0.0024,      -1.000,    1.679
-137.00,    1.0122,    0.0024,      -2.309,    1.686
-136.00,    1.0096,    0.0024,      -1.472,    1.717
-135.00,    1.0078,    0.0024,      -0.441,    1.707
-134.00,    1.0091,    0.0024,      -0.279,    1.690
-133.00,    1.0103,    0.0024,      -0.032,    1.680
-132.00,    1.0105,    0.0024,      -0.452,    1.655
-131.00,    1.0085,    0.0024,       1.615,    1.641
-130.00,    1.0067,    0.0023,       1.494,    1.631
-129.00,    1.0056,    0.0023,       0.387,    1.633
-128.00,    1.0050,    0.0023,      -0.236,    1.647
-127.00,    1.0038,    0.0023,       0.362,    1.619
-126.00,    1.0026,    0.0023,       0.679,    1.601
-125.00,    1.0013,    0.0022,      -0.076,    1.574
-124.00,    1.0018,    0.0022,       0.619,    1.562
-123.00,    1.0025,    0.0022,       0.530,    1.568
-122.00,    1.0029,    0.0022,       0.164,    1.546
-121.00,    1.0027,    0.0022,       1.318,    1.542
-120.00,    1.0022,    0.0022,       1.681,    1.563
-119.00,    1.0015,    0.0023,       1.817,    1.600
-118.00,    1.0021,    0.0023,       1.612,    1.598
-117.00,    1.0034,    0.0023,       0.324,    1.571
-116.00,    1.0058,    0.0023,       0.544,    1.559
-115.00,    1.0057,    0.0022,      -0.560,    1.556
-114.00,    1.0053,    0.0022,      -0.465,    1.563
-113.00,    1.0043,    0.0022,       0.178,    1.572
-112.00,    1.0050,    0.0022,       0.417,    1.571
-111.00,    1.0054,    0.0022,       0.100,    1.578
-110.00,    1.0060,    0.0022,      -0.152,    1.579
-109.00,    1.0064,    0.0023,      -1.068,    1.595
-108.00,    1.0077,    0.0023,      -1.084,    1.611
-107.00,    1.0085,    0.0023,      -1.510,    1.608
-106.00,    1.0082,    0.0023,      -1.409,    1.597
-105.00,    1.0091,    0.0023,      -1.292,    1.583
-104.00,    1.0094,    0.0023,      -1.425,    1.585
-103.00,    1.0104,    0.0023,      -2.057,    1.583
-102.00,    1.0112,    0.0023,      -2.119,    1.565
-101.00,    1.0111,    0.0023,      -0.796,    1.550
-100.00,    1.0125,    0.0023,      -0.736,    1.558
 -99.00,    1.0153,    0.0023,       0.482,    1.564
 -98.00,    1.0179,    0.0023,       1.369,    1.572
 -97.00,    1.0179,    0.0023,      -0.051,    1.585
 -96.00,    1.0184,    0.0023,      -0.522,    1.595
 -95.00,    1.0197,    0.0023,      -0.312,    1.588
 -94.00,    1.0210,    0.0023,       0.012,    1.586
 -93.00,    1.0211,    0.0023,       1.600,    1.578
 -92.00,    1.0213,    0.0023,       0.474,    1.596
 -91.00,    1.0228,    0.0024,      -0.876,    1.607
 -90.00,    1.0246,    0.0024,      -0.454,    1.597
 -89.00,    1.0239,    0.0023,       0.200,    1.563
 -88.00,    1.0225,    0.0023,      -1.185,    1.572
 -87.00,    1.0220,    0.0023,      -0.060,    1.589
 -86.00,    1.0227,    0.0023,       0.893,    1.608
 -85.00,    1.0221,    0.0023,       1.929,    1.613
 -84.00,    1.0223,    0.0024,       1.249,    1.603
 -83.00,    1.0219,    0.0024,      -0.089,    1.617
 -82.00,    1.0190,    0.0024,       0.616,    1.635
 -81.00,    1.0170,    0.0024,       1.799,    1.652
 -80.00,    1.0176,    0.0024,       1.495,    1.665
 -79.00,    1.0196,    0.0024,       0.469,    1.672
 -78.00,    1.0182,    0.0024,      -0.134,    1.691
 -77.00,    1.0148,    0.0024,      -0.114,    1.691
 -76.00,    1.0109,    0.0024,       0.020,    1.679
 -75.00,    1.0086,    0.0024,      -0.341,    1.667
 -74.00,    1.0075,    0.0024,      -1.419,    1.667
 -73.00,    1.0094,    0.0024,      -0.660,    1.665
 -72.00,    1.0116,    0.0024,      -0.955,    1.660
 -71.00,    1.0132,    0.0024,      -0.611,    1.663
 -70.00,    1.0149,    0.0024,       0.014,    1.683
 -69.00,    1.0172,    0.0024,       0.178,    1.695
 -68.00,    1.0200,    0.0024,       1.071,    1.683
 -67.00,    1.0233,    0.0024,       1.286,    1.679
 -66.00,    1.0231,    0.0025,       0.113,    1.695
 -65.00,    1.0199,    0.0025,       0.514,    1.737
 -64.00,    1.0185,    0.0025,      -1.004,    1.761
 -63.00,    1.0186,    0.0026,      -1.943,    1.730
 -62.00,    1.0216,    0.0025,      -0.694,    1.711
 -61.00,    1.0228,    0.0025,       0.147,    1.718
 -60.00,    1.0233,    0.0025,       1.373,    1.684
