# Stacked over transitions
#['P21', 'P22', 'P23', 'P25', 'P26', 'P27', 'P28', 'P29', 'P30', 'P31', 'P32', 'P34', 'P35', 'P36', 'P37', 'P38', 'P39', 'P40', 'P41', 'P42']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    1.0009,    0.0040,      -2.510,    2.696
-149.00,    1.0002,    0.0040,      -0.171,    2.683
-148.00,    1.0007,    0.0040,       1.100,    2.722
-147.00,    1.0044,    0.0040,       2.217,    2.696
-146.00,    1.0065,    0.0040,       0.239,    2.676
-145.00,    1.0096,    0.0040,      -0.643,    2.654
-144.00,    1.0110,    0.0040,      -0.897,    2.676
-143.00,    1.0109,    0.0040,       1.927,    2.637
-142.00,    1.0096,    0.0040,       1.669,    2.646
-141.00,    1.0118,    0.0040,       3.484,    2.652
-140.00,    1.0188,    0.0041,       0.881,    2.587
-139.00,    1.0236,    0.0041,       3.863,    2.603
-138.00,    1.0230,    0.0040,       3.932,    2.615
-137.00,    1.0242,    0.0040,       5.372,    2.549
-136.00,    1.0269,    0.0040,       7.148,    2.473
-135.00,    1.0270,    0.0039,       9.800,    2.469
-134.00,    1.0250,    0.0039,       9.105,    2.437
-133.00,    1.0194,    0.0038,       3.592,    2.383
-132.00,    1.0180,    0.0037,       1.590,    2.410
-131.00,    1.0175,    0.0037,       3.227,    2.430
-130.00,    1.0189,    0.0037,       3.146,    2.436
-129.00,    1.0209,    0.0037,       0.872,    2.427
-128.00,    1.0203,    0.0037,       0.940,    2.391
-127.00,    1.0197,    0.0037,       4.316,    2.365
-126.00,    1.0206,    0.0036,       2.812,    2.374
-125.00,    1.0184,    0.0036,      -0.319,    2.382
-124.00,    1.0158,    0.0036,       0.996,    2.373
-123.00,    1.0178,    0.0036,       3.289,    2.339
-122.00,    1.0218,    0.0036,       3.359,    2.305
-121.00,    1.0226,    0.0036,       3.341,    2.302
-120.00,    1.0209,    0.0036,       1.719,    2.317
-119.00,    1.0192,    0.0035,       2.082,    2.306
-118.00,    1.0168,    0.0035,       1.643,    2.301
-117.00,    1.0158,    0.0035,      -0.048,    2.300
-116.00,    1.0196,    0.0035,      -0.108,    2.302
-115.00,    1.0236,    0.0035,       0.115,    2.324
-114.00,    1.0262,    0.0035,       1.955,    2.299
-113.00,    1.0253,    0.0035,      -0.044,    2.234
-112.00,    1.0231,    0.0035,      -2.862,    2.231
-111.00,    1.0206,    0.0035,      -0.811,    2.276
-110.00,    1.0241,    0.0035,       0.448,    2.248
-109.00,    1.0266,    0.0035,      -1.504,    2.254
-108.00,    1.0269,    0.0035,      -2.009,    2.274
-107.00,    1.0253,    0.0035,      -0.791,    2.243
-106.00,    1.0297,    0.0035,       1.379,    2.169
-105.00,    1.0341,    0.0035,      -0.217,    2.193
-104.00,    1.0311,    0.0034,      -2.706,    2.221
-103.00,    1.0281,    0.0034,      -0.231,    2.208
-102.00,    1.0296,    0.0033,       3.238,    2.176
-101.00,    1.0336,    0.0033,       4.265,    2.159
-100.00,    1.0348,    0.0033,       2.402,    2.149
 -99.00,    1.0361,    0.0033,      -0.026,    2.136
 -98.00,    1.0371,    0.0033,      -2.494,    2.124
 -97.00,    1.0376,    0.0033,      -2.897,    2.102
 -96.00,    1.0389,    0.0033,      -3.652,    2.094
 -95.00,    1.0428,    0.0033,      -1.156,    2.101
 -94.00,    1.0469,    0.0033,       0.337,    2.101
 -93.00,    1.0440,    0.0033,       1.095,    2.139
 -92.00,    1.0378,    0.0033,      -0.931,    2.132
 -91.00,    1.0400,    0.0033,      -0.333,    2.125
 -90.00,    1.0446,    0.0034,      -0.733,    2.136
 -89.00,    1.0467,    0.0034,      -1.397,    2.138
 -88.00,    1.0465,    0.0034,      -2.514,    2.134
 -87.00,    1.0475,    0.0034,      -1.172,    2.146
 -86.00,    1.0492,    0.0034,       2.326,    2.169
 -85.00,    1.0467,    0.0034,       2.805,    2.179
 -84.00,    1.0417,    0.0034,       0.874,    2.179
 -83.00,    1.0369,    0.0034,       0.841,    2.176
 -82.00,    1.0372,    0.0034,      -0.400,    2.178
 -81.00,    1.0382,    0.0033,      -0.815,    2.161
 -80.00,    1.0403,    0.0034,       0.499,    2.146
 -79.00,    1.0434,    0.0034,       1.605,    2.136
 -78.00,    1.0448,    0.0034,       2.539,    2.153
 -77.00,    1.0450,    0.0034,       2.687,    2.165
 -76.00,    1.0440,    0.0034,       0.589,    2.165
 -75.00,    1.0452,    0.0034,      -0.467,    2.182
 -74.00,    1.0464,    0.0034,      -2.132,    2.156
 -73.00,    1.0446,    0.0034,      -1.409,    2.150
 -72.00,    1.0385,    0.0034,       0.345,    2.145
 -71.00,    1.0349,    0.0033,      -1.008,    2.094
 -70.00,    1.0385,    0.0034,       0.171,    2.089
 -69.00,    1.0404,    0.0034,      -1.784,    2.158
 -68.00,    1.0360,    0.0034,       1.468,    2.197
 -67.00,    1.0300,    0.0034,       2.880,    2.200
 -66.00,    1.0285,    0.0034,       1.067,    2.177
 -65.00,    1.0264,    0.0034,       1.657,    2.178
 -64.00,    1.0237,    0.0034,       1.507,    2.196
 -63.00,    1.0219,    0.0035,       2.535,    2.216
 -62.00,    1.0218,    0.0035,      -1.183,    2.315
 -61.00,    1.0195,    0.0035,      -0.796,    2.271
 -60.00,    1.0203,    0.0034,       0.576,    2.195
 -59.00,    1.0235,    0.0034,       0.282,    2.176
 -58.00,    1.0247,    0.0035,       0.281,    2.217
 -57.00,    1.0240,    0.0035,      -0.325,    2.234
 -56.00,    1.0249,    0.0035,      -0.009,    2.264
 -55.00,    1.0268,    0.0035,      -0.255,    2.238
 -54.00,    1.0265,    0.0034,      -2.002,    2.226
 -53.00,    1.0228,    0.0034,      -0.291,    2.268
 -52.00,    1.0191,    0.0034,       1.049,    2.291
 -51.00,    1.0192,    0.0035,      -0.724,    2.252
 -50.00,    1.0223,    0.0035,      -1.505,    2.234
 -49.00,    1.0220,    0.0034,      -2.086,    2.270
 -48.00,    1.0189,    0.0034,      -0.366,    2.284
 -47.00,    1.0206,    0.0034,       1.054,    2.262
 -46.00,    1.0234,    0.0035,      -0.531,    2.269
 -45.00,    1.0222,    0.0035,      -0.704,    2.278
 -44.00,    1.0212,    0.0035,      -0.306,    2.278
 -43.00,    1.0206,    0.0035,       0.815,    2.270
 -42.00,    1.0217,    0.0035,       3.224,    2.233
 -41.00,    1.0204,    0.0035,      -1.345,    2.294
 -40.00,    1.0190,    0.0035,       2.098,    2.342
 -39.00,    1.0235,    0.0035,       3.055,    2.265
 -38.00,    1.0302,    0.0034,       0.850,    2.215
 -37.00,    1.0343,    0.0034,       0.234,    2.194
 -36.00,    1.0391,    0.0034,      -0.559,    2.184
 -35.00,    1.0450,    0.0034,      -0.275,    2.178
 -34.00,    1.0514,    0.0034,      -0.695,    2.172
 -33.00,    1.0502,    0.0034,       0.903,    2.135
 -32.00,    1.0524,    0.0034,       0.498,    2.076
 -31.00,    1.0592,    0.0034,       1.318,    2.064
 -30.00,    1.0657,    0.0034,       3.661,    2.112
 -29.00,    1.0692,    0.0035,       4.456,    2.131
 -28.00,    1.0758,    0.0035,       6.340,    2.114
 -27.00,    1.0831,    0.0035,       6.565,    2.081
 -26.00,    1.0890,    0.0035,       5.672,    2.055
 -25.00,    1.0925,    0.0035,       2.956,    2.058
 -24.00,    1.0961,    0.0035,       1.245,    2.069
 -23.00,    1.1018,    0.0035,       2.573,    2.046
 -22.00,    1.1087,    0.0035,       2.015,    2.039
 -21.00,    1.1189,    0.0035,       2.432,    2.021
 -20.00,    1.1316,    0.0035,      -0.019,    2.053
 -19.00,    1.1430,    0.0036,      -1.610,    2.032
 -18.00,    1.1529,    0.0036,      -0.636,    2.027
 -17.00,    1.1618,    0.0036,       0.314,    1.996
 -16.00,    1.1737,    0.0036,      -0.777,    1.968
 -15.00,    1.1871,    0.0036,       2.151,    1.957
 -14.00,    1.2012,    0.0036,       1.602,    1.938
 -13.00,    1.2172,    0.0037,      -1.819,    1.886
 -12.00,    1.2302,    0.0037,      -2.739,    1.882
 -11.00,    1.2419,    0.0037,      -0.549,    1.877
 -10.00,    1.2553,    0.0037,      -0.791,    1.894
  -9.00,    1.2748,    0.0037,      -4.577,    1.893
  -8.00,    1.2936,    0.0037,      -3.458,    1.819
  -7.00,    1.3097,    0.0038,      -0.940,    1.802
  -6.00,    1.3251,    0.0038,       1.033,    1.752
  -5.00,    1.3438,    0.0038,       1.562,    1.723
  -4.00,    1.3636,    0.0038,      -1.342,    1.645
  -3.00,    1.3861,    0.0039,      -0.388,    1.624
  -2.00,    1.4049,    0.0039,      -1.300,    1.663
  -1.00,    1.4282,    0.0039,      -0.099,    1.651
  -0.00,    1.4571,    0.0040,      -0.929,    1.633
   1.00,    1.4882,    0.0040,      -1.898,    1.617
   2.00,    1.5184,    0.0040,      -2.660,    1.573
   3.00,    1.5544,    0.0040,      -0.958,    1.519
   4.00,    1.5951,    0.0041,      -0.570,    1.483
   5.00,    1.6376,    0.0041,      -0.710,    1.452
   6.00,    1.6804,    0.0042,       0.737,    1.421
   7.00,    1.7242,    0.0042,       0.682,    1.376
   8.00,    1.7697,    0.0043,       0.807,    1.340
   9.00,    1.8138,    0.0043,      -0.922,    1.312
  10.00,    1.8526,    0.0044,      -1.364,    1.282
  11.00,    1.8877,    0.0044,      -0.783,    1.246
  12.00,    1.9149,    0.0045,      -1.467,    1.210
  13.00,    1.9379,    0.0046,      -0.540,    1.201
  14.00,    1.9535,    0.0046,       1.022,    1.212
  15.00,    1.9518,    0.0047,       2.448,    1.230
  16.00,    1.9397,    0.0047,       0.723,    1.243
  17.00,    1.9326,    0.0047,      -2.110,    1.248
  18.00,    1.9334,    0.0047,       0.021,    1.247
  19.00,    1.9251,    0.0047,       0.337,    1.274
  20.00,    1.9083,    0.0047,      -0.627,    1.299
  21.00,    1.8838,    0.0046,      -0.313,    1.303
  22.00,    1.8537,    0.0046,      -2.178,    1.321
  23.00,    1.8251,    0.0046,      -1.129,    1.344
  24.00,    1.7943,    0.0046,      -1.572,    1.378
  25.00,    1.7613,    0.0045,      -1.191,    1.390
  26.00,    1.7281,    0.0045,      -0.857,    1.392
  27.00,    1.6948,    0.0044,      -1.649,    1.453
  28.00,    1.6589,    0.0043,       0.774,    1.463
  29.00,    1.6224,    0.0042,       2.030,    1.471
  30.00,    1.5868,    0.0042,       0.851,    1.502
  31.00,    1.5526,    0.0041,      -0.643,    1.539
  32.00,    1.5195,    0.0041,      -1.935,    1.577
  33.00,    1.4904,    0.0040,      -1.920,    1.597
  34.00,    1.4616,    0.0040,      -0.968,    1.632
  35.00,    1.4339,    0.0040,       0.870,    1.697
  36.00,    1.4048,    0.0040,       0.743,    1.752
  37.00,    1.3798,    0.0040,      -1.384,    1.774
  38.00,    1.3570,    0.0040,      -1.596,    1.798
  39.00,    1.3377,    0.0040,      -0.830,    1.849
  40.00,    1.3239,    0.0040,       1.069,    1.864
  41.00,    1.3077,    0.0040,       4.152,    1.851
  42.00,    1.2920,    0.0040,       3.502,    1.888
  43.00,    1.2770,    0.0040,       0.709,    1.974
  44.00,    1.2622,    0.0040,      -1.841,    2.020
  45.00,    1.2529,    0.0039,      -0.911,    2.000
  46.00,    1.2428,    0.0039,      -2.134,    2.011
  47.00,    1.2321,    0.0039,      -2.376,    2.000
  48.00,    1.2217,    0.0039,      -2.733,    2.026
  49.00,    1.2114,    0.0039,      -0.308,    2.059
  50.00,    1.1996,    0.0039,       0.750,    2.095
  51.00,    1.1856,    0.0039,       0.222,    2.106
  52.00,    1.1767,    0.0039,       0.873,    2.124
  53.00,    1.1667,    0.0039,       0.451,    2.150
  54.00,    1.1571,    0.0039,      -0.210,    2.172
  55.00,    1.1487,    0.0039,      -0.663,    2.180
  56.00,    1.1420,    0.0039,      -1.436,    2.145
  57.00,    1.1358,    0.0039,      -3.674,    2.158
  58.00,    1.1263,    0.0039,      -2.084,    2.215
  59.00,    1.1179,    0.0039,      -2.190,    2.269
  60.00,    1.1112,    0.0039,      -2.404,    2.334
  61.00,    1.1042,    0.0039,      -0.550,    2.358
  62.00,    1.0968,    0.0039,      -0.464,    2.355
  63.00,    1.0956,    0.0039,      -1.453,    2.312
  64.00,    1.0924,    0.0039,      -0.506,    2.299
  65.00,    1.0871,    0.0039,      -2.227,    2.301
  66.00,    1.0780,    0.0039,      -0.255,    2.343
  67.00,    1.0726,    0.0039,       1.904,    2.350
  68.00,    1.0690,    0.0039,       2.948,    2.409
  69.00,    1.0673,    0.0039,       3.789,    2.409
  70.00,    1.0670,    0.0039,       4.715,    2.400
  71.00,    1.0659,    0.0039,       1.987,    2.352
  72.00,    1.0615,    0.0038,      -0.720,    2.272
  73.00,    1.0582,    0.0039,       0.334,    2.287
  74.00,    1.0554,    0.0039,       0.210,    2.366
  75.00,    1.0557,    0.0039,      -2.129,    2.397
  76.00,    1.0577,    0.0039,      -2.972,    2.413
  77.00,    1.0605,    0.0039,      -2.410,    2.440
  78.00,    1.0584,    0.0039,      -2.750,    2.451
  79.00,    1.0506,    0.0039,       1.893,    2.426
  80.00,    1.0464,    0.0038,       3.865,    2.379
  81.00,    1.0446,    0.0038,       1.966,    2.345
  82.00,    1.0448,    0.0037,      -3.644,    2.391
  83.00,    1.0461,    0.0037,      -7.191,    2.358
  84.00,    1.0480,    0.0037,      -4.392,    2.313
  85.00,    1.0472,    0.0037,      -2.114,    2.320
  86.00,    1.0427,    0.0037,      -1.506,    2.346
  87.00,    1.0369,    0.0037,       3.849,    2.325
  88.00,    1.0357,    0.0037,       2.248,    2.304
  89.00,    1.0377,    0.0037,       2.631,    2.303
  90.00,    1.0381,    0.0036,       2.928,    2.286
  91.00,    1.0363,    0.0036,       2.902,    2.294
  92.00,    1.0343,    0.0036,       1.874,    2.317
  93.00,    1.0334,    0.0036,      -0.210,    2.303
  94.00,    1.0335,    0.0036,      -3.145,    2.301
  95.00,    1.0342,    0.0036,      -3.176,    2.312
  96.00,    1.0345,    0.0036,      -0.788,    2.300
  97.00,    1.0346,    0.0035,       1.287,    2.273
  98.00,    1.0350,    0.0035,       1.155,    2.246
  99.00,    1.0344,    0.0035,      -0.958,    2.264
 100.00,    1.0315,    0.0035,      -2.252,    2.277
 101.00,    1.0285,    0.0035,      -3.928,    2.279
 102.00,    1.0261,    0.0035,      -1.629,    2.281
 103.00,    1.0264,    0.0035,      -3.316,    2.230
 104.00,    1.0256,    0.0035,      -1.841,    2.255
 105.00,    1.0224,    0.0035,      -2.583,    2.294
 106.00,    1.0207,    0.0035,      -0.419,    2.243
 107.00,    1.0236,    0.0035,      -0.045,    2.209
 108.00,    1.0250,    0.0034,       1.228,    2.195
 109.00,    1.0212,    0.0034,       1.215,    2.229
 110.00,    1.0183,    0.0034,       1.638,    2.234
 111.00,    1.0187,    0.0034,       0.202,    2.229
 112.00,    1.0194,    0.0034,      -0.117,    2.225
 113.00,    1.0189,    0.0034,       0.438,    2.212
 114.00,    1.0187,    0.0034,      -0.233,    2.227
 115.00,    1.0150,    0.0034,      -1.270,    2.237
 116.00,    1.0117,    0.0034,      -1.840,    2.178
 117.00,    1.0123,    0.0034,       0.767,    2.152
 118.00,    1.0127,    0.0034,       0.346,    2.231
 119.00,    1.0140,    0.0034,       1.377,    2.224
 120.00,    1.0179,    0.0034,      -0.639,    2.208
 121.00,    1.0178,    0.0034,      -2.602,    2.204
 122.00,    1.0168,    0.0034,      -1.386,    2.212
 123.00,    1.0163,    0.0034,       1.616,    2.208
 124.00,    1.0161,    0.0034,       3.827,    2.213
 125.00,    1.0113,    0.0034,       0.817,    2.212
 126.00,    1.0075,    0.0034,      -0.086,    2.211
 127.00,    1.0067,    0.0034,       0.055,    2.210
 128.00,    1.0088,    0.0034,      -1.884,    2.218
 129.00,    1.0102,    0.0034,      -3.530,    2.243
 130.00,    1.0083,    0.0034,       0.402,    2.235
 131.00,    1.0050,    0.0034,       1.789,    2.215
