# Stacked over transitions
#['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10', 'P11', 'P12', 'P13', 'P14', 'R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R10', 'R11', 'R12', 'R13']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    1.0113,    0.0022,      -0.535,    1.453
-149.00,    1.0098,    0.0022,      -1.715,    1.445
-148.00,    1.0089,    0.0022,      -1.187,    1.433
-147.00,    1.0087,    0.0022,      -1.108,    1.434
-146.00,    1.0123,    0.0022,       0.664,    1.439
-145.00,    1.0129,    0.0022,       0.994,    1.454
-144.00,    1.0142,    0.0022,       0.236,    1.449
-143.00,    1.0134,    0.0022,       0.245,    1.451
-142.00,    1.0153,    0.0022,      -0.612,    1.443
-141.00,    1.0157,    0.0022,       0.587,    1.446
-140.00,    1.0145,    0.0023,       0.761,    1.465
-139.00,    1.0140,    0.0023,       0.245,    1.474
-138.00,    1.0146,    0.0023,      -1.048,    1.469
-137.00,    1.0138,    0.0023,      -2.644,    1.475
-136.00,    1.0098,    0.0023,      -1.838,    1.498
-135.00,    1.0072,    0.0022,      -0.417,    1.474
-134.00,    1.0079,    0.0022,      -0.159,    1.452
-133.00,    1.0081,    0.0022,      -1.048,    1.446
-132.00,    1.0067,    0.0022,      -1.380,    1.419
-131.00,    1.0042,    0.0022,       2.380,    1.405
-130.00,    1.0036,    0.0021,       1.851,    1.389
-129.00,    1.0050,    0.0021,       0.119,    1.387
-128.00,    1.0068,    0.0021,      -1.546,    1.402
-127.00,    1.0055,    0.0021,      -0.750,    1.375
-126.00,    1.0035,    0.0021,      -0.057,    1.349
-125.00,    1.0013,    0.0020,       0.134,    1.326
-124.00,    1.0025,    0.0020,       0.702,    1.314
-123.00,    1.0036,    0.0020,       0.883,    1.322
-122.00,    1.0034,    0.0020,      -0.038,    1.295
-121.00,    1.0028,    0.0020,       1.059,    1.286
-120.00,    1.0021,    0.0020,       1.464,    1.305
-119.00,    1.0008,    0.0020,       2.242,    1.343
-118.00,    1.0007,    0.0020,       1.779,    1.332
-117.00,    1.0022,    0.0020,       0.068,    1.311
-116.00,    1.0054,    0.0020,       0.597,    1.310
-115.00,    1.0052,    0.0020,      -0.807,    1.315
-114.00,    1.0047,    0.0020,      -0.121,    1.324
-113.00,    1.0036,    0.0020,       0.449,    1.331
