# Combination of highJ over dates ['191008', '200220', '240106']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9874,    0.0028,       0.397,    1.629
-149.00,    0.9863,    0.0029,       0.057,    1.636
-148.00,    0.9870,    0.0028,       0.178,    1.643
-147.00,    0.9877,    0.0028,      -0.351,    1.627
-146.00,    0.9891,    0.0028,      -0.395,    1.617
-145.00,    0.9895,    0.0028,      -0.913,    1.623
-144.00,    0.9893,    0.0028,      -0.441,    1.620
-143.00,    0.9897,    0.0028,      -0.101,    1.595
-142.00,    0.9921,    0.0028,       0.151,    1.592
-141.00,    0.9944,    0.0028,      -0.545,    1.579
-140.00,    0.9953,    0.0028,       0.134,    1.592
-139.00,    0.9941,    0.0028,       1.381,    1.612
-138.00,    0.9920,    0.0028,       1.230,    1.606
-137.00,    0.9897,    0.0028,       0.365,    1.575
-136.00,    0.9897,    0.0028,       1.030,    1.547
-135.00,    0.9918,    0.0027,       0.130,    1.529
-134.00,    0.9931,    0.0028,      -0.230,    1.536
-133.00,    0.9906,    0.0028,      -0.273,    1.541
-132.00,    0.9894,    0.0028,       0.548,    1.542
-131.00,    0.9896,    0.0027,       0.342,    1.542
-130.00,    0.9904,    0.0027,      -0.566,    1.537
-129.00,    0.9905,    0.0027,      -0.486,    1.532
-128.00,    0.9912,    0.0027,       0.280,    1.514
-127.00,    0.9920,    0.0027,       0.495,    1.501
-126.00,    0.9926,    0.0027,      -1.330,    1.506
-125.00,    0.9906,    0.0027,      -1.057,    1.514
-124.00,    0.9889,    0.0026,      -1.600,    1.510
-123.00,    0.9897,    0.0026,      -0.484,    1.498
-122.00,    0.9904,    0.0026,       0.481,    1.487
-121.00,    0.9892,    0.0026,       0.116,    1.482
-120.00,    0.9874,    0.0026,      -0.179,    1.483
-119.00,    0.9868,    0.0026,       0.742,    1.480
-118.00,    0.9866,    0.0026,      -0.252,    1.482
-117.00,    0.9873,    0.0026,      -1.174,    1.486
-116.00,    0.9894,    0.0026,      -0.961,    1.473
-115.00,    0.9916,    0.0026,      -0.763,    1.479
-114.00,    0.9932,    0.0026,      -0.412,    1.469
-113.00,    0.9935,    0.0026,       0.196,    1.470
-112.00,    0.9938,    0.0026,       0.201,    1.476
-111.00,    0.9938,    0.0026,      -0.115,    1.483
-110.00,    0.9940,    0.0026,      -0.553,    1.475
-109.00,    0.9942,    0.0026,      -1.024,    1.466
-108.00,    0.9950,    0.0026,      -1.039,    1.477
-107.00,    0.9944,    0.0027,      -0.498,    1.467
-106.00,    0.9949,    0.0026,      -1.213,    1.434
-105.00,    0.9966,    0.0026,      -1.357,    1.437
-104.00,    0.9987,    0.0026,      -0.271,    1.434
-103.00,    0.9988,    0.0026,       0.018,    1.430
-102.00,    0.9975,    0.0026,      -0.344,    1.431
-101.00,    0.9961,    0.0026,      -0.751,    1.430
-100.00,    0.9964,    0.0026,      -0.892,    1.426
 -99.00,    0.9967,    0.0026,      -1.579,    1.418
 -98.00,    0.9977,    0.0026,      -0.838,    1.414
 -97.00,    0.9973,    0.0026,      -0.141,    1.402
 -96.00,    0.9967,    0.0026,      -0.109,    1.390
 -95.00,    0.9952,    0.0026,       0.046,    1.396
 -94.00,    0.9938,    0.0026,       0.485,    1.411
 -93.00,    0.9942,    0.0026,       0.781,    1.422
 -92.00,    0.9964,    0.0026,       0.273,    1.415
 -91.00,    0.9984,    0.0026,      -0.013,    1.427
 -90.00,    0.9989,    0.0026,      -0.126,    1.425
 -89.00,    0.9994,    0.0026,      -0.270,    1.414
 -88.00,    0.9988,    0.0026,       0.171,    1.416
 -87.00,    0.9989,    0.0026,       0.591,    1.426
 -86.00,    1.0014,    0.0026,      -0.370,    1.422
 -85.00,    1.0040,    0.0026,      -0.926,    1.418
 -84.00,    1.0039,    0.0026,      -1.013,    1.429
 -83.00,    1.0023,    0.0026,      -0.260,    1.434
 -82.00,    1.0017,    0.0026,      -0.196,    1.417
 -81.00,    1.0035,    0.0026,      -0.367,    1.413
 -80.00,    1.0057,    0.0026,      -0.868,    1.392
 -79.00,    1.0077,    0.0026,      -0.583,    1.400
 -78.00,    1.0077,    0.0026,      -0.158,    1.421
 -77.00,    1.0067,    0.0026,      -1.057,    1.437
 -76.00,    1.0055,    0.0026,      -1.236,    1.434
 -75.00,    1.0057,    0.0026,      -0.532,    1.428
 -74.00,    1.0063,    0.0026,       0.569,    1.421
 -73.00,    1.0054,    0.0026,      -0.734,    1.425
