# Combination of lowJ over dates ['191008', '200220', '240106']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9892,    0.0018,       0.504,    0.987
-149.00,    0.9884,    0.0018,       1.134,    0.986
-148.00,    0.9888,    0.0018,       1.107,    0.978
-147.00,    0.9908,    0.0018,       0.835,    0.979
-146.00,    0.9935,    0.0018,       0.259,    0.978
-145.00,    0.9950,    0.0018,       0.148,    0.979
-144.00,    0.9964,    0.0018,       0.388,    0.976
-143.00,    0.9965,    0.0018,      -0.058,    0.978
-142.00,    0.9953,    0.0018,      -0.872,    0.987
-141.00,    0.9948,    0.0018,      -1.209,    0.999
-140.00,    0.9951,    0.0019,      -1.568,    1.000
-139.00,    0.9963,    0.0019,      -1.223,    0.996
-138.00,    0.9978,    0.0019,       0.377,    0.993
-137.00,    0.9988,    0.0018,       0.760,    1.005
-136.00,    0.9981,    0.0018,       0.519,    1.009
-135.00,    0.9970,    0.0018,      -0.152,    1.000
-134.00,    0.9968,    0.0018,      -0.905,    0.997
-133.00,    0.9975,    0.0018,      -0.664,    0.983
-132.00,    0.9982,    0.0018,      -0.503,    0.959
-131.00,    0.9984,    0.0018,      -0.503,    0.952
-130.00,    0.9982,    0.0018,       0.354,    0.954
-129.00,    0.9972,    0.0018,       0.037,    0.964
-128.00,    0.9963,    0.0018,       0.406,    0.957
-127.00,    0.9952,    0.0017,      -0.261,    0.951
-126.00,    0.9955,    0.0017,      -0.544,    0.935
-125.00,    0.9969,    0.0017,      -0.222,    0.921
-124.00,    0.9969,    0.0017,      -0.416,    0.918
-123.00,    0.9970,    0.0017,      -0.198,    0.916
-122.00,    0.9971,    0.0017,       0.442,    0.915
-121.00,    0.9977,    0.0017,       0.692,    0.925
-120.00,    0.9977,    0.0017,       0.810,    0.931
-119.00,    0.9972,    0.0017,       1.200,    0.935
-118.00,    0.9963,    0.0017,       1.034,    0.932
-117.00,    0.9966,    0.0017,       0.352,    0.929
-116.00,    0.9984,    0.0017,      -0.118,    0.917
-115.00,    0.9991,    0.0017,      -0.285,    0.901
-114.00,    0.9979,    0.0017,      -0.356,    0.908
-113.00,    0.9973,    0.0017,       0.899,    0.913
-112.00,    0.9978,    0.0017,       0.228,    0.918
-111.00,    0.9985,    0.0017,      -0.479,    0.916
-110.00,    0.9972,    0.0017,       0.043,    0.928
-109.00,    0.9945,    0.0017,       0.079,    0.939
-108.00,    0.9925,    0.0017,       0.173,    0.947
-107.00,    0.9928,    0.0017,       0.064,    0.938
-106.00,    0.9951,    0.0017,      -0.032,    0.938
-105.00,    0.9973,    0.0017,      -0.130,    0.935
-104.00,    0.9979,    0.0017,       0.275,    0.935
-103.00,    0.9985,    0.0017,      -0.330,    0.932
-102.00,    0.9990,    0.0017,      -0.868,    0.926
-101.00,    0.9994,    0.0017,       0.037,    0.928
-100.00,    1.0001,    0.0017,       0.274,    0.929
 -99.00,    1.0013,    0.0017,       0.412,    0.922
 -98.00,    1.0021,    0.0017,      -0.390,    0.932
 -97.00,    1.0024,    0.0017,      -0.731,    0.941
 -96.00,    1.0028,    0.0017,      -0.162,    0.945
 -95.00,    1.0031,    0.0018,      -0.351,    0.935
 -94.00,    1.0040,    0.0018,      -0.135,    0.927
 -93.00,    1.0041,    0.0018,       0.590,    0.930
 -92.00,    1.0035,    0.0018,       0.107,    0.954
 -91.00,    1.0040,    0.0018,      -0.073,    0.958
 -90.00,    1.0053,    0.0018,      -0.337,    0.938
 -89.00,    1.0059,    0.0018,      -0.789,    0.916
 -88.00,    1.0058,    0.0018,       0.137,    0.927
 -87.00,    1.0048,    0.0018,       0.539,    0.949
 -86.00,    1.0035,    0.0018,       0.303,    0.956
 -85.00,    1.0032,    0.0018,      -0.342,    0.958
 -84.00,    1.0038,    0.0018,       0.186,    0.965
 -83.00,    1.0037,    0.0018,       0.456,    0.973
 -82.00,    1.0034,    0.0018,       0.025,    0.971
 -81.00,    1.0037,    0.0018,      -0.324,    0.979
 -80.00,    1.0046,    0.0018,      -0.879,    0.986
 -79.00,    1.0045,    0.0018,      -0.386,    0.993
 -78.00,    1.0046,    0.0018,      -0.062,    1.001
 -77.00,    1.0050,    0.0018,      -0.300,    0.992
 -76.00,    1.0049,    0.0018,      -0.818,    0.977
 -75.00,    1.0042,    0.0018,       0.207,    0.970
 -74.00,    1.0035,    0.0018,       0.062,    0.970
 -73.00,    1.0030,    0.0018,      -0.039,    0.972
 -72.00,    1.0004,    0.0018,       0.181,    0.967
 -71.00,    0.9972,    0.0018,       0.226,    0.974
 -70.00,    0.9942,    0.0018,      -0.077,    0.984
 -69.00,    0.9947,    0.0018,      -0.542,    0.984
 -68.00,    0.9998,    0.0018,      -0.125,    0.983
 -67.00,    1.0041,    0.0018,      -0.140,    0.987
 -66.00,    1.0051,    0.0018,      -0.558,    0.999
 -65.00,    1.0026,    0.0019,      -0.349,    1.015
 -64.00,    0.9987,    0.0019,       0.167,    1.025
 -63.00,    0.9948,    0.0019,       1.150,    1.013
 -62.00,    0.9950,    0.0019,       0.435,    1.008
 -61.00,    0.9995,    0.0019,       0.021,    0.987
 -60.00,    1.0057,    0.0019,      -0.238,    0.949
 -59.00,    1.0110,    0.0019,      -0.577,    0.951
 -58.00,    1.0153,    0.0019,      -0.368,    0.955
 -57.00,    1.0178,    0.0019,      -0.354,    0.962
 -56.00,    1.0185,    0.0019,      -0.088,    0.970
 -55.00,    1.0185,    0.0019,      -0.233,    0.995
 -54.00,    1.0205,    0.0019,      -0.298,    0.990
 -53.00,    1.0224,    0.0020,      -0.582,    0.988
 -52.00,    1.0241,    0.0020,      -1.059,    0.988
 -51.00,    1.0256,    0.0020,      -1.391,    0.997
 -50.00,    1.0262,    0.0020,      -1.036,    0.993
 -49.00,    1.0268,    0.0020,      -0.127,    0.983
 -48.00,    1.0253,    0.0020,      -0.245,    1.012
 -47.00,    1.0235,    0.0021,       0.568,    1.007
 -46.00,    1.0230,    0.0021,       0.227,    1.002
 -45.00,    1.0250,    0.0021,      -0.388,    1.014
 -44.00,    1.0259,    0.0021,       0.066,    1.032
 -43.00,    1.0254,    0.0022,       0.018,    1.034
 -42.00,    1.0259,    0.0022,      -0.046,    1.036
 -41.00,    1.0295,    0.0022,       0.178,    1.042
 -40.00,    1.0332,    0.0022,       0.338,    1.056
 -39.00,    1.0352,    0.0023,       0.743,    1.067
 -38.00,    1.0343,    0.0023,       0.302,    1.060
 -37.00,    1.0335,    0.0023,       0.149,    1.057
 -36.00,    1.0343,    0.0023,       0.756,    1.048
 -35.00,    1.0357,    0.0023,      -0.356,    1.059
 -34.00,    1.0364,    0.0024,      -0.501,    1.062
 -33.00,    1.0359,    0.0024,      -0.351,    1.063
 -32.00,    1.0357,    0.0024,      -0.126,    1.058
 -31.00,    1.0362,    0.0024,       0.979,    1.045
 -30.00,    1.0366,    0.0024,       0.234,    1.040
 -29.00,    1.0357,    0.0024,      -0.172,    1.063
 -28.00,    1.0359,    0.0024,       0.035,    1.076
 -27.00,    1.0378,    0.0024,       0.818,    1.092
 -26.00,    1.0416,    0.0024,      -0.700,    1.091
 -25.00,    1.0427,    0.0024,      -0.667,    1.097
 -24.00,    1.0429,    0.0024,      -0.074,    1.108
 -23.00,    1.0436,    0.0024,       0.082,    1.099
 -22.00,    1.0438,    0.0024,       0.009,    1.089
 -21.00,    1.0446,    0.0024,      -0.431,    1.056
 -20.00,    1.0450,    0.0023,      -2.067,    1.035
 -19.00,    1.0454,    0.0023,      -0.960,    1.043
 -18.00,    1.0476,    0.0023,      -0.145,    1.037
 -17.00,    1.0513,    0.0023,       0.137,    1.034
 -16.00,    1.0556,    0.0023,      -0.068,    1.020
 -15.00,    1.0579,    0.0022,      -0.556,    1.042
 -14.00,    1.0608,    0.0023,      -0.232,    1.040
 -13.00,    1.0633,    0.0023,      -0.393,    1.036
 -12.00,    1.0666,    0.0023,      -0.319,    1.039
 -11.00,    1.0683,    0.0022,      -0.241,    1.040
 -10.00,    1.0696,    0.0022,       0.200,    1.043
  -9.00,    1.0722,    0.0022,      -0.018,    1.040
  -8.00,    1.0760,    0.0022,      -0.230,    1.026
  -7.00,    1.0807,    0.0021,      -0.244,    1.012
  -6.00,    1.0849,    0.0022,       0.381,    1.000
  -5.00,    1.0889,    0.0022,       0.733,    1.002
  -4.00,    1.0924,    0.0022,       0.683,    1.002
  -3.00,    1.0956,    0.0022,       0.673,    1.010
