# Combination of lowJ over dates ['240106', '240107']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9908,    0.0040,      -2.463,    4.143
-149.00,    0.9899,    0.0040,      -5.259,    4.157
-148.00,    0.9959,    0.0040,      -3.960,    4.097
-147.00,    1.0034,    0.0041,      -1.229,    4.060
-146.00,    1.0033,    0.0041,      -1.578,    4.095
-145.00,    0.9998,    0.0041,      -2.958,    4.099
-144.00,    0.9984,    0.0041,      -4.280,    4.114
-143.00,    0.9989,    0.0041,      -2.473,    4.155
-142.00,    1.0011,    0.0041,       0.085,    4.207
-141.00,    1.0040,    0.0041,       0.576,    4.219
-140.00,    1.0037,    0.0042,       1.441,    4.219
-139.00,    1.0003,    0.0042,       5.024,    4.243
-138.00,    0.9962,    0.0042,       2.749,    4.270
-137.00,    0.9956,    0.0042,      -0.476,    4.210
-136.00,    0.9990,    0.0041,      -1.636,    4.171
-135.00,    1.0015,    0.0041,      -1.544,    4.159
-134.00,    1.0035,    0.0041,      -0.943,    4.196
-133.00,    1.0050,    0.0041,      -1.187,    4.226
-132.00,    1.0048,    0.0042,      -0.609,    4.251
-131.00,    1.0074,    0.0042,      -2.244,    4.255
-130.00,    1.0090,    0.0043,      -0.866,    4.325
-129.00,    1.0074,    0.0043,       3.412,    4.427
-128.00,    1.0012,    0.0043,       1.946,    4.470
-127.00,    0.9995,    0.0043,       2.320,    4.418
-126.00,    1.0013,    0.0043,      -1.577,    4.388
-125.00,    1.0021,    0.0043,      -2.416,    4.417
-124.00,    1.0015,    0.0044,      -2.901,    4.458
-123.00,    1.0027,    0.0044,      -0.183,    4.498
-122.00,    1.0010,    0.0045,       3.848,    4.543
-121.00,    0.9946,    0.0045,       5.389,    4.577
-120.00,    0.9907,    0.0045,       1.715,    4.583
-119.00,    0.9927,    0.0044,       2.418,    4.576
-118.00,    0.9946,    0.0044,       5.909,    4.550
-117.00,    0.9957,    0.0044,       5.877,    4.513
-116.00,    0.9978,    0.0044,       3.888,    4.477
-115.00,    1.0010,    0.0044,      -0.087,    4.426
-114.00,    1.0032,    0.0044,       2.049,    4.484
-113.00,    1.0023,    0.0044,       4.727,    4.532
-112.00,    0.9995,    0.0044,       3.348,    4.543
-111.00,    0.9971,    0.0044,      -5.630,    4.430
-110.00,    0.9971,    0.0044,      -7.841,    4.352
-109.00,    0.9976,    0.0044,      -5.703,    4.425
-108.00,    0.9994,    0.0045,       2.876,    4.528
-107.00,    1.0014,    0.0045,       4.983,    4.569
-106.00,    1.0024,    0.0045,       1.188,    4.537
-105.00,    1.0016,    0.0045,      -5.954,    4.456
-104.00,    1.0002,    0.0044,     -12.186,    4.398
-103.00,    0.9993,    0.0044,      -4.714,    4.394
-102.00,    0.9992,    0.0044,       1.399,    4.387
-101.00,    0.9997,    0.0043,       3.589,    4.372
-100.00,    1.0017,    0.0043,       5.075,    4.354
 -99.00,    1.0036,    0.0043,       4.358,    4.346
 -98.00,    1.0031,    0.0043,       2.270,    4.335
 -97.00,    1.0018,    0.0043,      -1.529,    4.324
 -96.00,    0.9999,    0.0042,       0.423,    4.276
 -95.00,    1.0006,    0.0042,       3.747,    4.227
 -94.00,    1.0026,    0.0042,       5.311,    4.215
 -93.00,    1.0037,    0.0042,       6.412,    4.209
 -92.00,    1.0025,    0.0042,       6.100,    4.193
 -91.00,    1.0008,    0.0042,       4.712,    4.205
 -90.00,    1.0027,    0.0041,       4.379,    4.233
 -89.00,    1.0050,    0.0041,       2.787,    4.243
 -88.00,    1.0057,    0.0041,       2.328,    4.217
 -87.00,    1.0073,    0.0041,       5.667,    4.179
 -86.00,    1.0080,    0.0042,       6.261,    4.190
 -85.00,    1.0062,    0.0042,       4.101,    4.234
 -84.00,    1.0007,    0.0041,       1.601,    4.224
 -83.00,    0.9981,    0.0041,       0.643,    4.189
 -82.00,    0.9987,    0.0041,       0.718,    4.134
 -81.00,    1.0012,    0.0040,       0.038,    4.087
 -80.00,    1.0066,    0.0040,      -0.199,    4.031
 -79.00,    1.0090,    0.0040,      -1.073,    4.007
 -78.00,    1.0082,    0.0040,       0.326,    4.004
 -77.00,    1.0066,    0.0040,       2.132,    4.028
 -76.00,    1.0053,    0.0040,       3.554,    4.052
