# Stacked over transitions
#['P21', 'P22', 'P23', 'P25', 'P26', 'P27', 'P28', 'P29', 'P30', 'P31', 'P32', 'P34', 'P35', 'P36', 'P37', 'P38', 'P39', 'P40', 'P41', 'P42']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9818,    0.0025,       0.431,    1.232
-149.00,    0.9801,    0.0025,       0.323,    1.235
-148.00,    0.9820,    0.0025,       0.604,    1.236
-147.00,    0.9842,    0.0025,       0.256,    1.221
-146.00,    0.9840,    0.0025,       0.616,    1.218
-145.00,    0.9818,    0.0025,      -0.691,    1.226
-144.00,    0.9816,    0.0025,      -1.379,    1.221
-143.00,    0.9833,    0.0025,      -0.791,    1.194
-142.00,    0.9871,    0.0025,       0.086,    1.196
-141.00,    0.9920,    0.0025,      -0.614,    1.181
-140.00,    0.9958,    0.0025,      -0.482,    1.190
-139.00,    0.9955,    0.0026,       1.550,    1.208
-138.00,    0.9932,    0.0025,       2.061,    1.196
-137.00,    0.9920,    0.0025,       0.850,    1.170
-136.00,    0.9925,    0.0025,       0.986,    1.134
-135.00,    0.9933,    0.0024,       0.191,    1.110
-134.00,    0.9919,    0.0024,      -0.294,    1.108
-133.00,    0.9868,    0.0023,      -0.897,    1.112
-132.00,    0.9867,    0.0023,       0.551,    1.122
-131.00,    0.9887,    0.0023,      -0.117,    1.122
-130.00,    0.9908,    0.0023,      -2.197,    1.112
-129.00,    0.9924,    0.0023,      -1.701,    1.104
-128.00,    0.9940,    0.0023,       0.292,    1.089
-127.00,    0.9937,    0.0023,       0.327,    1.081
-126.00,    0.9937,    0.0023,      -1.660,    1.089
-125.00,    0.9908,    0.0023,      -1.364,    1.096
-124.00,    0.9883,    0.0022,      -1.161,    1.093
-123.00,    0.9878,    0.0022,      -0.156,    1.082
-122.00,    0.9869,    0.0022,       0.168,    1.074
-121.00,    0.9850,    0.0022,      -0.153,    1.074
-120.00,    0.9836,    0.0022,       0.276,    1.075
-119.00,    0.9839,    0.0022,       1.374,    1.061
-118.00,    0.9845,    0.0022,       0.435,    1.057
-117.00,    0.9863,    0.0022,      -1.132,    1.066
-116.00,    0.9878,    0.0022,      -1.144,    1.070
-115.00,    0.9890,    0.0022,      -1.151,    1.068
-114.00,    0.9906,    0.0022,      -0.279,    1.052
-113.00,    0.9911,    0.0022,       0.061,    1.048
-112.00,    0.9914,    0.0022,      -0.360,    1.053
-111.00,    0.9919,    0.0022,      -1.473,    1.055
-110.00,    0.9928,    0.0022,      -1.852,    1.047
-109.00,    0.9939,    0.0022,      -1.749,    1.040
-108.00,    0.9949,    0.0022,      -1.334,    1.047
-107.00,    0.9953,    0.0022,      -0.691,    1.030
-106.00,    0.9979,    0.0022,      -0.787,    1.001
-105.00,    1.0005,    0.0022,      -1.241,    1.009
-104.00,    1.0010,    0.0021,       0.005,    1.007
-103.00,    0.9997,    0.0021,       0.437,    1.000
-102.00,    0.9982,    0.0021,      -0.153,    0.998
-101.00,    0.9966,    0.0021,      -1.120,    0.995
-100.00,    0.9967,    0.0021,      -1.625,    0.993
 -99.00,    0.9950,    0.0021,      -2.414,    0.987
 -98.00,    0.9955,    0.0021,      -1.419,    0.985
 -97.00,    0.9959,    0.0021,      -0.506,    0.980
 -96.00,    0.9960,    0.0021,       0.232,    0.970
 -95.00,    0.9950,    0.0021,       0.511,    0.976
 -94.00,    0.9955,    0.0021,       0.321,    0.987
 -93.00,    0.9962,    0.0021,       0.803,    0.994
 -92.00,    0.9973,    0.0021,      -0.440,    0.991
 -91.00,    0.9981,    0.0021,      -0.840,    1.002
 -90.00,    0.9992,    0.0021,      -0.896,    1.000
 -89.00,    1.0007,    0.0021,      -0.249,    0.989
 -88.00,    1.0003,    0.0021,      -0.422,    0.988
 -87.00,    1.0011,    0.0021,      -0.920,    1.002
 -86.00,    1.0052,    0.0021,      -1.484,    1.008
 -85.00,    1.0072,    0.0021,      -1.195,    1.007
 -84.00,    1.0062,    0.0021,      -0.766,    1.013
 -83.00,    1.0047,    0.0021,       0.061,    1.014
 -82.00,    1.0046,    0.0021,       0.083,    0.995
 -81.00,    1.0058,    0.0021,      -0.774,    0.991
 -80.00,    1.0074,    0.0021,      -1.093,    0.976
 -79.00,    1.0109,    0.0021,      -0.753,    0.981
 -78.00,    1.0116,    0.0021,      -0.278,    0.997
 -77.00,    1.0102,    0.0021,      -0.556,    1.012
 -76.00,    1.0075,    0.0021,      -0.959,    1.012
 -75.00,    1.0073,    0.0021,      -0.464,    1.006
 -74.00,    1.0082,    0.0021,       0.479,    1.000
 -73.00,    1.0069,    0.0021,      -0.783,    0.998
 -72.00,    1.0050,    0.0021,      -1.089,    0.976
 -71.00,    1.0044,    0.0021,       1.068,    0.949
 -70.00,    1.0072,    0.0021,       0.913,    0.962
 -69.00,    1.0070,    0.0021,       0.376,    1.002
 -68.00,    1.0045,    0.0021,       0.117,    1.017
 -67.00,    1.0053,    0.0021,      -0.623,    1.002
 -66.00,    1.0092,    0.0021,      -0.655,    0.996
 -65.00,    1.0113,    0.0021,      -0.185,    1.006
 -64.00,    1.0105,    0.0022,       0.155,    1.044
 -63.00,    1.0110,    0.0022,      -0.386,    1.078
 -62.00,    1.0135,    0.0023,      -0.754,    1.070
 -61.00,    1.0136,    0.0022,      -1.842,    1.012
 -60.00,    1.0147,    0.0022,      -1.219,    0.983
 -59.00,    1.0166,    0.0022,      -0.091,    0.983
 -58.00,    1.0187,    0.0022,       0.187,    1.001
 -57.00,    1.0201,    0.0022,       0.268,    1.013
 -56.00,    1.0203,    0.0022,       0.347,    1.010
 -55.00,    1.0204,    0.0022,       0.645,    1.004
 -54.00,    1.0215,    0.0022,       0.384,    1.008
 -53.00,    1.0235,    0.0022,       0.877,    1.013
 -52.00,    1.0249,    0.0022,       0.680,    1.007
 -51.00,    1.0228,    0.0022,      -0.875,    0.983
 -50.00,    1.0206,    0.0022,      -1.608,    0.980
 -49.00,    1.0189,    0.0022,      -0.580,    1.011
 -48.00,    1.0186,    0.0022,      -0.434,    1.018
 -47.00,    1.0183,    0.0022,      -0.897,    1.018
 -46.00,    1.0187,    0.0022,      -0.366,    1.028
 -45.00,    1.0174,    0.0022,      -0.729,    1.037
 -44.00,    1.0173,    0.0022,       0.038,    1.029
 -43.00,    1.0189,    0.0022,       0.401,    1.027
 -42.00,    1.0193,    0.0022,      -1.293,    1.025
 -41.00,    1.0197,    0.0022,      -1.621,    1.034
 -40.00,    1.0230,    0.0022,      -1.666,    1.024
 -39.00,    1.0261,    0.0022,      -1.374,    1.008
 -38.00,    1.0278,    0.0022,      -0.931,    0.995
 -37.00,    1.0279,    0.0022,      -1.179,    0.991
 -36.00,    1.0305,    0.0022,      -0.702,    0.989
 -35.00,    1.0348,    0.0022,      -0.552,    0.986
 -34.00,    1.0359,    0.0022,      -1.301,    0.976
 -33.00,    1.0337,    0.0022,      -2.055,    0.966
 -32.00,    1.0332,    0.0022,      -0.820,    0.946
 -31.00,    1.0381,    0.0022,      -1.040,    0.955
 -30.00,    1.0397,    0.0022,      -0.590,    0.980
 -29.00,    1.0385,    0.0022,      -0.520,    0.995
 -28.00,    1.0376,    0.0022,       0.216,    0.983
 -27.00,    1.0385,    0.0022,       0.338,    0.979
 -26.00,    1.0398,    0.0022,       1.076,    0.979
 -25.00,    1.0389,    0.0022,       0.966,    0.976
 -24.00,    1.0388,    0.0022,      -0.826,    0.977
 -23.00,    1.0395,    0.0022,      -1.503,    0.979
 -22.00,    1.0379,    0.0022,      -1.502,    0.988
 -21.00,    1.0374,    0.0022,       0.039,    1.001
 -20.00,    1.0417,    0.0022,       1.331,    1.011
 -19.00,    1.0487,    0.0022,      -0.429,    0.994
 -18.00,    1.0515,    0.0022,      -0.780,    0.991
 -17.00,    1.0519,    0.0022,      -0.894,    0.986
 -16.00,    1.0521,    0.0022,      -1.366,    0.979
 -15.00,    1.0534,    0.0022,      -1.398,    0.980
 -14.00,    1.0557,    0.0022,      -1.540,    0.984
 -13.00,    1.0579,    0.0023,      -1.037,    0.990
 -12.00,    1.0606,    0.0023,      -0.018,    0.997
 -11.00,    1.0652,    0.0023,       0.036,    0.999
 -10.00,    1.0710,    0.0023,      -0.615,    0.990
  -9.00,    1.0750,    0.0023,      -0.875,    0.974
  -8.00,    1.0766,    0.0023,       0.691,    0.970
  -7.00,    1.0786,    0.0023,       0.748,    0.962
  -6.00,    1.0804,    0.0023,       0.113,    0.953
  -5.00,    1.0814,    0.0023,       0.303,    0.955
  -4.00,    1.0839,    0.0023,       0.423,    0.954
  -3.00,    1.0865,    0.0023,      -0.693,    0.962
  -2.00,    1.0874,    0.0023,      -0.131,    0.972
  -1.00,    1.0888,    0.0023,      -1.329,    0.967
   0.00,    1.0923,    0.0023,      -0.888,    0.977
   1.00,    1.0965,    0.0024,      -0.337,    0.977
   2.00,    1.0996,    0.0023,      -0.059,    0.969
   3.00,    1.1029,    0.0023,       0.243,    0.953
   4.00,    1.1064,    0.0023,       0.044,    0.954
   5.00,    1.1108,    0.0023,      -0.612,    0.956
   6.00,    1.1165,    0.0023,      -0.779,    0.948
   7.00,    1.1259,    0.0024,      -1.457,    0.938
   8.00,    1.1346,    0.0024,      -2.899,    0.932
   9.00,    1.1374,    0.0024,      -2.615,    0.933
  10.00,    1.1351,    0.0024,      -1.519,    0.934
  11.00,    1.1343,    0.0024,      -0.477,    0.907
  12.00,    1.1335,    0.0024,      -0.441,    0.899
  13.00,    1.1303,    0.0024,      -0.486,    0.913
  14.00,    1.1280,    0.0024,      -2.282,    0.936
  15.00,    1.1263,    0.0024,      -2.637,    0.933
  16.00,    1.1284,    0.0024,      -1.905,    0.967
  17.00,    1.1347,    0.0025,      -0.587,    0.965
  18.00,    1.1396,    0.0025,       0.365,    0.955
  19.00,    1.1417,    0.0025,       1.169,    0.965
  20.00,    1.1405,    0.0025,       1.332,    0.967
  21.00,    1.1367,    0.0025,       1.877,    0.973
  22.00,    1.1307,    0.0025,       2.050,    0.982
  23.00,    1.1245,    0.0025,       1.080,    0.996
  24.00,    1.1181,    0.0025,       1.659,    1.004
  25.00,    1.1107,    0.0025,       2.038,    0.992
  26.00,    1.1033,    0.0025,       0.793,    0.993
  27.00,    1.0966,    0.0024,      -0.263,    0.996
  28.00,    1.0896,    0.0024,       1.161,    0.998
  29.00,    1.0822,    0.0024,       0.838,    0.994
  30.00,    1.0755,    0.0023,       1.644,    1.001
  31.00,    1.0704,    0.0023,       1.619,    1.005
  32.00,    1.0671,    0.0023,       1.629,    1.013
  33.00,    1.0636,    0.0023,       0.660,    0.999
