# Stacked over transitions
#['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10', 'P11', 'P12', 'P13', 'P14', 'R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R10', 'R11', 'R12', 'R13']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9861,    0.0014,       0.600,    0.681
-149.00,    0.9871,    0.0014,       1.488,    0.678
-148.00,    0.9893,    0.0014,       1.262,    0.668
-147.00,    0.9915,    0.0014,       0.338,    0.670
-146.00,    0.9930,    0.0014,      -0.152,    0.671
-145.00,    0.9936,    0.0014,      -0.258,    0.672
-144.00,    0.9960,    0.0014,       0.423,    0.668
-143.00,    0.9959,    0.0014,       0.266,    0.669
-142.00,    0.9930,    0.0014,      -1.108,    0.676
-141.00,    0.9915,    0.0014,      -1.407,    0.683
-140.00,    0.9920,    0.0015,      -1.581,    0.683
-139.00,    0.9944,    0.0015,      -1.378,    0.679
-138.00,    0.9968,    0.0015,       0.911,    0.677
-137.00,    0.9975,    0.0014,       1.346,    0.687
-136.00,    0.9960,    0.0014,       0.541,    0.687
-135.00,    0.9941,    0.0014,      -0.434,    0.676
-134.00,    0.9947,    0.0014,      -0.747,    0.674
-133.00,    0.9962,    0.0014,      -0.459,    0.660
-132.00,    0.9968,    0.0014,      -0.121,    0.642
-131.00,    0.9959,    0.0014,      -0.056,    0.637
-130.00,    0.9954,    0.0014,       0.984,    0.638
-129.00,    0.9954,    0.0014,       0.028,    0.646
-128.00,    0.9949,    0.0014,      -0.382,    0.639
-127.00,    0.9939,    0.0013,      -0.864,    0.632
-126.00,    0.9938,    0.0013,      -1.165,    0.619
-125.00,    0.9951,    0.0013,      -0.401,    0.611
-124.00,    0.9958,    0.0013,      -0.848,    0.609
-123.00,    0.9963,    0.0013,      -0.504,    0.606
-122.00,    0.9964,    0.0013,       0.173,    0.604
-121.00,    0.9964,    0.0013,       0.375,    0.612
-120.00,    0.9966,    0.0013,       0.375,    0.617
-119.00,    0.9963,    0.0013,       0.840,    0.618
-118.00,    0.9957,    0.0013,       1.053,    0.613
-117.00,    0.9961,    0.0013,       0.192,    0.612
-116.00,    0.9980,    0.0013,      -0.070,    0.606
-115.00,    0.9985,    0.0013,      -0.323,    0.596
-114.00,    0.9969,    0.0013,      -0.246,    0.603
-113.00,    0.9965,    0.0013,       0.914,    0.607
-112.00,    0.9975,    0.0013,       0.285,    0.612
-111.00,    0.9983,    0.0013,      -0.501,    0.612
-110.00,    0.9966,    0.0013,      -0.142,    0.620
-109.00,    0.9935,    0.0013,       0.170,    0.628
-108.00,    0.9917,    0.0013,       0.205,    0.637
-107.00,    0.9923,    0.0013,      -0.147,    0.630
-106.00,    0.9950,    0.0013,       0.189,    0.631
-105.00,    0.9969,    0.0013,       0.225,    0.627
-104.00,    0.9962,    0.0013,       0.883,    0.628
-103.00,    0.9966,    0.0013,       0.136,    0.627
-102.00,    0.9973,    0.0013,      -0.592,    0.623
-101.00,    0.9980,    0.0013,       0.308,    0.625
-100.00,    0.9989,    0.0013,       0.201,    0.626
 -99.00,    1.0002,    0.0013,       0.226,    0.619
 -98.00,    1.0011,    0.0013,      -0.783,    0.624
 -97.00,    1.0017,    0.0013,      -1.094,    0.633
 -96.00,    1.0025,    0.0013,      -0.291,    0.638
 -95.00,    1.0024,    0.0014,      -0.220,    0.631
 -94.00,    1.0033,    0.0014,      -0.005,    0.624
 -93.00,    1.0034,    0.0014,       0.282,    0.624
 -92.00,    1.0034,    0.0014,      -0.116,    0.646
 -91.00,    1.0041,    0.0014,       0.105,    0.652
 -90.00,    1.0053,    0.0014,      -0.417,    0.635
 -89.00,    1.0063,    0.0014,      -0.950,    0.615
 -88.00,    1.0069,    0.0014,       0.033,    0.626
 -87.00,    1.0060,    0.0014,       0.638,    0.648
 -86.00,    1.0034,    0.0014,       0.484,    0.653
 -85.00,    1.0032,    0.0014,      -0.075,    0.653
 -84.00,    1.0051,    0.0014,       0.409,    0.657
 -83.00,    1.0048,    0.0014,       0.987,    0.663
 -82.00,    1.0033,    0.0014,       0.873,    0.668
 -81.00,    1.0027,    0.0014,      -0.212,    0.676
 -80.00,    1.0030,    0.0014,      -1.123,    0.679
 -79.00,    1.0025,    0.0014,      -0.476,    0.681
 -78.00,    1.0021,    0.0014,      -0.142,    0.686
 -77.00,    1.0029,    0.0014,      -0.490,    0.676
 -76.00,    1.0033,    0.0014,      -1.097,    0.662
 -75.00,    1.0024,    0.0014,       0.181,    0.656
 -74.00,    1.0013,    0.0014,       0.141,    0.655
 -73.00,    1.0007,    0.0014,       0.225,    0.660
 -72.00,    0.9967,    0.0014,       0.127,    0.656
 -71.00,    0.9917,    0.0014,       0.394,    0.661
 -70.00,    0.9862,    0.0014,      -0.196,    0.667
 -69.00,    0.9873,    0.0014,      -1.004,    0.662
 -68.00,    0.9942,    0.0014,      -0.371,    0.658
 -67.00,    0.9992,    0.0014,      -0.165,    0.659
 -66.00,    1.0012,    0.0014,      -0.708,    0.666
 -65.00,    1.0008,    0.0014,      -0.860,    0.677
 -64.00,    0.9995,    0.0014,      -0.065,    0.682
 -63.00,    0.9992,    0.0014,       0.777,    0.671
 -62.00,    1.0022,    0.0014,       0.336,    0.664
 -61.00,    1.0067,    0.0014,       0.233,    0.646
 -60.00,    1.0100,    0.0014,      -0.288,    0.614
 -59.00,    1.0114,    0.0014,      -0.593,    0.616
 -58.00,    1.0143,    0.0014,       0.002,    0.621
 -57.00,    1.0158,    0.0014,      -0.326,    0.627
 -56.00,    1.0155,    0.0014,      -0.070,    0.631
 -55.00,    1.0156,    0.0014,      -0.093,    0.645
 -54.00,    1.0177,    0.0014,      -0.307,    0.636
 -53.00,    1.0201,    0.0014,      -0.706,    0.630
 -52.00,    1.0221,    0.0014,      -1.051,    0.627
 -51.00,    1.0233,    0.0014,      -1.237,    0.632
 -50.00,    1.0227,    0.0014,      -0.571,    0.628
 -49.00,    1.0220,    0.0014,       0.218,    0.617
 -48.00,    1.0208,    0.0014,      -0.093,    0.633
 -47.00,    1.0199,    0.0014,       0.701,    0.625
 -46.00,    1.0204,    0.0014,       0.397,    0.617
 -45.00,    1.0221,    0.0014,      -0.349,    0.623
 -44.00,    1.0225,    0.0014,       0.135,    0.631
 -43.00,    1.0218,    0.0014,       0.084,    0.629
 -42.00,    1.0223,    0.0014,       0.055,    0.627
 -41.00,    1.0265,    0.0014,       0.058,    0.627
 -40.00,    1.0310,    0.0014,       0.177,    0.632
 -39.00,    1.0337,    0.0014,       0.499,    0.634
 -38.00,    1.0329,    0.0014,       0.192,    0.626
 -37.00,    1.0320,    0.0014,       0.238,    0.621
 -36.00,    1.0332,    0.0014,       0.847,    0.614
 -35.00,    1.0351,    0.0014,      -0.372,    0.619
 -34.00,    1.0361,    0.0014,      -0.514,    0.620
 -33.00,    1.0358,    0.0014,      -0.342,    0.620
 -32.00,    1.0358,    0.0014,      -0.058,    0.616
 -31.00,    1.0365,    0.0014,       1.019,    0.608
 -30.00,    1.0368,    0.0014,       0.209,    0.604
 -29.00,    1.0357,    0.0014,      -0.120,    0.617
 -28.00,    1.0357,    0.0014,       0.047,    0.624
 -27.00,    1.0373,    0.0014,       0.842,    0.632
 -26.00,    1.0410,    0.0014,      -0.721,    0.631
 -25.00,    1.0421,    0.0014,      -0.679,    0.634
 -24.00,    1.0425,    0.0014,      -0.058,    0.641
 -23.00,    1.0432,    0.0014,       0.062,    0.638
 -22.00,    1.0432,    0.0014,      -0.008,    0.635
 -21.00,    1.0437,    0.0014,      -0.413,    0.618
 -20.00,    1.0439,    0.0014,      -2.061,    0.608
 -19.00,    1.0436,    0.0014,      -1.082,    0.616
 -18.00,    1.0451,    0.0014,      -0.252,    0.616
 -17.00,    1.0480,    0.0014,       0.233,    0.618
 -16.00,    1.0520,    0.0014,      -0.017,    0.614
 -15.00,    1.0535,    0.0014,      -0.444,    0.633
 -14.00,    1.0552,    0.0015,      -0.194,    0.635
 -13.00,    1.0587,    0.0015,      -0.554,    0.636
