# Stacked over transitions
#['P21', 'P22P23', 'P25', 'P26', 'P27', 'P28', 'P29', 'P30', 'P31', 'P32', 'P34', 'P35', 'P36', 'P37', 'P38', 'P39', 'P40', 'P41', 'P42']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9922,    0.0022,       0.930,    1.523
-149.00,    0.9920,    0.0023,       0.118,    1.532
-148.00,    0.9911,    0.0022,       0.046,    1.548
-147.00,    0.9899,    0.0022,      -0.888,    1.539
-146.00,    0.9920,    0.0022,      -2.402,    1.524
-145.00,    0.9944,    0.0022,      -1.782,    1.525
-144.00,    0.9945,    0.0022,       0.877,    1.526
-143.00,    0.9943,    0.0022,       1.013,    1.514
-142.00,    0.9960,    0.0022,       0.666,    1.501
-141.00,    0.9961,    0.0022,      -0.355,    1.498
-140.00,    0.9946,    0.0022,       1.102,    1.513
-139.00,    0.9929,    0.0022,       1.264,    1.526
-138.00,    0.9910,    0.0022,      -0.078,    1.537
-137.00,    0.9884,    0.0022,      -0.774,    1.513
-136.00,    0.9881,    0.0022,       0.563,    1.518
-135.00,    0.9909,    0.0022,      -0.004,    1.523
-134.00,    0.9941,    0.0023,       0.163,    1.544
-133.00,    0.9939,    0.0023,       1.214,    1.548
-132.00,    0.9919,    0.0023,       0.656,    1.527
-131.00,    0.9904,    0.0022,       0.928,    1.533
-130.00,    0.9906,    0.0022,       2.528,    1.541
-129.00,    0.9896,    0.0022,       2.252,    1.545
-128.00,    0.9893,    0.0022,       0.376,    1.527
-127.00,    0.9907,    0.0022,       0.722,    1.509
-126.00,    0.9916,    0.0022,      -0.954,    1.504
-125.00,    0.9903,    0.0022,      -0.794,    1.515
-124.00,    0.9896,    0.0022,      -2.310,    1.510
-123.00,    0.9917,    0.0022,      -1.001,    1.506
-122.00,    0.9941,    0.0022,       1.092,    1.494
-121.00,    0.9937,    0.0022,       0.357,    1.481
-120.00,    0.9922,    0.0022,      -0.871,    1.487
-119.00,    0.9909,    0.0022,       0.008,    1.511
-118.00,    0.9894,    0.0022,      -1.099,    1.525
-117.00,    0.9883,    0.0022,      -1.192,    1.511
-116.00,    0.9909,    0.0022,      -0.892,    1.460
-115.00,    0.9947,    0.0022,      -0.569,    1.481
-114.00,    0.9966,    0.0022,      -0.998,    1.497
-113.00,    0.9967,    0.0022,       0.631,    1.515
-112.00,    0.9964,    0.0022,       1.266,    1.516
-111.00,    0.9958,    0.0022,       2.248,    1.531
-110.00,    0.9958,    0.0022,       1.774,    1.526
-109.00,    0.9953,    0.0022,       0.507,    1.519
-108.00,    0.9957,    0.0022,       0.010,    1.534
-107.00,    0.9938,    0.0023,      -0.014,    1.555
-106.00,    0.9921,    0.0022,      -2.699,    1.540
-105.00,    0.9932,    0.0022,      -2.440,    1.521
-104.00,    0.9963,    0.0022,      -1.283,    1.518
-103.00,    0.9974,    0.0022,      -1.572,    1.530
-102.00,    0.9964,    0.0022,      -1.199,    1.541
-101.00,    0.9955,    0.0022,       0.018,    1.551
-100.00,    0.9964,    0.0022,       0.649,    1.538
 -99.00,    0.9986,    0.0022,      -0.022,    1.533
 -98.00,    0.9997,    0.0022,       0.563,    1.525
 -97.00,    0.9980,    0.0022,       0.972,    1.503
 -96.00,    0.9966,    0.0022,      -0.601,    1.495
 -95.00,    0.9947,    0.0022,      -0.980,    1.491
 -94.00,    0.9919,    0.0022,       0.927,    1.510
 -93.00,    0.9922,    0.0022,       0.387,    1.522
 -92.00,    0.9956,    0.0022,       1.401,    1.507
 -91.00,    0.9990,    0.0022,       1.774,    1.511
 -90.00,    0.9993,    0.0022,       1.311,    1.510
 -89.00,    0.9994,    0.0022,      -0.419,    1.512
 -88.00,    0.9988,    0.0022,       1.688,    1.520
 -87.00,    0.9979,    0.0022,       3.881,    1.509
 -86.00,    0.9979,    0.0022,       2.373,    1.474
 -85.00,    1.0008,    0.0022,       0.095,    1.466
 -84.00,    1.0018,    0.0022,      -1.305,    1.483
 -83.00,    1.0006,    0.0022,      -0.855,    1.496
 -82.00,    0.9995,    0.0022,      -0.230,    1.500
 -81.00,    1.0020,    0.0022,       0.899,    1.501
 -80.00,    1.0045,    0.0022,       0.327,    1.484
 -79.00,    1.0049,    0.0022,       1.118,    1.496
 -78.00,    1.0044,    0.0022,      -0.287,    1.510
 -77.00,    1.0039,    0.0022,      -2.215,    1.514
 -76.00,    1.0039,    0.0023,      -1.458,    1.505
 -75.00,    1.0047,    0.0023,      -0.297,    1.505
 -74.00,    1.0050,    0.0023,       0.622,    1.500
 -73.00,    1.0045,    0.0023,      -0.615,    1.522
 -72.00,    1.0044,    0.0023,      -2.455,    1.546
 -71.00,    1.0043,    0.0023,       0.204,    1.529
 -70.00,    1.0066,    0.0023,       2.060,    1.511
 -69.00,    1.0092,    0.0023,       1.094,    1.512
 -68.00,    1.0117,    0.0023,       0.095,    1.527
 -67.00,    1.0124,    0.0023,      -0.509,    1.505
 -66.00,    1.0113,    0.0023,      -1.198,    1.475
 -65.00,    1.0141,    0.0023,      -1.854,    1.472
 -64.00,    1.0177,    0.0023,      -1.023,    1.502
 -63.00,    1.0186,    0.0023,      -0.954,    1.521
 -62.00,    1.0178,    0.0023,      -0.616,    1.516
 -61.00,    1.0178,    0.0023,      -0.864,    1.524
 -60.00,    1.0181,    0.0023,      -0.584,    1.530
 -59.00,    1.0192,    0.0024,       1.490,    1.535
 -58.00,    1.0227,    0.0024,       2.263,    1.526
 -57.00,    1.0240,    0.0024,      -2.194,    1.529
 -56.00,    1.0236,    0.0024,      -1.038,    1.548
 -55.00,    1.0225,    0.0024,       1.134,    1.569
 -54.00,    1.0238,    0.0024,       1.475,    1.550
 -53.00,    1.0262,    0.0024,       1.060,    1.526
 -52.00,    1.0279,    0.0024,       0.363,    1.533
 -51.00,    1.0286,    0.0024,       0.901,    1.546
 -50.00,    1.0321,    0.0024,       0.599,    1.545
 -49.00,    1.0341,    0.0024,       1.006,    1.525
 -48.00,    1.0348,    0.0024,       0.904,    1.528
 -47.00,    1.0341,    0.0024,       1.318,    1.536
 -46.00,    1.0340,    0.0024,       0.198,    1.542
 -45.00,    1.0335,    0.0024,      -0.218,    1.561
 -44.00,    1.0339,    0.0024,      -0.406,    1.566
 -43.00,    1.0382,    0.0024,       1.501,    1.559
 -42.00,    1.0434,    0.0025,       1.484,    1.560
 -41.00,    1.0437,    0.0025,       0.891,    1.563
 -40.00,    1.0434,    0.0025,      -0.874,    1.567
