# Stacked over transitions
#['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9933,    0.0038,       0.496,    2.868
-149.00,    0.9908,    0.0038,       2.881,    2.888
-148.00,    0.9881,    0.0038,       3.708,    2.846
-147.00,    0.9922,    0.0038,       4.526,    2.802
-146.00,    0.9990,    0.0039,       5.379,    2.820
-145.00,    1.0035,    0.0039,       4.544,    2.842
-144.00,    1.0020,    0.0039,       2.712,    2.859
-143.00,    0.9977,    0.0039,       3.679,    2.902
-142.00,    0.9984,    0.0039,       0.991,    2.914
-141.00,    1.0021,    0.0039,      -1.068,    2.882
-140.00,    1.0058,    0.0040,      -1.267,    2.814
-139.00,    1.0040,    0.0040,      -0.579,    2.830
-138.00,    1.0008,    0.0040,      -3.125,    2.892
-137.00,    1.0018,    0.0040,      -1.973,    2.879
-136.00,    1.0029,    0.0039,      -1.802,    2.849
-135.00,    1.0046,    0.0039,      -0.259,    2.859
-134.00,    1.0064,    0.0039,      -2.771,    2.887
-133.00,    1.0060,    0.0039,      -3.571,    2.925
-132.00,    1.0085,    0.0040,      -1.506,    2.924
-131.00,    1.0092,    0.0040,      -1.835,    2.937
-130.00,    1.0049,    0.0040,      -3.063,    2.995
-129.00,    0.9975,    0.0041,      -1.713,    3.078
-128.00,    0.9963,    0.0041,       2.491,    3.089
-127.00,    0.9972,    0.0041,       4.576,    3.059
-126.00,    1.0036,    0.0041,       4.085,    3.009
-125.00,    1.0069,    0.0041,       1.892,    2.969
-124.00,    1.0054,    0.0041,       3.938,    2.999
-123.00,    0.9998,    0.0042,       5.701,    3.076
-122.00,    0.9943,    0.0042,       4.103,    3.126
-121.00,    0.9935,    0.0042,       1.069,    3.147
-120.00,    0.9965,    0.0043,       0.884,    3.167
-119.00,    1.0027,    0.0043,       1.864,    3.131
-118.00,    1.0034,    0.0042,      -1.278,    3.102
-117.00,    1.0007,    0.0042,       0.067,    3.077
