# Stacked over transitions
#['P36', 'P37', 'P38', 'P39', 'P40', 'P41', 'P42']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9844,    0.0087,       5.275,    5.644
-149.00,    0.9788,    0.0086,       7.994,    5.641
-148.00,    0.9791,    0.0086,       9.762,    5.706
-147.00,    0.9824,    0.0086,       1.217,    5.692
-146.00,    0.9863,    0.0086,      -3.765,    5.604
-145.00,    0.9878,    0.0085,       2.062,    5.499
-144.00,    0.9886,    0.0085,       7.338,    5.437
-143.00,    0.9950,    0.0085,       4.813,    5.509
-142.00,    0.9903,    0.0085,      -4.105,    5.593
-141.00,    0.9871,    0.0085,      -1.052,    5.542
-140.00,    0.9841,    0.0085,       3.201,    5.555
-139.00,    0.9811,    0.0084,       3.361,    5.589
-138.00,    0.9803,    0.0084,      -3.144,    5.625
-137.00,    0.9886,    0.0085,      -9.101,    5.538
-136.00,    0.9974,    0.0086,      -8.539,    5.573
-135.00,    1.0046,    0.0087,      -1.753,    5.597
-134.00,    1.0039,    0.0088,       3.374,    5.597
-133.00,    1.0004,    0.0089,       2.782,    5.684
-132.00,    0.9959,    0.0089,      -1.027,    5.702
-131.00,    0.9954,    0.0088,      -6.583,    5.580
-130.00,    0.9920,    0.0087,      -3.291,    5.585
-129.00,    0.9905,    0.0088,       6.572,    5.674
-128.00,    0.9909,    0.0089,      10.152,    5.789
-127.00,    0.9904,    0.0089,       3.386,    5.781
-126.00,    0.9842,    0.0089,      -3.127,    5.699
-125.00,    0.9879,    0.0090,      -6.005,    5.671
-124.00,    0.9919,    0.0089,      -8.558,    5.682
-123.00,    0.9889,    0.0087,     -10.138,    5.561
-122.00,    0.9777,    0.0084,     -14.565,    5.556
-121.00,    0.9720,    0.0084,     -10.893,    5.556
-120.00,    0.9753,    0.0084,       7.854,    5.399
-119.00,    0.9817,    0.0085,      23.215,    5.372
-118.00,    0.9892,    0.0085,      13.113,    5.542
-117.00,    0.9987,    0.0086,       1.634,    5.510
-116.00,    1.0021,    0.0086,      -6.394,    5.501
-115.00,    0.9983,    0.0086,      -1.413,    5.534
-114.00,    0.9960,    0.0086,       3.547,    5.543
-113.00,    0.9947,    0.0087,      10.505,    5.424
-112.00,    0.9929,    0.0086,       0.653,    5.549
-111.00,    0.9893,    0.0086,      -1.697,    5.580
-110.00,    0.9834,    0.0085,       2.740,    5.597
-109.00,    0.9829,    0.0086,       3.979,    5.570
-108.00,    0.9901,    0.0087,       6.592,    5.614
-107.00,    0.9943,    0.0088,       8.409,    5.693
-106.00,    0.9933,    0.0089,      -4.924,    5.761
-105.00,    0.9916,    0.0089,      -6.417,    5.798
-104.00,    0.9981,    0.0089,      -3.036,    5.725
-103.00,    1.0045,    0.0089,       1.094,    5.604
-102.00,    1.0042,    0.0088,      10.269,    5.532
-101.00,    1.0003,    0.0088,       7.791,    5.500
-100.00,    0.9961,    0.0087,      -0.813,    5.559
 -99.00,    0.9913,    0.0086,      -1.782,    5.651
 -98.00,    0.9930,    0.0086,       1.376,    5.686
 -97.00,    0.9966,    0.0087,      -1.411,    5.649
 -96.00,    0.9997,    0.0087,      -8.879,    5.616
 -95.00,    0.9943,    0.0087,      -6.083,    5.616
 -94.00,    0.9902,    0.0087,       2.722,    5.601
 -93.00,    0.9903,    0.0086,      10.743,    5.520
 -92.00,    0.9914,    0.0087,       9.358,    5.516
 -91.00,    0.9899,    0.0087,       6.841,    5.630
 -90.00,    0.9949,    0.0087,       2.819,    5.640
 -89.00,    0.9966,    0.0087,       2.125,    5.523
 -88.00,    0.9964,    0.0087,       1.672,    5.473
 -87.00,    1.0030,    0.0088,       4.980,    5.493
 -86.00,    1.0055,    0.0089,       4.382,    5.587
 -85.00,    1.0028,    0.0088,       0.791,    5.567
 -84.00,    0.9983,    0.0087,      -1.933,    5.533
 -83.00,    0.9986,    0.0086,       2.280,    5.506
 -82.00,    1.0011,    0.0086,      -0.783,    5.542
 -81.00,    0.9986,    0.0086,      -3.930,    5.543
 -80.00,    0.9972,    0.0086,       0.676,    5.507
 -79.00,    0.9985,    0.0086,      -2.172,    5.527
 -78.00,    1.0012,    0.0086,      -5.597,    5.516
 -77.00,    0.9963,    0.0085,      -7.556,    5.581
 -76.00,    0.9924,    0.0085,     -14.482,    5.488
 -75.00,    0.9883,    0.0084,     -12.681,    5.462
 -74.00,    0.9903,    0.0084,       0.214,    5.463
 -73.00,    0.9995,    0.0085,       3.392,    5.506
 -72.00,    1.0075,    0.0085,       4.531,    5.519
 -71.00,    1.0058,    0.0085,       6.394,    5.432
 -70.00,    0.9969,    0.0085,       9.295,    5.413
 -69.00,    0.9916,    0.0084,       6.655,    5.400
 -68.00,    0.9914,    0.0083,       2.914,    5.392
 -67.00,    0.9996,    0.0084,       0.009,    5.385
 -66.00,    1.0093,    0.0085,       4.820,    5.385
 -65.00,    1.0167,    0.0086,       7.749,    5.393
 -64.00,    1.0176,    0.0087,       3.423,    5.482
 -63.00,    1.0152,    0.0086,      -6.396,    5.440
 -62.00,    1.0124,    0.0086,      -7.258,    5.444
 -61.00,    1.0107,    0.0085,      -6.129,    5.468
 -60.00,    1.0116,    0.0086,       1.750,    5.453
 -59.00,    1.0155,    0.0087,       6.438,    5.490
 -58.00,    1.0212,    0.0088,       8.665,    5.503
 -57.00,    1.0222,    0.0087,       9.431,    5.506
 -56.00,    1.0199,    0.0087,       0.666,    5.492
 -55.00,    1.0191,    0.0087,      -0.763,    5.462
 -54.00,    1.0170,    0.0086,       2.379,    5.429
 -53.00,    1.0148,    0.0087,      -2.615,    5.506
 -52.00,    1.0147,    0.0087,      -8.066,    5.474
 -51.00,    1.0136,    0.0087,      -7.654,    5.412
 -50.00,    1.0134,    0.0087,      -1.470,    5.439
 -49.00,    1.0123,    0.0086,      -0.143,    5.426
 -48.00,    1.0141,    0.0087,      -5.608,    5.457
 -47.00,    1.0154,    0.0087,      -5.056,    5.549
 -46.00,    1.0142,    0.0087,       0.907,    5.583
 -45.00,    1.0135,    0.0088,       2.515,    5.600
 -44.00,    1.0162,    0.0088,       3.389,    5.562
 -43.00,    1.0157,    0.0087,       1.349,    5.527
 -42.00,    1.0090,    0.0086,      -3.995,    5.503
 -41.00,    1.0084,    0.0086,      -8.538,    5.536
 -40.00,    1.0193,    0.0088,     -11.955,    5.558
 -39.00,    1.0358,    0.0089,      -5.248,    5.482
 -38.00,    1.0441,    0.0089,       0.184,    5.383
 -37.00,    1.0336,    0.0088,      -4.485,    5.421
 -36.00,    1.0285,    0.0088,       0.199,    5.403
 -35.00,    1.0363,    0.0089,       1.245,    5.381
 -34.00,    1.0442,    0.0089,       1.935,    5.363
 -33.00,    1.0434,    0.0089,       7.825,    5.338
 -32.00,    1.0289,    0.0087,       4.387,    5.389
 -31.00,    1.0218,    0.0087,      -4.013,    5.343
 -30.00,    1.0253,    0.0087,      -5.044,    5.395
 -29.00,    1.0328,    0.0088,      -4.942,    5.474
 -28.00,    1.0391,    0.0089,       3.772,    5.442
 -27.00,    1.0478,    0.0089,      14.247,    5.299
 -26.00,    1.0474,    0.0088,       8.643,    5.299
 -25.00,    1.0412,    0.0088,      -3.187,    5.311
 -24.00,    1.0344,    0.0087,      -6.361,    5.356
 -23.00,    1.0317,    0.0087,      -1.305,    5.390
 -22.00,    1.0367,    0.0087,      -0.948,    5.417
 -21.00,    1.0414,    0.0088,       2.919,    5.447
 -20.00,    1.0460,    0.0088,       5.330,    5.341
 -19.00,    1.0517,    0.0088,       4.492,    5.286
 -18.00,    1.0511,    0.0088,      -2.077,    5.265
 -17.00,    1.0518,    0.0088,      -3.824,    5.249
 -16.00,    1.0547,    0.0088,      -1.615,    5.248
 -15.00,    1.0533,    0.0088,      -5.597,    5.284
 -14.00,    1.0505,    0.0088,      -5.742,    5.315
 -13.00,    1.0506,    0.0088,       2.010,    5.282
 -12.00,    1.0520,    0.0089,      13.152,    5.198
 -11.00,    1.0489,    0.0089,       6.118,    5.221
 -10.00,    1.0442,    0.0088,      -8.283,    5.298
  -9.00,    1.0481,    0.0088,      -5.911,    5.256
  -8.00,    1.0611,    0.0089,      -3.846,    5.200
  -7.00,    1.0755,    0.0090,      -2.332,    5.203
  -6.00,    1.0761,    0.0091,      -4.643,    5.296
  -5.00,    1.0695,    0.0091,       7.934,    5.231
  -4.00,    1.0671,    0.0091,       6.115,    5.190
  -3.00,    1.0704,    0.0090,       0.255,    5.237
  -2.00,    1.0725,    0.0090,       0.790,    5.270
  -1.00,    1.0811,    0.0091,       2.636,    5.222
   0.00,    1.0858,    0.0092,      12.280,    5.217
   1.00,    1.0863,    0.0091,       7.186,    5.217
   2.00,    1.0839,    0.0091,       5.441,    5.196
   3.00,    1.0819,    0.0091,      -4.932,    5.228
   4.00,    1.0749,    0.0091,      -2.412,    5.286
   5.00,    1.0696,    0.0090,      -3.093,    5.285
   6.00,    1.0725,    0.0089,       0.413,    5.210
   7.00,    1.0826,    0.0089,       0.381,    5.103
   8.00,    1.0914,    0.0090,      -3.265,    5.023
   9.00,    1.0961,    0.0092,      -6.102,    5.029
  10.00,    1.0978,    0.0093,      -1.822,    5.138
  11.00,    1.1011,    0.0094,      -6.365,    5.151
  12.00,    1.1019,    0.0096,      -2.455,    5.185
  13.00,    1.1010,    0.0096,       4.091,    5.197
  14.00,    1.0888,    0.0095,       8.687,    5.283
  15.00,    1.0686,    0.0093,       1.591,    5.351
  16.00,    1.0459,    0.0090,       3.434,    5.330
  17.00,    1.0371,    0.0089,      12.268,    5.345
  18.00,    1.0395,    0.0089,      14.197,    5.334
  19.00,    1.0459,    0.0089,      10.638,    5.247
  20.00,    1.0590,    0.0089,       4.565,    5.125
  21.00,    1.0679,    0.0089,      -2.846,    5.238
  22.00,    1.0689,    0.0089,      -2.190,    5.289
  23.00,    1.0663,    0.0089,      -1.944,    5.279
  24.00,    1.0709,    0.0089,      -1.577,    5.235
  25.00,    1.0725,    0.0089,      -1.353,    5.221
  26.00,    1.0722,    0.0088,      -2.909,    5.222
  27.00,    1.0675,    0.0088,       3.487,    5.258
