# Stacked over transitions
#['P21', 'P22', 'P23', 'P25', 'P26', 'P27', 'P28', 'P29', 'P30', 'P31', 'P32', 'P34', 'P35', 'P36', 'P37', 'P38', 'P39', 'P40', 'P41', 'P42']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    0.9866,    0.0023,      -0.395,    1.975
-149.00,    0.9869,    0.0023,      -0.059,    1.976
-148.00,    0.9896,    0.0023,      -0.748,    1.967
-147.00,    0.9912,    0.0023,      -1.614,    1.964
-146.00,    0.9908,    0.0023,      -0.825,    1.967
-145.00,    0.9892,    0.0023,       0.233,    1.932
-144.00,    0.9912,    0.0023,       0.801,    1.895
-143.00,    0.9918,    0.0023,       1.180,    1.893
-142.00,    0.9883,    0.0023,      -0.015,    1.920
-141.00,    0.9851,    0.0022,      -3.646,    1.909
-140.00,    0.9859,    0.0022,      -0.785,    1.892
-139.00,    0.9885,    0.0022,       1.371,    1.868
-138.00,    0.9866,    0.0022,       0.837,    1.878
-137.00,    0.9848,    0.0022,       1.800,    1.877
-136.00,    0.9865,    0.0022,       3.032,    1.867
-135.00,    0.9879,    0.0022,      -0.213,    1.865
-134.00,    0.9876,    0.0021,       0.009,    1.857
-133.00,    0.9874,    0.0021,      -1.010,    1.852
-132.00,    0.9873,    0.0021,      -1.111,    1.855
-131.00,    0.9861,    0.0021,      -0.999,    1.849
-130.00,    0.9872,    0.0021,      -0.146,    1.847
-129.00,    0.9879,    0.0021,       1.092,    1.845
-128.00,    0.9898,    0.0021,      -0.243,    1.846
-127.00,    0.9918,    0.0021,       0.569,    1.849
-126.00,    0.9898,    0.0021,      -0.403,    1.868
-125.00,    0.9856,    0.0021,      -0.586,    1.864
-124.00,    0.9841,    0.0021,      -0.483,    1.851
-123.00,    0.9858,    0.0021,      -0.493,    1.856
-122.00,    0.9860,    0.0021,      -0.723,    1.853
-121.00,    0.9868,    0.0021,       0.767,    1.850
-120.00,    0.9871,    0.0021,       0.689,    1.850
-119.00,    0.9855,    0.0021,       1.531,    1.857
-118.00,    0.9868,    0.0021,       1.002,    1.838
-117.00,    0.9871,    0.0021,      -1.645,    1.830
-116.00,    0.9865,    0.0021,      -1.150,    1.796
-115.00,    0.9874,    0.0021,       0.344,    1.820
-114.00,    0.9872,    0.0021,       3.078,    1.823
-113.00,    0.9874,    0.0021,       3.738,    1.837
-112.00,    0.9877,    0.0021,       0.572,    1.838
-111.00,    0.9870,    0.0021,      -0.443,    1.832
-110.00,    0.9856,    0.0021,      -1.025,    1.826
-109.00,    0.9842,    0.0021,       1.293,    1.825
-108.00,    0.9856,    0.0021,       1.821,    1.818
-107.00,    0.9876,    0.0021,       1.222,    1.813
-106.00,    0.9904,    0.0021,       2.353,    1.808
-105.00,    0.9918,    0.0021,       1.864,    1.796
-104.00,    0.9917,    0.0021,       1.710,    1.807
-103.00,    0.9904,    0.0021,       2.570,    1.817
-102.00,    0.9915,    0.0021,       1.423,    1.812
-101.00,    0.9935,    0.0021,       2.578,    1.803
-100.00,    0.9934,    0.0021,       3.090,    1.813
 -99.00,    0.9926,    0.0021,       3.396,    1.791
 -98.00,    0.9922,    0.0021,       1.660,    1.819
 -97.00,    0.9911,    0.0021,       2.053,    1.824
 -96.00,    0.9928,    0.0021,      -0.028,    1.814
 -95.00,    0.9946,    0.0021,      -0.668,    1.765
 -94.00,    0.9950,    0.0021,      -0.321,    1.730
 -93.00,    0.9959,    0.0021,      -2.184,    1.771
 -92.00,    0.9970,    0.0021,      -1.058,    1.817
 -91.00,    0.9965,    0.0021,      -1.816,    1.824
 -90.00,    0.9959,    0.0021,      -1.541,    1.826
 -89.00,    0.9974,    0.0021,       0.127,    1.840
 -88.00,    1.0003,    0.0021,       1.654,    1.834
 -87.00,    1.0023,    0.0022,       1.412,    1.838
 -86.00,    1.0031,    0.0021,       0.591,    1.841
 -85.00,    1.0054,    0.0021,       0.035,    1.825
 -84.00,    1.0101,    0.0021,       1.337,    1.804
 -83.00,    1.0136,    0.0022,      -0.576,    1.812
 -82.00,    1.0148,    0.0022,      -0.104,    1.823
 -81.00,    1.0171,    0.0022,       0.668,    1.828
 -80.00,    1.0175,    0.0022,       1.053,    1.821
 -79.00,    1.0188,    0.0021,       0.710,    1.804
 -78.00,    1.0224,    0.0021,       0.379,    1.799
 -77.00,    1.0253,    0.0021,       0.762,    1.802
 -76.00,    1.0292,    0.0021,       0.084,    1.786
 -75.00,    1.0365,    0.0021,      -0.948,    1.755
 -74.00,    1.0431,    0.0021,       0.371,    1.747
 -73.00,    1.0474,    0.0022,       0.360,    1.758
 -72.00,    1.0531,    0.0022,       0.520,    1.761
 -71.00,    1.0565,    0.0022,       1.126,    1.742
 -70.00,    1.0593,    0.0022,       1.581,    1.737
 -69.00,    1.0645,    0.0022,       1.030,    1.721
 -68.00,    1.0728,    0.0022,       2.721,    1.692
 -67.00,    1.0797,    0.0022,      -0.390,    1.671
 -66.00,    1.0852,    0.0021,       0.427,    1.656
 -65.00,    1.0898,    0.0021,       1.020,    1.654
 -64.00,    1.0952,    0.0021,       2.751,    1.675
 -63.00,    1.1041,    0.0021,       3.936,    1.665
 -62.00,    1.1117,    0.0022,       1.496,    1.614
 -61.00,    1.1187,    0.0022,      -0.388,    1.585
 -60.00,    1.1246,    0.0022,      -1.971,    1.605
 -59.00,    1.1326,    0.0022,      -2.031,    1.629
 -58.00,    1.1419,    0.0022,      -2.884,    1.651
 -57.00,    1.1503,    0.0022,      -2.335,    1.646
 -56.00,    1.1590,    0.0022,      -0.752,    1.647
 -55.00,    1.1691,    0.0022,       0.399,    1.635
 -54.00,    1.1777,    0.0022,      -1.204,    1.607
 -53.00,    1.1871,    0.0022,      -1.800,    1.594
 -52.00,    1.1981,    0.0022,      -3.902,    1.585
 -51.00,    1.2121,    0.0022,      -2.452,    1.584
 -50.00,    1.2253,    0.0022,      -2.578,    1.550
 -49.00,    1.2385,    0.0022,      -1.359,    1.525
 -48.00,    1.2491,    0.0022,      -0.735,    1.498
 -47.00,    1.2583,    0.0022,      -0.736,    1.491
 -46.00,    1.2683,    0.0022,      -0.006,    1.493
 -45.00,    1.2810,    0.0022,       1.159,    1.461
 -44.00,    1.2976,    0.0023,       0.660,    1.438
 -43.00,    1.3123,    0.0023,      -1.214,    1.449
 -42.00,    1.3231,    0.0023,      -1.694,    1.455
 -41.00,    1.3340,    0.0023,      -1.063,    1.465
 -40.00,    1.3423,    0.0023,       0.735,    1.480
 -39.00,    1.3517,    0.0023,       3.353,    1.465
 -38.00,    1.3622,    0.0024,       3.928,    1.445
 -37.00,    1.3771,    0.0023,       2.018,    1.442
 -36.00,    1.3867,    0.0024,       0.119,    1.431
 -35.00,    1.3949,    0.0024,       0.902,    1.405
 -34.00,    1.4012,    0.0023,       0.925,    1.398
 -33.00,    1.4099,    0.0023,      -1.390,    1.357
 -32.00,    1.4202,    0.0023,      -1.859,    1.355
 -31.00,    1.4303,    0.0023,      -1.587,    1.346
 -30.00,    1.4371,    0.0023,      -1.845,    1.340
 -29.00,    1.4401,    0.0023,      -0.752,    1.343
 -28.00,    1.4414,    0.0023,      -0.730,    1.353
 -27.00,    1.4410,    0.0024,      -0.253,    1.359
 -26.00,    1.4407,    0.0024,      -1.413,    1.361
 -25.00,    1.4405,    0.0024,      -2.511,    1.358
 -24.00,    1.4380,    0.0024,      -1.894,    1.361
 -23.00,    1.4303,    0.0024,      -2.436,    1.358
 -22.00,    1.4249,    0.0024,      -0.697,    1.366
 -21.00,    1.4182,    0.0024,      -0.868,    1.362
 -20.00,    1.4109,    0.0024,       0.213,    1.370
 -19.00,    1.4068,    0.0024,      -0.372,    1.411
 -18.00,    1.4025,    0.0024,      -1.775,    1.441
 -17.00,    1.3946,    0.0024,      -0.211,    1.415
 -16.00,    1.3852,    0.0024,       0.007,    1.418
 -15.00,    1.3736,    0.0024,       0.994,    1.446
 -14.00,    1.3642,    0.0024,       1.802,    1.472
 -13.00,    1.3578,    0.0024,       0.752,    1.484
 -12.00,    1.3513,    0.0024,      -0.261,    1.510
 -11.00,    1.3476,    0.0024,       0.887,    1.513
 -10.00,    1.3466,    0.0024,       0.221,    1.493
  -9.00,    1.3488,    0.0024,       0.225,    1.473
  -8.00,    1.3513,    0.0023,       0.019,    1.463
  -7.00,    1.3527,    0.0023,       1.127,    1.449
  -6.00,    1.3550,    0.0023,       2.051,    1.445
  -5.00,    1.3567,    0.0023,       1.315,    1.451
  -4.00,    1.3585,    0.0023,       1.381,    1.458
  -3.00,    1.3594,    0.0023,       3.553,    1.460
  -2.00,    1.3612,    0.0023,       1.545,    1.434
  -1.00,    1.3631,    0.0023,       0.462,    1.431
   0.00,    1.3610,    0.0024,       0.832,    1.466
   1.00,    1.3554,    0.0024,      -1.659,    1.486
   2.00,    1.3541,    0.0024,      -0.037,    1.470
   3.00,    1.3478,    0.0024,       2.187,    1.497
   4.00,    1.3392,    0.0024,       1.121,    1.519
   5.00,    1.3305,    0.0024,       0.656,    1.531
   6.00,    1.3221,    0.0024,       1.286,    1.525
   7.00,    1.3150,    0.0024,       0.454,    1.524
   8.00,    1.3062,    0.0024,       1.741,    1.538
   9.00,    1.2981,    0.0024,       2.453,    1.551
  10.00,    1.2903,    0.0024,       1.297,    1.568
  11.00,    1.2796,    0.0024,       1.829,    1.595
  12.00,    1.2689,    0.0024,       1.884,    1.610
  13.00,    1.2573,    0.0024,       3.078,    1.629
  14.00,    1.2463,    0.0024,       1.648,    1.621
  15.00,    1.2361,    0.0024,       2.030,    1.612
  16.00,    1.2278,    0.0024,       2.397,    1.630
  17.00,    1.2175,    0.0024,       1.959,    1.665
  18.00,    1.2067,    0.0024,       3.172,    1.719
  19.00,    1.1966,    0.0024,       1.839,    1.718
  20.00,    1.1897,    0.0024,       0.647,    1.697
  21.00,    1.1848,    0.0024,       0.760,    1.700
  22.00,    1.1795,    0.0024,       1.365,    1.714
