# Stacked over transitions
#['P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10', 'P11', 'P12', 'P13', 'P14', 'R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8', 'R10', 'R11']
 Vhelio,      flux,  err_flux,          SA,   err_SA
-150.00,    1.0013,    0.0016,      -0.296,    1.317
-149.00,    1.0010,    0.0016,       1.421,    1.296
-148.00,    1.0007,    0.0016,       0.777,    1.316
-147.00,    1.0005,    0.0016,      -0.091,    1.363
-146.00,    0.9993,    0.0016,      -0.920,    1.420
-145.00,    0.9995,    0.0017,       0.050,    1.441
-144.00,    1.0010,    0.0017,       1.330,    1.430
-143.00,    1.0029,    0.0017,      -0.653,    1.379
-142.00,    1.0064,    0.0016,       0.494,    1.341
-141.00,    1.0064,    0.0016,       3.210,    1.359
-140.00,    1.0041,    0.0016,       4.448,    1.383
-139.00,    1.0025,    0.0016,       2.110,    1.381
-138.00,    1.0016,    0.0016,      -1.612,    1.380
-137.00,    1.0009,    0.0017,      -3.287,    1.401
-136.00,    1.0012,    0.0017,       0.029,    1.415
-135.00,    1.0026,    0.0017,       1.445,    1.408
-134.00,    1.0031,    0.0017,      -0.062,    1.414
-133.00,    1.0042,    0.0017,      -0.710,    1.414
-132.00,    1.0043,    0.0017,      -0.182,    1.442
-131.00,    1.0039,    0.0017,       0.156,    1.454
-130.00,    1.0050,    0.0017,       0.806,    1.447
-129.00,    1.0061,    0.0017,       0.693,    1.434
-128.00,    1.0072,    0.0017,       1.920,    1.435
-127.00,    1.0080,    0.0017,       0.112,    1.432
-126.00,    1.0086,    0.0017,       0.792,    1.442
-125.00,    1.0090,    0.0017,       0.972,    1.445
-124.00,    1.0083,    0.0017,       1.183,    1.459
-123.00,    1.0071,    0.0018,       2.850,    1.480
-122.00,    1.0062,    0.0018,       2.177,    1.512
-121.00,    1.0066,    0.0018,       3.037,    1.509
-120.00,    1.0055,    0.0018,       2.831,    1.504
-119.00,    1.0035,    0.0018,       0.761,    1.516
-118.00,    1.0006,    0.0018,      -0.719,    1.546
-117.00,    0.9990,    0.0018,      -0.184,    1.557
-116.00,    0.9998,    0.0018,       0.969,    1.561
-115.00,    0.9997,    0.0018,       0.740,    1.576
-114.00,    0.9989,    0.0018,       0.249,    1.574
-113.00,    0.9979,    0.0018,       0.030,    1.559
-112.00,    0.9963,    0.0018,       1.443,    1.540
-111.00,    0.9971,    0.0018,       1.097,    1.539
-110.00,    0.9993,    0.0018,      -1.596,    1.543
-109.00,    0.9998,    0.0018,      -0.993,    1.540
-108.00,    1.0007,    0.0018,      -0.568,    1.546
-107.00,    1.0025,    0.0018,       0.262,    1.571
-106.00,    1.0027,    0.0018,       0.766,    1.573
-105.00,    1.0023,    0.0018,       1.973,    1.553
-104.00,    1.0003,    0.0018,      -1.276,    1.535
-103.00,    0.9978,    0.0018,      -1.157,    1.546
-102.00,    0.9961,    0.0019,      -0.329,    1.569
-101.00,    0.9966,    0.0019,       1.765,    1.582
-100.00,    1.0003,    0.0019,       0.014,    1.592
 -99.00,    1.0058,    0.0019,       0.800,    1.563
 -98.00,    1.0112,    0.0018,       2.342,    1.528
 -97.00,    1.0147,    0.0018,       5.008,    1.484
 -96.00,    1.0148,    0.0018,       4.577,    1.459
 -95.00,    1.0131,    0.0018,       0.444,    1.429
 -94.00,    1.0135,    0.0018,      -1.151,    1.421
 -93.00,    1.0137,    0.0017,       0.682,    1.445
 -92.00,    1.0134,    0.0018,       0.670,    1.465
 -91.00,    1.0141,    0.0018,      -0.144,    1.459
 -90.00,    1.0174,    0.0018,       0.827,    1.460
 -89.00,    1.0212,    0.0017,      -0.311,    1.437
 -88.00,    1.0235,    0.0017,       0.932,    1.409
 -87.00,    1.0232,    0.0017,       1.982,    1.413
 -86.00,    1.0225,    0.0017,       1.594,    1.423
 -85.00,    1.0246,    0.0017,       1.110,    1.403
 -84.00,    1.0299,    0.0017,      -0.646,    1.389
 -83.00,    1.0332,    0.0017,      -2.572,    1.395
 -82.00,    1.0351,    0.0017,      -3.794,    1.393
 -81.00,    1.0365,    0.0017,      -4.895,    1.387
 -80.00,    1.0383,    0.0017,      -2.129,    1.376
 -79.00,    1.0409,    0.0017,      -0.578,    1.375
 -78.00,    1.0454,    0.0017,      -0.419,    1.372
 -77.00,    1.0508,    0.0017,      -0.270,    1.383
 -76.00,    1.0561,    0.0017,       1.019,    1.383
 -75.00,    1.0587,    0.0017,      -0.094,    1.367
 -74.00,    1.0595,    0.0017,      -0.254,    1.337
 -73.00,    1.0629,    0.0017,       0.272,    1.308
 -72.00,    1.0675,    0.0017,       0.190,    1.320
 -71.00,    1.0721,    0.0017,      -0.528,    1.310
 -70.00,    1.0778,    0.0017,       0.267,    1.303
 -69.00,    1.0828,    0.0017,       1.256,    1.302
 -68.00,    1.0882,    0.0017,       3.018,    1.282
 -67.00,    1.0948,    0.0017,       5.134,    1.262
 -66.00,    1.1010,    0.0017,       3.894,    1.275
 -65.00,    1.1048,    0.0017,       3.238,    1.289
 -64.00,    1.1081,    0.0017,       3.847,    1.291
 -63.00,    1.1148,    0.0017,       0.968,    1.291
 -62.00,    1.1231,    0.0017,       1.246,    1.289
 -61.00,    1.1327,    0.0017,       1.028,    1.265
 -60.00,    1.1401,    0.0017,       0.437,    1.246
 -59.00,    1.1486,    0.0017,       0.862,    1.238
 -58.00,    1.1584,    0.0017,       0.892,    1.236
 -57.00,    1.1701,    0.0017,       0.257,    1.222
 -56.00,    1.1795,    0.0017,      -0.017,    1.206
 -55.00,    1.1900,    0.0017,       0.696,    1.199
 -54.00,    1.2002,    0.0017,       1.516,    1.214
 -53.00,    1.2099,    0.0017,       1.220,    1.223
 -52.00,    1.2187,    0.0018,      -0.936,    1.209
 -51.00,    1.2308,    0.0018,       0.205,    1.220
 -50.00,    1.2424,    0.0018,       1.024,    1.214
 -49.00,    1.2540,    0.0018,       2.039,    1.207
 -48.00,    1.2659,    0.0018,       3.475,    1.204
 -47.00,    1.2794,    0.0018,       1.076,    1.211
 -46.00,    1.2957,    0.0019,       1.942,    1.214
 -45.00,    1.3140,    0.0019,       1.316,    1.199
 -44.00,    1.3300,    0.0019,       2.003,    1.214
 -43.00,    1.3454,    0.0019,       1.019,    1.213
 -42.00,    1.3591,    0.0020,      -2.761,    1.215
 -41.00,    1.3710,    0.0020,      -2.774,    1.192
 -40.00,    1.3826,    0.0020,      -1.457,    1.162
 -39.00,    1.3958,    0.0020,       0.428,    1.181
 -38.00,    1.4086,    0.0020,       0.130,    1.201
 -37.00,    1.4206,    0.0020,      -0.826,    1.220
 -36.00,    1.4309,    0.0021,      -0.580,    1.243
 -35.00,    1.4408,    0.0022,       0.421,    1.262
 -34.00,    1.4533,    0.0022,      -0.602,    1.266
 -33.00,    1.4721,    0.0022,      -1.590,    1.272
 -32.00,    1.4898,    0.0023,      -0.507,    1.278
 -31.00,    1.5009,    0.0023,      -1.320,    1.327
 -30.00,    1.5056,    0.0024,      -0.662,    1.394
 -29.00,    1.5084,    0.0025,      -1.346,    1.458
 -28.00,    1.5137,    0.0027,      -2.700,    1.544
 -27.00,    1.5199,    0.0028,      -1.325,    1.620
 -26.00,    1.5275,    0.0030,      -2.565,    1.722
 -25.00,    1.5320,    0.0032,      -5.264,    1.817
 -24.00,    1.5381,    0.0034,      -6.190,    1.907
 -23.00,    1.5396,    0.0036,      -0.647,    2.059
 -22.00,    1.5303,    0.0039,       0.467,    2.279
 -21.00,    1.5172,    0.0044,      -0.617,    2.599
 -20.00,    1.5102,    0.0051,      -2.007,    3.340
 -19.00,    1.5104,    0.0061,      -3.823,    4.424
 -18.00,    1.5144,    0.0075,      -6.067,    6.350
 -17.00,    1.5170,    0.0097,       2.212,    8.308
 -16.00,    1.5200,    0.0135,      25.000,   17.595
 -15.00,    1.4978,    0.0204,         nan,      inf
 -14.00,    1.4408,    0.0305,         nan,      inf
 -13.00,    1.3687,    0.0405,         nan,      inf
 -12.00,    1.3512,    0.0487,         nan,      inf
 -11.00,    1.4450,    0.0486,         nan,      inf
 -10.00,    1.5340,    0.0422,         nan,      inf
  -9.00,    1.5616,    0.0309,         nan,      inf
  -8.00,    1.5115,    0.0218,         nan,      inf
  -7.00,    1.5026,    0.0149,      -3.093,   13.835
  -6.00,    1.5002,    0.0107,     -40.605,   10.946
  -5.00,    1.4840,    0.0082,     -11.102,    6.902
  -4.00,    1.4738,    0.0065,      -1.000,    4.341
  -3.00,    1.4697,    0.0054,      -1.815,    3.094
  -2.00,    1.4632,    0.0046,      -0.789,    2.538
  -1.00,    1.4546,    0.0041,      -0.085,    2.306
   0.00,    1.4457,    0.0037,      -0.522,    2.064
   1.00,    1.4399,    0.0033,       2.917,    1.870
   2.00,    1.4329,    0.0031,       3.758,    1.721
   3.00,    1.4252,    0.0029,       1.478,    1.655
   4.00,    1.4149,    0.0027,       0.032,    1.605
   5.00,    1.4017,    0.0026,      -0.381,    1.551
   6.00,    1.3876,    0.0025,      -0.833,    1.512
   7.00,    1.3740,    0.0024,      -0.082,    1.468
   8.00,    1.3610,    0.0023,       0.533,    1.422
   9.00,    1.3489,    0.0023,      -0.267,    1.392
  10.00,    1.3356,    0.0022,      -0.188,    1.379
  11.00,    1.3197,    0.0021,       2.140,    1.360
  12.00,    1.3025,    0.0021,       2.001,    1.360
  13.00,    1.2867,    0.0021,       1.292,    1.362
  14.00,    1.2740,    0.0021,      -0.211,    1.365
  15.00,    1.2639,    0.0020,      -0.861,    1.356
